generation,unique_ids
0,30
1,19
2,17
3,16
4,16
5,12
6,10
7,12
8,12
9,10
10,10
11,11
12,10
13,11
14,8
15,8
16,6
17,2
18,3
19,8
20,8
21,9
22,4
23,6
24,7
25,5
26,3
27,5
28,7
29,6
30,5
31,7
32,10
33,6
34,9
35,7
36,9
37,7
38,5
39,5
40,4
41,8
42,7
43,11
44,10
45,6
46,6
47,3
48,6
49,5
50,4
51,3
52,4
53,4
54,5
55,4
56,6
57,4
58,4
59,5
60,5
61,6
62,5
63,3
64,4
65,5
66,4
67,3
68,4
69,3
70,8
71,6
72,3
73,11
74,10
75,8
76,5
77,6
78,5
79,5
80,9
81,7
82,4
83,6
84,5
85,4
86,5
87,8
88,2
89,1
90,3
91,2
92,3
93,4
94,7
95,6
96,6
97,5
98,6
99,5
100,4
101,6
102,7
103,7
104,6
105,7
106,4
107,6
108,4
109,6
110,4
111,4
112,2
113,4
114,3
115,6
116,6
117,5
118,4
119,7
120,7
121,6
122,6
123,3
124,4
125,7
126,4
127,4
128,4
129,4
130,5
131,3
132,2
133,6
134,4
135,5
136,5
137,6
138,4
139,8
140,7
141,7
142,5
143,4
144,7
145,3
146,8
147,6
148,7
149,5
150,5
151,1
152,3
153,7
154,6
155,6
156,2
157,4
158,5
159,7
160,8
161,5
162,4
163,5
164,5
165,7
166,5
167,4
168,5
169,5
170,4
171,5
172,5
173,4
174,6
175,2
176,3
177,7
178,6
179,2
180,3
181,5
182,3
183,8
184,5
185,4
186,4
187,2
188,2
189,6
190,8
191,6
192,8
193,8
194,5
195,4
196,5
197,3
198,5
199,4
200,8
201,9
202,12
203,11
204,7
205,7
206,7
207,7
208,4
209,4
210,6
211,5
212,8
213,8
214,2
215,4
216,6
217,7
218,6
219,5
220,6
221,8
222,5
223,6
224,6
225,7
226,4
227,5
228,7
229,8
230,5
231,6
232,4
233,3
234,7
235,6
236,4
237,4
238,6
239,6
240,7
241,4
242,5
243,6
244,3
245,5
246,6
247,3
248,4
249,3
250,5
251,6
252,6
253,5
254,7
255,4
256,6
257,7
258,5
259,6
260,4
261,5
262,6
263,5
264,5
265,2
266,6
267,7
268,10
269,7
270,8
271,11
272,5
273,3
274,7
275,6
276,6
277,5
278,5
279,5
280,5
281,6
282,5
283,3
284,3
285,4
286,3
287,6
288,5
289,5
290,6
291,2
292,6
293,8
294,9
295,5
296,5
297,5
298,6
299,6
300,4
301,5
302,4
303,3
304,5
305,5
306,4
307,3
308,4
309,5
310,5
311,3
312,4
313,4
314,5
315,6
316,3
317,4
318,6
319,7
320,4
321,6
322,5
323,5
324,3
325,7
326,9
327,7
328,5
329,6
330,7
331,6
332,2
333,5
334,1
335,1
336,2
337,3
338,4
339,2
340,4
341,6
342,8
343,7
344,7
345,5
346,5
347,9
348,9
349,10
350,12
351,9
352,5
353,6
354,4
355,8
356,2
357,7
358,7
359,5
360,4
361,7
362,5
363,4
364,8
365,5
366,8
367,3
368,5
369,5
370,4
371,4
372,4
373,2
374,3
375,4
376,6
377,7
378,4
379,2
380,5
381,3
382,5
383,4
384,6
385,6
386,5
387,7
388,8
389,5
390,4
391,3
392,5
393,3
394,3
395,4
396,7
397,8
398,7
399,8
400,13
401,5
402,6
403,4
404,3
405,5
406,8
407,6
408,7
409,6
410,4
411,8
412,6
413,6
414,6
415,8
416,4
417,4
418,5
419,4
420,3
421,8
422,7
423,4
424,4
425,3
426,6
427,3
428,5
429,8
430,5
431,3
432,2
433,6
434,6
435,11
436,9
437,6
438,10
439,6
440,5
441,2
442,4
443,8
444,6
445,5
446,4
447,10
448,5
449,4
450,4
451,5
452,5
453,7
454,4
455,3
456,1
457,3
458,4
459,7
460,7
461,11
462,6
463,7
464,7
465,6
466,3
467,2
468,4
469,3
470,7
471,9
472,7
473,7
474,9
475,9
476,8
477,7
478,7
479,4
480,4
481,2
482,5
483,5
484,7
485,3
486,2
487,7
488,6
489,6
490,3
491,5
492,5
493,6
494,5
495,2
496,4
497,4
498,4
499,5
500,4
501,5
502,6
503,3
504,6
505,5
506,7
507,6
508,5
509,6
510,8
511,8
512,6
513,9
514,3
515,6
516,8
517,9
518,6
519,3
520,4
521,6
522,3
523,7
524,4
525,8
526,8
527,10
528,2
529,6
530,3
531,5
532,6
533,6
534,6
535,4
536,9
537,6
538,10
539,6
540,5
541,2
542,5
543,3
544,6
545,3
546,4
547,9
548,8
549,5
550,7
551,7
552,8
553,10
554,6
555,8
556,7
557,7
558,6
559,5
560,4
561,4
562,8
563,8
564,8
565,7
566,6
567,8
568,4
569,3
570,7
571,5
572,5
573,5
574,7
575,9
576,6
577,7
578,4
579,7
580,6
581,5
582,6
583,5
584,4
585,5
586,7
587,10
588,7
589,8
590,10
591,7
592,5
593,5
594,5
595,1
596,2
597,3
598,5
599,5
