objective_value,generation,evaluations
112790.67107436486,0,30
112082.84279943045,1,80
110186.84554792501,2,144
105799.38096979696,3,196
99725.86176394911,4,244
98639.2679123702,5,300
96644.3887990155,6,377
96644.3887990155,7,426
93208.29078594159,8,491
90934.94358863695,9,539
90934.94358863695,10,591
87635.5849052063,11,670
81446.54942336348,12,721
80765.86359119246,13,758
77098.17977386867,14,833
70439.48377121134,15,886
69024.28391037873,16,926
65874.60487201848,17,1013
60649.91228713685,18,1071
58531.09078900761,19,1115
54143.42807356325,20,1185
53638.09628489366,21,1227
51704.6861705473,22,1298
45905.799095742936,23,1346
45905.799095742936,24,1382
44306.066191729566,25,1454
42759.88138160247,26,1503
40998.581449028075,27,1559
40360.813638856234,28,1615
39535.142114863185,29,1671
36591.772071723084,30,1726
34914.19895748317,31,1776
33702.71434793091,32,1854
32335.563578072233,33,1903
31318.586044893713,34,1951
29968.87650316742,35,2019
29243.616181919802,36,2088
28723.91700447439,37,2178
28069.680622931483,38,2248
26920.067951803445,39,2307
26169.576850927548,40,2381
24826.906901285016,41,2472
24306.28318037052,42,2517
23983.161943234078,43,2572
23569.918713668514,44,2651
22953.34336705306,45,2712
22953.34336705306,46,2771
22583.339921422987,47,2828
21783.22701305915,48,2890
19847.219345184603,49,2960
19185.797999138438,50,2996
18328.167651211515,51,3087
17567.58674043572,52,3162
16607.880581846435,53,3236
15576.891180902001,54,3300
14894.063431673605,55,3358
14027.686251452842,56,3405
13575.73026600663,57,3470
13047.651372166943,58,3533
12016.76632466115,59,3598
11254.305822581897,60,3634
10470.215866814466,61,3699
9945.414372401521,62,3766
9828.461747881682,63,3828
9496.474249151848,64,3911
8831.731354003083,65,3958
7901.892787818226,66,4006
7569.255387968573,67,4050
7365.738849954019,68,4120
6997.108266273163,69,4173
6718.1575573138325,70,4214
6351.4527394613415,71,4301
6226.296132695161,72,4348
5639.7578393789945,73,4409
5480.307160562374,74,4455
5343.312266791033,75,4504
5045.664252637128,76,4579
4733.095225321443,77,4654
4667.62793033561,78,4744
4296.836428062392,79,4823
4009.725573822195,80,4903
3783.7581031954796,81,4986
3776.2420091524814,82,5054
3122.0009579186894,83,5134
3122.0009579186894,84,5168
2787.103486623277,85,5233
2638.3025556006182,86,5304
2638.3025556006182,87,5391
2438.2008953013947,88,5461
2438.2008953013947,89,5524
2302.0111304080833,90,5620
2081.164775775271,91,5677
2004.633638474418,92,5768
1701.56146709573,93,5838
1441.3611197479322,94,5894
1426.4082345892714,95,5950
1345.3113047803195,96,6033
1345.3113047803195,97,6105
1345.3113047803195,98,6195
1345.3113047803195,99,6282
1345.3113047803195,100,6367
1314.0233627948573,101,6439
1311.0244906429966,102,6532
1294.742045360816,103,6617
1281.2773230096063,104,6700
1281.2773230096063,105,6779
1281.2773230096063,106,6843
1150.6940076973538,107,6918
1042.0127732299661,108,6985
1042.0127732299661,109,7035
954.926406925,110,7128
954.926406925,111,7192
954.926406925,112,7266
896.3579750980789,113,7353
885.6599133556493,114,7413
885.6599133556493,115,7475
809.8779069287746,116,7571
809.8779069287746,117,7662
809.8779069287746,118,7712
751.6204360206763,119,7773
664.2070637024616,120,7833
664.2070637024616,121,7874
664.2070637024616,122,7954
664.2070637024616,123,8013
532.1251832859136,124,8103
532.1251832859136,125,8178
532.1251832859136,126,8257
532.1251832859136,127,8318
532.1251832859136,128,8383
532.1251832859136,129,8464
532.1251832859136,130,8553
532.1251832859136,131,8633
525.8228015189762,132,8719
525.8228015189762,133,8799
525.8228015189762,134,8838
480.1878131679601,135,8898
480.1878131679601,136,8946
480.1878131679601,137,9010
480.1878131679601,138,9104
480.1878131679601,139,9183
480.1878131679601,140,9272
447.35624779988444,141,9350
447.35624779988444,142,9421
447.35624779988444,143,9511
447.35624779988444,144,9598
447.35624779988444,145,9679
447.35624779988444,146,9765
440.4453450258624,147,9846
440.4453450258624,148,9918
440.4453450258624,149,9999
447.35624779988444,150,10083
447.35624779988444,151,10176
423.03230023497304,152,10258
423.03230023497304,153,10332
423.03230023497304,154,10411
423.03230023497304,155,10496
423.03230023497304,156,10574
415.93746644053016,157,10658
415.93746644053016,158,10734
415.93746644053016,159,10824
415.93746644053016,160,10912
415.93746644053016,161,11000
415.93746644053016,162,11098
415.93746644053016,163,11173
415.93746644053016,164,11254
415.93746644053016,165,11338
415.93746644053016,166,11410
415.93746644053016,167,11493
415.93746644053016,168,11585
415.93746644053016,169,11664
415.93746644053016,170,11750
365.9021971924213,171,11832
365.9021971924213,172,11904
365.9021971924213,173,11992
333.5802504346372,174,12074
333.5802504346372,175,12161
333.5802504346372,176,12251
333.5802504346372,177,12320
333.5802504346372,178,12399
333.5802504346372,179,12495
333.5802504346372,180,12583
333.5802504346372,181,12662
317.9939948011186,182,12758
317.9939948011186,183,12835
317.9939948011186,184,12923
317.9939948011186,185,13002
317.9939948011186,186,13083
317.9939948011186,187,13156
317.9939948011186,188,13242
317.9939948011186,189,13311
317.9939948011186,190,13402
317.9939948011186,191,13481
317.9939948011186,192,13540
317.9939948011186,193,13619
317.9939948011186,194,13688
317.9939948011186,195,13775
317.9939948011186,196,13863
317.9939948011186,197,13955
317.9939948011186,198,14042
317.9939948011186,199,14121
317.9939948011186,200,14203
317.9939948011186,201,14265
317.9939948011186,202,14345
317.9939948011186,203,14438
317.9939948011186,204,14522
317.9939948011186,205,14602
317.9939948011186,206,14674
317.9939948011186,207,14742
317.9939948011186,208,14800
317.9939948011186,209,14894
311.5730549186841,210,14980
311.5730549186841,211,15047
311.5730549186841,212,15139
311.5730549186841,213,15219
311.5730549186841,214,15307
311.5730549186841,215,15388
311.5730549186841,216,15478
311.5730549186841,217,15566
292.0170609640292,218,15642
292.0170609640292,219,15729
292.0170609640292,220,15817
292.0170609640292,221,15891
292.0170609640292,222,15978
292.0170609640292,223,16068
292.0170609640292,224,16153
292.0170609640292,225,16235
288.7725394820212,226,16314
288.7725394820212,227,16398
288.7725394820212,228,16481
288.7725394820212,229,16561
288.7725394820212,230,16627
288.7725394820212,231,16715
288.7725394820212,232,16786
288.7725394820212,233,16854
288.7725394820212,234,16949
288.7725394820212,235,17028
288.7725394820212,236,17127
288.7725394820212,237,17207
288.7725394820212,238,17297
288.7725394820212,239,17371
288.7725394820212,240,17449
288.7725394820212,241,17542
288.7725394820212,242,17630
288.7725394820212,243,17702
288.7725394820212,244,17798
281.131686000299,245,17879
281.131686000299,246,17984
281.131686000299,247,18049
281.131686000299,248,18129
281.131686000299,249,18206
281.131686000299,250,18306
281.131686000299,251,18377
281.131686000299,252,18461
281.131686000299,253,18537
281.131686000299,254,18615
279.92751984719956,255,18712
279.92751984719956,256,18788
279.92751984719956,257,18861
279.92751984719956,258,18943
279.92751984719956,259,19038
279.92751984719956,260,19116
279.92751984719956,261,19185
279.92751984719956,262,19275
279.92751984719956,263,19359
279.92751984719956,264,19449
279.92751984719956,265,19535
279.92751984719956,266,19605
279.92751984719956,267,19681
279.92751984719956,268,19759
279.92751984719956,269,19837
279.92751984719956,270,19918
279.92751984719956,271,19998
279.92751984719956,272,20070
279.92751984719956,273,20157
279.92751984719956,274,20242
279.92751984719956,275,20313
279.92751984719956,276,20393
279.92751984719956,277,20473
279.92751984719956,278,20550
279.92751984719956,279,20631
279.92751984719956,280,20709
279.92751984719956,281,20801
279.92751984719956,282,20874
