generation,unique_ids
0,30
1,18
2,17
3,18
4,15
5,21
6,16
7,11
8,12
9,13
10,12
11,15
12,11
13,13
14,11
15,13
16,14
17,8
18,6
19,8
20,7
21,7
22,9
23,10
24,9
25,10
26,6
27,6
28,4
29,6
30,9
31,8
32,9
33,9
34,4
35,3
36,8
37,9
38,8
39,6
40,6
41,7
42,6
43,5
44,8
45,9
46,7
47,9
48,6
49,6
50,9
51,8
52,7
53,4
54,6
55,9
56,6
57,8
58,5
59,8
60,6
61,8
62,5
63,9
64,6
65,8
66,6
67,3
68,5
69,5
70,6
71,6
72,4
73,3
74,7
75,8
76,7
77,4
78,3
79,4
80,5
81,7
82,5
83,5
84,8
85,6
86,6
87,5
88,2
89,4
90,3
91,5
92,5
93,9
94,6
95,6
96,2
97,6
98,5
99,2
100,3
101,6
102,4
103,6
104,5
105,5
106,7
107,7
108,3
109,5
110,3
111,6
112,6
113,7
114,6
115,5
116,7
117,6
118,9
119,4
120,5
121,4
122,6
123,3
124,3
125,7
126,5
127,5
128,5
129,6
130,6
131,4
132,5
133,6
134,4
135,3
136,4
137,5
138,7
139,4
140,11
141,11
142,9
143,10
144,7
145,5
146,8
147,8
148,7
149,4
150,6
151,5
152,6
153,7
154,5
155,3
156,6
157,4
158,3
159,5
160,5
161,3
162,6
163,5
164,8
165,3
166,4
167,7
168,6
169,7
170,5
171,4
172,7
173,4
174,5
175,5
176,6
177,5
178,6
179,7
180,4
181,4
182,6
183,7
184,4
185,3
186,5
187,6
188,5
189,6
190,6
191,6
192,5
193,7
194,4
195,6
196,8
197,3
198,5
199,6
200,3
201,7
202,5
203,5
204,5
205,2
206,4
207,7
208,3
209,4
210,7
211,8
212,6
213,6
214,6
215,3
216,7
217,4
218,3
219,6
220,2
221,1
222,4
223,5
224,4
225,5
226,7
227,6
228,7
229,10
230,8
231,5
232,8
233,4
234,5
235,7
236,6
237,6
238,4
239,4
240,3
241,4
242,4
243,8
244,7
245,4
246,4
247,4
248,4
249,6
250,8
251,10
252,7
253,8
254,4
255,6
256,5
257,9
258,8
259,7
260,5
261,5
262,5
263,9
264,6
265,3
266,5
267,3
268,3
269,5
270,7
271,8
272,8
273,6
274,7
275,3
276,3
277,4
278,7
279,7
280,6
281,3
282,4
283,7
284,4
285,6
286,5
287,6
288,7
289,7
290,4
291,3
292,5
293,5
294,5
295,6
296,6
297,7
298,7
299,7
300,5
301,4
302,3
303,4
304,4
305,5
306,9
307,5
308,5
309,6
310,4
311,5
312,7
313,6
314,4
315,7
316,7
317,6
318,2
319,3
320,5
321,4
322,6
323,6
324,3
325,3
326,6
327,7
328,6
329,5
330,6
331,6
332,5
333,8
334,6
335,8
336,5
337,5
338,7
339,4
340,7
341,6
342,2
343,3
344,6
345,2
346,4
347,3
348,2
349,8
350,7
351,3
352,6
353,3
354,7
355,7
356,4
357,4
358,4
359,7
360,6
361,5
362,3
363,4
364,5
365,4
366,3
367,4
368,3
369,6
370,3
371,7
372,5
373,7
374,6
375,2
376,2
377,4
378,8
379,5
380,7
381,5
382,1
383,1
384,1
385,2
386,3
387,5
388,3
389,4
390,5
391,3
392,2
393,3
394,7
395,5
396,5
397,5
398,6
399,4
400,5
401,4
402,4
403,6
404,5
405,3
406,4
407,7
408,3
409,4
410,7
411,5
412,5
413,6
414,4
415,6
416,8
417,4
418,4
419,1
420,2
421,7
422,8
423,6
424,3
425,3
426,3
427,3
428,6
429,6
430,4
431,8
432,7
433,7
434,7
435,3
436,6
437,6
438,10
439,8
440,11
441,6
442,5
443,5
444,6
445,5
446,9
447,10
448,5
449,7
450,8
451,10
452,8
453,7
454,6
455,7
456,3
457,6
458,7
459,7
460,6
461,5
462,7
463,3
464,5
465,6
466,7
467,3
468,8
469,8
470,5
471,4
472,4
473,3
474,7
475,6
476,6
477,5
478,8
479,6
480,5
481,6
482,4
483,2
484,5
485,5
486,5
487,5
488,5
489,1
490,3
491,4
492,1
493,2
494,6
495,6
496,7
497,5
498,5
499,3
500,4
501,5
502,4
503,5
504,3
505,7
506,5
507,4
508,6
509,4
510,5
511,3
512,3
513,5
514,6
515,5
516,6
517,6
518,8
519,3
520,7
521,4
522,7
523,2
524,5
525,4
526,7
527,3
528,6
529,7
530,5
531,5
532,7
533,4
534,5
535,3
536,4
537,3
538,9
539,7
540,9
541,8
542,6
543,4
544,10
545,4
546,3
547,6
548,7
549,8
550,4
551,5
552,7
553,6
554,4
555,4
556,4
557,7
558,8
559,14
560,5
561,6
562,4
563,6
564,3
565,4
566,4
567,5
568,8
569,6
570,8
571,4
572,2
573,7
574,7
575,4
576,3
577,6
578,4
579,5
580,3
581,4
582,5
583,7
584,5
585,3
586,4
587,5
588,4
589,7
590,6
591,6
592,6
593,10
594,8
595,6
596,2
597,4
598,4
599,4
600,7
601,6
602,5
603,5
604,3
605,3
606,6
607,7
608,3
609,4
610,7
611,5
