generation,unique_ids
0,30
1,20
2,18
3,14
4,17
5,13
6,13
7,9
8,10
9,14
10,15
11,15
12,14
13,10
14,12
15,10
16,14
17,18
18,14
19,13
20,12
21,12
22,8
23,6
24,9
25,8
26,8
27,7
28,8
29,7
30,11
31,13
32,16
33,17
34,12
35,11
36,12
37,8
38,6
39,9
40,9
41,7
42,9
43,10
44,12
45,13
46,12
47,10
48,9
49,9
50,10
51,8
52,9
53,6
54,4
55,5
56,4
57,4
58,4
59,5
60,5
61,4
62,7
63,5
64,10
65,12
66,8
67,9
68,9
69,12
70,9
71,10
72,9
73,11
74,10
75,8
76,11
77,12
78,10
79,7
80,7
81,7
82,13
83,10
84,8
85,8
86,8
87,10
88,7
89,4
90,5
91,11
92,5
93,8
94,10
95,7
96,12
97,9
98,9
99,9
100,8
101,5
102,6
103,5
104,7
105,5
106,6
107,7
108,9
109,13
110,12
111,12
112,12
113,10
114,6
115,8
116,7
117,9
118,7
119,10
120,9
121,11
122,13
123,11
124,7
125,8
126,10
127,11
128,11
129,9
130,6
131,5
132,5
133,8
134,8
135,11
136,11
137,10
138,9
139,8
140,6
141,6
142,8
143,10
144,10
145,8
146,8
147,7
148,8
149,7
150,4
151,7
152,10
153,5
154,4
155,5
156,8
157,11
158,11
159,9
160,9
161,6
162,8
163,7
164,6
165,5
166,5
167,6
168,8
169,9
170,4
171,4
172,8
173,5
174,9
175,10
176,4
177,8
178,7
179,7
180,5
181,6
182,8
183,10
184,6
185,4
186,8
187,4
188,4
189,6
190,4
191,5
192,7
193,8
194,7
195,6
196,5
197,8
198,10
199,5
200,10
201,7
202,7
203,4
204,6
205,7
206,3
207,4
208,7
209,6
210,6
211,5
212,5
213,3
214,6
215,6
216,6
217,5
218,4
219,2
220,3
221,10
222,7
223,9
224,4
225,7
226,5
227,3
228,4
229,1
230,4
231,3
232,2
233,4
234,5
235,8
236,7
237,5
238,3
239,11
240,5
241,8
242,5
243,3
244,3
245,6
246,5
247,4
248,8
249,5
250,7
251,5
252,7
253,6
254,6
255,5
256,4
257,6
258,7
259,8
260,7
261,5
262,7
263,4
264,6
265,2
266,3
267,5
268,4
269,4
270,6
271,3
272,7
273,6
274,3
275,4
276,7
277,8
278,5
279,5
280,4
281,4
282,7
283,6
284,7
285,6
286,5
287,6
288,7
289,5
290,4
291,4
292,5
293,4
294,7
295,3
296,3
297,5
298,6
299,5
300,3
301,4
302,6
303,7
304,10
305,9
306,7
307,5
308,5
309,6
310,7
311,8
312,7
313,4
314,5
315,5
316,4
317,6
318,6
319,4
320,4
321,9
322,6
323,3
324,4
325,4
326,2
327,3
328,5
329,5
330,3
331,7
332,5
333,4
334,2
335,5
336,8
337,4
338,4
339,8
340,8
341,7
342,8
343,5
344,5
345,5
346,7
347,7
348,7
349,9
350,7
351,6
352,5
353,1
354,2
355,1
356,3
357,3
358,6
359,4
360,3
361,3
362,6
363,5
364,10
365,10
366,7
367,4
368,4
369,3
370,5
371,4
372,6
373,3
374,4
375,8
376,8
377,4
378,6
379,5
380,5
381,3
382,7
383,8
384,7
385,5
386,6
387,3
388,2
389,4
390,7
391,5
392,4
393,8
394,5
395,7
396,6
397,4
398,5
399,4
400,3
401,3
402,2
403,2
404,6
405,4
406,4
407,5
408,5
409,7
410,5
411,7
412,4
413,3
414,3
415,7
416,4
417,5
418,5
419,6
420,4
421,7
422,6
423,6
424,4
425,7
426,3
427,6
428,4
429,8
430,5
431,6
432,6
433,9
434,5
435,3
436,5
437,3
438,5
439,8
440,5
441,6
442,8
443,10
444,7
445,8
446,3
447,10
448,4
449,3
450,5
451,8
452,5
453,7
454,7
455,7
456,4
457,8
458,6
459,5
460,5
461,3
462,6
463,10
464,9
465,6
466,6
467,8
468,8
469,6
470,4
471,5
472,8
473,6
474,7
475,9
476,9
477,6
478,7
479,6
480,7
481,6
482,4
483,5
484,6
485,6
486,6
487,5
488,10
489,7
490,7
491,3
492,5
493,7
494,6
495,7
496,7
497,5
498,5
499,8
500,7
501,5
502,6
503,8
504,6
505,6
506,5
507,5
508,8
509,6
510,7
511,5
512,5
513,5
514,7
515,5
516,7
517,4
518,8
519,5
520,6
521,8
522,8
523,5
524,3
525,4
526,5
527,4
528,4
529,8
530,10
531,7
532,6
533,3
534,5
535,3
536,7
537,4
538,3
539,7
540,5
541,4
542,4
543,5
544,6
545,8
546,6
547,6
548,6
549,8
550,3
551,4
552,5
553,4
554,6
555,6
556,7
557,2
558,6
559,6
560,5
561,7
562,4
563,4
564,2
565,4
566,5
567,7
568,4
569,4
570,6
571,8
572,7
573,7
574,5
575,6
576,6
577,8
578,9
579,8
580,5
581,3
582,3
583,4
584,8
585,5
586,5
587,6
588,9
589,10
590,10
591,9
