objective_value,generation,evaluations
870754.4502394458,0,30
330352.1274557599,1,102
147958.4678019179,2,168
128878.47443225757,3,227
128878.47443225757,4,309
125019.28647087836,5,378
122948.87646223826,6,462
122265.568244935,7,544
120135.38894288416,8,623
120135.38894288416,9,684
119186.82266503101,10,766
117724.63405100699,11,835
117724.63405100699,12,922
114810.60268310526,13,1002
114810.60268310526,14,1045
114810.60268310526,15,1091
113628.2506227682,16,1160
113628.2506227682,17,1233
113628.2506227682,18,1330
111973.22699663308,19,1415
111338.27064036882,20,1499
109976.65373776913,21,1584
109976.65373776913,22,1641
109497.54866213349,23,1711
108184.52652621988,24,1800
108184.52652621988,25,1850
106660.78965511963,26,1932
106660.78965511963,27,2012
99977.1589679675,28,2095
99045.9393487476,29,2154
97157.87627003723,30,2234
95830.16226663742,31,2328
95830.16226663742,32,2401
92862.60116253968,33,2475
92862.60116253968,34,2521
92862.60116253968,35,2579
90853.72232825783,36,2649
90853.72232825783,37,2730
90853.72232825783,38,2826
89010.68831183219,39,2910
89010.68831183219,40,2993
88227.64229340007,41,3070
87425.28582527406,42,3121
87248.31973389586,43,3204
87248.31973389586,44,3269
87248.31973389586,45,3348
86101.2876677762,46,3453
82731.23569060002,47,3530
81797.37826442215,48,3633
81797.37826442215,49,3730
79084.97032753048,50,3790
79084.97032753048,51,3870
78296.88133472695,52,3940
78296.88133472695,53,4003
77293.18757902912,54,4073
74121.75427262917,55,4173
74121.75427262917,56,4247
74121.75427262917,57,4329
72627.9825381903,58,4418
72627.9825381903,59,4495
72627.9825381903,60,4568
71420.63661731135,61,4657
71574.54562168557,62,4739
70612.75344874428,63,4818
70388.2268273211,64,4896
69602.68526954723,65,4979
66763.35179447844,66,5068
64722.739368462855,67,5142
64687.70494491968,68,5219
64070.14207692259,69,5300
64070.14207692259,70,5373
62412.800834046066,71,5466
62412.800834046066,72,5541
62412.800834046066,73,5616
61700.69936547681,74,5702
61700.69936547681,75,5772
61160.207759804936,76,5847
61046.21721553611,77,5927
59747.397846843625,78,6005
59747.397846843625,79,6062
59747.397846843625,80,6146
59747.397846843625,81,6235
59747.397846843625,82,6334
59209.13227009182,83,6427
57618.63892488762,84,6508
57618.63892488762,85,6576
56404.23470103043,86,6668
56189.20688371602,87,6743
56189.20688371602,88,6834
56189.20688371602,89,6921
55826.48947032613,90,7002
55612.91048084362,91,7065
54682.01167785529,92,7143
53207.281371425364,93,7219
52607.36774631981,94,7266
52607.36774631981,95,7320
