generation,unique_ids
0,30
1,24
2,22
3,23
4,23
5,20
6,22
7,20
8,25
9,26
10,23
11,22
12,21
13,24
14,25
15,26
16,26
17,22
18,26
19,24
20,25
21,25
22,21
23,26
24,23
25,26
26,26
27,26
28,24
29,24
30,23
31,21
32,20
33,26
34,25
35,23
36,23
37,26
38,27
39,27
40,23
41,23
42,24
43,25
44,22
45,27
46,26
47,22
48,22
49,27
50,22
51,21
52,23
53,20
54,23
55,23
56,22
57,25
58,24
59,25
60,27
61,25
62,26
63,24
64,23
65,24
66,23
67,24
68,24
69,18
70,17
71,19
72,23
73,25
74,22
75,22
76,22
77,21
78,21
79,24
80,24
81,24
82,21
83,23
84,23
85,22
86,26
87,24
88,24
89,25
90,23
91,23
92,22
93,21
94,25
95,25
96,26
97,23
98,22
99,24
100,22
101,23
102,22
103,26
104,26
105,24
106,25
107,23
108,26
109,22
110,19
111,24
112,25
113,25
114,22
115,25
116,27
117,26
118,22
119,20
120,21
121,21
122,22
123,24
124,21
125,21
126,21
127,20
128,20
129,21
130,21
131,24
132,23
133,23
134,22
135,20
136,21
137,21
138,20
139,18
140,21
141,23
142,22
143,23
144,24
145,24
146,24
147,25
148,20
149,21
150,23
151,21
152,25
153,25
154,24
155,21
156,23
157,21
158,21
159,23
160,21
161,22
162,24
163,23
164,25
165,26
166,25
167,24
168,23
169,26
170,21
171,22
172,24
173,22
174,20
175,23
176,25
177,25
178,25
179,24
180,23
181,22
182,22
183,24
184,26
185,23
186,23
187,23
188,23
189,23
190,25
191,24
192,23
193,20
194,26
195,24
196,21
197,25
198,22
199,19
200,20
201,22
202,20
203,22
204,22
205,24
206,25
207,24
208,24
209,24
210,22
211,24
212,25
213,24
214,25
215,22
216,21
217,23
218,26
219,23
220,22
221,25
222,24
223,23
224,20
225,24
226,25
227,24
228,26
229,25
230,25
231,27
232,27
233,24
234,25
235,26
236,22
237,21
238,21
239,22
240,23
241,23
242,23
243,20
244,23
245,19
246,19
247,21
248,24
249,23
250,23
251,24
252,28
253,22
254,26
255,23
256,26
257,20
258,24
259,22
260,23
261,26
262,24
263,24
264,21
265,22
266,24
267,24
268,20
269,22
270,22
271,22
272,20
273,19
274,17
275,24
276,22
277,20
278,18
279,25
280,23
281,23
282,24
283,20
284,19
285,23
286,23
287,24
288,25
289,24
290,26
291,23
292,20
293,26
294,21
295,23
296,24
297,24
298,23
299,23
300,20
301,22
302,23
303,21
304,24
305,27
306,24
307,22
308,25
309,24
310,21
311,22
312,24
313,22
314,20
315,26
316,23
317,20
318,23
319,23
320,24
321,25
322,23
323,24
324,21
325,23
326,22
327,26
328,23
329,21
330,21
331,22
332,23
333,23
334,24
335,22
336,20
337,19
338,24
339,24
340,23
341,24
342,27
343,23
344,23
345,23
346,23
347,22
348,25
349,26
350,18
351,21
352,23
353,27
354,22
355,24
356,23
357,21
358,20
359,23
360,25
361,23
362,21
363,21
364,20
365,18
366,23
367,25
368,21
369,20
370,20
371,26
372,20
373,24
374,25
375,21
376,24
377,25
378,24
379,23
380,24
381,23
382,25
383,22
384,24
385,19
386,20
387,23
388,21
389,22
390,23
391,21
392,24
393,23
394,22
395,22
396,22
397,24
398,24
399,24
400,22
401,24
402,20
403,24
404,20
405,19
406,19
407,25
408,21
409,22
410,24
411,26
412,23
413,23
414,26
415,23
416,25
417,25
418,26
419,24
420,24
421,22
422,22
423,22
424,25
425,24
426,27
427,19
428,24
429,26
430,21
431,24
432,24
433,23
434,22
435,22
436,22
437,24
438,21
439,22
440,24
441,22
442,18
443,21
444,20
445,22
446,20
447,25
448,24
449,24
450,25
451,24
452,25
453,27
454,24
455,20
456,21
457,24
458,24
459,19
460,22
461,22
462,22
463,23
464,24
465,24
466,24
467,26
468,23
469,20
470,25
471,20
472,23
473,25
474,23
475,23
476,24
477,23
478,23
479,24
480,25
481,25
482,23
483,25
484,27
485,24
486,24
487,25
488,25
489,22
490,21
491,23
492,25
493,24
494,25
495,26
496,20
497,22
498,21
499,27
500,28
501,26
502,22
503,27
504,25
505,27
506,25
507,23
508,20
509,24
510,26
511,26
512,21
513,19
514,23
515,20
516,22
517,17
518,25
519,21
520,22
521,21
522,18
523,22
524,25
525,23
526,23
527,21
528,18
529,22
530,22
531,21
532,20
533,22
534,25
535,24
536,23
537,19
538,22
539,25
540,24
541,26
542,22
543,25
544,24
545,22
546,22
547,21
548,23
549,23
550,26
551,22
552,24
553,21
554,21
555,26
556,25
557,23
558,22
559,27
560,22
561,22
562,23
563,24
564,25
565,22
566,23
567,23
568,23
569,19
570,17
571,24
572,25
573,23
574,25
575,27
576,24
577,23
578,23
579,21
580,22
581,22
582,22
583,23
584,23
585,22
586,25
587,20
588,20
589,24
590,25
591,27
592,23
593,20
594,19
595,22
596,24
597,26
598,19
599,19
600,23
601,22
602,25
603,22
604,25
605,23
606,25
607,26
608,26
609,22
610,24
611,24
612,24
613,24
614,23
615,26
616,26
617,24
618,25
619,26
620,21
621,19
622,25
623,23
624,25
625,23
626,24
627,25
628,23
629,23
630,19
631,25
632,24
633,23
634,23
635,24
636,25
637,23
638,28
639,23
640,25
641,27
642,26
643,24
644,26
645,26
646,24
647,22
648,24
649,24
650,18
651,24
652,24
653,25
654,21
655,21
656,23
657,23
658,26
659,23
660,25
661,24
662,21
663,24
664,24
665,20
666,19
667,26
668,27
669,27
670,24
671,24
672,24
673,25
674,25
675,26
676,22
677,20
678,24
679,24
680,24
681,24
682,18
683,22
684,17
685,21
686,18
687,22
688,20
689,23
690,23
691,22
692,24
693,23
694,20
695,23
696,19
697,20
698,22
699,22
700,23
701,27
702,26
703,25
704,23
705,25
706,23
707,23
708,22
709,25
710,22
711,23
712,25
713,23
714,25
715,24
716,28
717,23
718,21
719,23
720,21
721,26
722,22
723,26
724,22
725,25
726,23
727,24
728,21
729,22
730,21
731,25
732,28
733,26
734,20
735,26
736,21
737,23
738,28
739,24
740,26
741,27
742,24
743,25
744,24
745,23
746,17
747,24
748,24
749,26
750,23
751,26
752,21
753,24
754,22
755,21
756,22
757,24
758,23
759,24
760,22
761,23
762,19
763,20
764,22
765,21
766,21
767,25
768,25
769,25
770,22
771,19
772,24
773,20
774,20
775,22
776,24
777,25
778,23
779,22
780,24
781,25
782,22
783,22
784,21
785,25
786,25
787,25
788,22
789,19
790,23
791,22
792,24
793,22
794,24
795,23
796,23
797,22
798,22
799,24
800,22
801,23
802,23
803,25
804,25
805,25
806,24
807,22
808,26
809,24
810,26
811,23
812,24
813,24
814,26
815,25
816,24
817,22
818,21
819,24
820,27
821,27
822,26
823,24
824,26
825,20
826,23
827,21
828,20
829,24
