objective_value,generation,evaluations
21.09774913569885,0,30
20.491975834157362,1,78
20.491975834157362,2,119
20.491975834157362,3,172
20.491975834157362,4,223
20.491975834157362,5,264
20.491975834157362,6,323
20.491975834157362,7,382
20.491975834157362,8,453
20.534825334182155,9,499
20.462625217390475,10,550
20.339230678521826,11,607
20.656303726734233,12,654
20.66789611498958,13,722
20.66789611498958,14,797
20.66789611498958,15,862
20.399512766686517,16,920
20.399512766686517,17,973
20.399512766686517,18,1027
20.399512766686517,19,1071
20.565472171974392,20,1121
20.639284042341078,21,1164
20.639284042341078,22,1206
20.625529193812184,23,1266
20.39087203474223,24,1326
20.625529193812184,25,1378
20.625529193812184,26,1439
20.625529193812184,27,1499
20.533695850233848,28,1549
20.533695850233848,29,1597
20.533695850233848,30,1662
20.533695850233848,31,1725
20.664922037038103,32,1782
20.544504339455074,33,1844
20.733204156666993,34,1892
20.55485121427422,35,1945
20.343957704919365,36,1997
20.343957704919365,37,2045
20.343957704919365,38,2099
20.560459674560544,39,2146
20.548377280855423,40,2188
20.560459674560544,41,2243
20.621919629273876,42,2292
20.621919629273876,43,2350
20.621919629273876,44,2413
20.621919629273876,45,2470
20.695430217144402,46,2517
20.738007256577603,47,2579
20.559223029529996,48,2634
20.738007256577603,49,2697
20.555572963444344,50,2750
20.618628207880917,51,2812
20.434179976776782,52,2857
20.434179976776782,53,2914
20.618628207880917,54,2979
20.65461951970894,55,3038
20.65461951970894,56,3099
20.644810786069865,57,3162
20.625081534520103,58,3221
20.625081534520103,59,3267
20.625081534520103,60,3329
20.46696359097489,61,3381
20.46696359097489,62,3443
20.46696359097489,63,3515
20.46696359097489,64,3559
20.352770842513618,65,3616
20.46696359097489,66,3671
20.46696359097489,67,3721
20.46696359097489,68,3770
20.46696359097489,69,3821
20.543150663606927,70,3870
20.60959541033859,71,3930
20.60959541033859,72,3992
20.5397868793148,73,4048
20.60959541033859,74,4112
20.66083044483352,75,4171
20.66083044483352,76,4234
20.686369085428257,77,4300
20.626553521984015,78,4355
20.729585251202916,79,4418
