generation,unique_ids
0,30
1,24
2,27
3,27
4,24
5,22
6,24
7,26
8,27
9,26
10,28
11,26
12,29
13,27
14,27
15,29
16,26
17,26
18,25
19,27
20,30
21,27
22,26
23,27
24,27
25,24
26,29
27,26
28,29
29,25
30,25
31,28
32,28
33,24
34,25
35,25
36,26
37,28
38,26
39,24
40,25
41,28
42,28
43,26
44,26
45,27
46,29
47,28
48,28
49,24
50,27
51,27
52,26
53,26
54,26
55,26
56,28
57,26
58,27
59,23
60,26
61,26
62,22
63,28
64,25
65,25
66,24
67,29
68,24
69,27
70,27
71,27
72,26
73,26
74,25
75,28
76,24
77,27
78,25
79,26
80,26
81,27
82,24
83,27
84,26
85,27
86,26
87,26
88,28
89,26
90,27
91,25
92,27
93,25
94,28
95,25
96,28
97,25
98,27
99,25
100,27
101,25
102,29
103,26
104,28
105,28
106,23
107,26
108,27
109,25
110,29
111,27
112,26
113,29
114,27
115,25
116,26
117,26
118,26
119,27
120,25
121,28
122,24
123,22
124,23
125,24
126,25
127,25
128,27
129,24
130,24
131,26
132,27
133,25
134,24
135,24
136,25
137,28
138,27
139,28
140,27
141,27
142,27
143,26
144,25
145,23
146,26
147,25
148,27
149,26
150,26
151,28
152,27
153,26
154,27
155,26
156,30
157,27
158,27
159,25
160,26
161,27
162,28
163,26
164,25
165,22
166,25
167,25
168,24
169,25
170,24
171,24
172,27
173,28
174,26
175,24
176,25
177,27
178,27
179,26
180,26
181,28
182,27
183,26
184,27
185,29
186,27
187,27
188,26
189,26
190,26
191,26
192,22
193,26
194,28
195,25
196,28
197,25
198,27
199,27
200,28
201,28
202,29
203,25
204,26
205,28
206,28
207,26
208,23
209,28
210,27
211,26
212,26
213,26
214,23
215,24
216,26
217,27
218,27
219,24
220,25
221,27
222,26
223,25
224,27
225,28
226,25
227,27
228,29
229,27
230,27
231,26
232,29
233,25
234,26
235,24
236,25
237,25
238,28
239,28
240,26
241,26
242,27
243,26
244,24
245,23
246,26
247,25
248,25
249,27
250,27
251,24
252,26
253,27
254,27
255,27
256,29
257,28
258,25
259,26
260,23
261,27
262,25
263,24
264,25
265,23
266,25
267,26
268,26
269,24
270,26
271,27
272,29
273,25
274,26
275,26
276,25
277,24
278,27
279,25
280,27
281,25
282,30
283,29
284,24
285,25
286,26
287,25
288,27
289,22
290,27
291,29
292,27
293,21
294,25
295,25
296,26
297,26
298,28
299,29
300,24
301,27
302,28
303,26
304,27
305,26
306,25
307,26
308,25
309,27
310,25
311,26
312,24
313,28
314,27
315,28
316,26
317,28
318,27
319,26
320,27
321,30
322,25
323,27
324,28
325,27
326,27
327,29
328,28
329,25
330,28
331,25
332,27
333,26
334,29
335,27
336,26
337,24
338,26
339,29
340,25
341,29
342,25
343,28
344,27
345,25
346,24
347,28
348,23
349,25
350,25
351,28
352,26
353,26
354,28
355,25
356,23
357,27
358,28
359,26
360,26
361,26
362,26
363,28
364,27
365,26
366,25
367,27
368,26
369,26
370,27
371,28
372,28
373,25
374,24
375,26
376,27
377,28
378,28
379,24
380,29
381,25
382,24
383,26
384,24
385,26
386,27
387,28
388,24
389,26
390,28
391,27
392,26
393,28
394,24
395,24
396,26
397,28
398,27
399,27
400,27
401,29
402,27
403,24
404,27
405,26
406,28
407,27
408,27
409,25
410,24
411,26
412,25
413,27
414,28
415,27
416,25
417,27
418,24
419,25
420,26
421,28
422,28
423,28
424,26
425,25
426,29
427,26
428,22
429,25
430,28
431,24
432,22
433,23
434,24
435,25
436,27
437,24
438,28
439,27
440,28
441,21
442,24
443,27
444,24
445,28
446,24
447,28
448,27
449,28
450,25
451,26
452,25
453,27
454,29
455,27
456,23
457,26
458,28
459,27
460,27
461,29
462,26
463,28
464,26
465,28
466,27
467,24
468,28
469,29
470,25
471,25
472,27
473,27
474,24
475,25
476,26
477,27
478,25
479,27
480,25
481,29
482,26
483,28
484,28
485,27
486,29
487,29
488,28
489,27
490,28
491,24
492,25
493,26
494,27
495,26
496,28
497,24
498,27
499,26
500,25
501,25
502,25
503,26
504,27
505,26
506,26
507,23
508,26
509,28
510,25
511,25
512,25
513,29
514,26
515,26
516,28
517,24
518,25
519,24
520,27
521,26
522,27
523,30
524,28
525,27
526,28
527,25
528,25
529,22
530,23
531,26
532,29
533,24
534,28
535,26
536,27
537,26
538,27
539,26
540,27
541,28
542,28
543,25
544,26
545,25
546,29
547,27
548,26
549,24
550,27
551,29
552,27
553,25
554,29
555,28
556,27
557,26
558,28
559,24
560,27
561,22
562,24
563,26
564,24
565,23
566,26
567,25
568,26
569,25
570,27
571,27
572,27
573,27
574,27
575,26
576,25
577,27
578,27
579,29
580,27
581,22
582,25
583,26
584,25
585,25
586,27
587,27
588,26
589,28
590,26
591,27
592,26
593,26
594,27
595,26
596,28
597,30
598,27
599,26
600,28
601,25
602,25
603,27
604,28
605,27
606,26
607,28
608,26
609,25
610,26
611,27
612,24
613,26
614,25
615,23
