generation,unique_ids
0,30
1,24
2,25
3,24
4,26
5,26
6,27
7,25
8,28
9,24
10,25
11,25
12,24
13,25
14,27
15,24
16,24
17,25
18,24
19,25
20,25
21,28
22,25
23,25
24,21
25,25
26,24
27,26
28,23
29,24
30,26
31,26
32,25
33,27
34,26
35,27
36,28
37,25
38,26
39,22
40,27
41,28
42,28
43,28
44,27
45,28
46,26
47,26
48,25
49,24
50,26
51,25
52,26
53,26
54,25
55,24
56,25
57,28
58,26
59,22
60,26
61,26
62,26
63,25
64,24
65,27
66,26
67,27
68,25
69,28
70,26
71,27
72,27
73,25
74,24
75,23
76,24
77,21
78,24
79,27
80,28
81,26
82,24
83,26
84,27
85,26
86,26
87,25
88,28
89,27
90,28
91,27
92,22
93,27
94,24
95,27
96,25
97,27
98,27
99,27
100,28
101,28
102,28
103,26
104,27
105,26
106,27
107,26
108,26
109,24
110,26
111,28
112,26
113,26
114,25
115,25
116,28
117,25
118,28
119,24
120,26
121,26
122,23
123,24
124,27
125,26
126,27
127,26
128,26
129,26
130,28
131,26
132,27
133,18
134,23
135,25
136,27
137,27
138,28
139,26
140,27
141,25
142,29
143,26
144,26
145,26
146,28
147,23
148,26
149,26
150,25
151,28
152,28
153,28
154,24
155,28
156,24
157,27
158,26
159,27
160,27
161,26
162,26
163,29
164,26
165,24
166,27
167,27
168,29
169,28
170,26
171,27
172,25
173,23
174,24
175,23
176,25
177,24
178,24
179,23
180,30
181,25
182,28
183,25
184,25
185,27
186,28
187,26
188,27
189,26
190,21
191,26
192,27
193,26
194,26
195,26
196,28
197,26
198,27
199,29
200,25
201,23
202,26
203,24
204,28
205,29
206,26
207,27
208,27
209,27
210,26
211,28
212,28
213,26
214,23
215,25
216,29
217,28
218,24
219,26
220,25
221,29
222,28
223,28
224,26
225,22
226,25
227,28
228,24
229,25
230,27
231,25
232,23
233,26
234,26
235,23
236,27
237,26
238,24
239,28
240,28
241,26
242,23
243,23
244,25
245,26
246,27
247,24
248,29
249,27
250,27
251,25
252,26
253,26
254,27
255,27
256,26
257,25
258,30
259,28
260,26
261,27
262,24
263,27
264,28
265,27
266,27
267,27
268,23
269,27
270,26
271,27
272,26
273,27
274,24
275,24
276,26
277,24
278,28
279,27
280,25
281,28
282,26
283,24
284,26
285,30
286,26
287,25
288,27
289,24
290,25
291,24
292,28
293,27
294,25
295,28
296,23
297,27
298,27
299,25
300,26
301,26
302,26
303,27
304,27
305,27
306,28
307,25
308,25
309,28
310,25
311,25
312,28
313,25
314,27
315,27
316,25
317,27
318,28
319,25
320,24
321,29
322,26
323,27
324,23
325,26
326,27
327,27
328,27
329,26
330,27
331,27
332,27
333,25
334,24
335,25
336,27
337,27
338,28
339,27
340,26
341,24
342,27
343,28
344,26
345,28
346,29
347,27
348,26
349,27
350,26
351,29
352,25
353,26
354,26
355,29
356,24
357,27
358,24
359,27
360,25
361,28
362,21
363,26
364,30
365,29
366,27
367,28
368,24
369,26
370,27
371,25
372,26
373,28
374,27
375,26
376,24
377,25
378,27
379,27
380,23
381,27
382,25
383,25
384,24
385,27
386,27
387,25
388,27
389,29
390,28
391,26
392,23
393,24
394,26
395,27
396,29
397,26
398,23
399,25
400,25
401,26
402,27
403,29
404,29
405,29
406,25
407,24
408,27
409,26
410,27
411,26
412,27
413,26
414,25
415,28
416,26
417,25
418,28
419,25
420,27
421,25
422,25
423,27
424,23
425,25
426,28
427,23
428,28
429,27
430,24
431,24
432,26
433,26
434,25
435,26
436,27
437,23
438,26
439,24
440,26
441,26
442,26
443,25
444,25
445,27
446,23
447,24
448,29
449,26
450,24
451,27
452,27
453,27
454,25
455,29
456,27
457,25
458,26
459,25
460,27
461,27
462,27
463,24
464,30
465,26
466,26
467,26
468,26
469,25
470,26
471,25
472,27
473,29
474,27
475,25
476,25
477,25
478,25
479,22
480,25
481,26
482,28
483,23
484,30
485,27
486,28
487,25
488,29
489,28
490,24
491,24
492,25
493,28
494,28
495,26
496,27
497,24
498,24
499,26
500,27
501,24
502,27
503,28
504,28
505,29
506,26
507,27
508,22
509,23
510,26
511,26
512,25
513,25
514,29
515,24
516,24
517,25
518,29
519,27
520,26
521,28
522,26
523,25
524,28
525,25
526,26
527,27
528,28
529,27
530,29
531,27
532,27
533,25
534,29
535,24
536,27
537,26
538,26
539,25
540,25
541,27
542,24
543,26
544,25
545,24
546,25
547,27
548,23
549,26
550,22
551,27
552,28
553,23
554,25
555,27
556,25
557,27
558,27
559,25
560,26
561,25
562,24
563,26
564,24
565,26
566,24
567,27
568,27
569,25
570,28
571,25
572,28
573,26
574,26
575,29
576,24
577,26
578,27
579,28
580,25
581,27
582,27
583,24
584,28
585,25
586,28
587,25
588,25
589,27
590,25
591,24
592,26
593,24
594,23
595,21
596,26
597,23
598,22
599,25
600,28
601,28
602,24
603,25
604,27
605,30
606,29
607,27
608,25
609,27
610,25
611,22
612,28
613,26
614,25
615,25
616,26
617,27
618,25
619,25
620,24
621,24
622,28
623,27
624,26
625,24
626,26
627,25
628,25
629,26
630,23
631,24
632,27
633,30
634,28
