objective_value,generation,evaluations
-4.984169714382229e-230,0,30
-4.984169714382229e-230,1,60
-4.984169714382229e-230,2,90
-1.085766307489513e-19,3,141
-1.085766307489513e-19,4,202
-1.085766307489513e-19,5,268
-1.085766307489513e-19,6,321
-1.085766307489513e-19,7,372
-1.085766307489513e-19,8,429
-1.085766307489513e-19,9,488
-1.085766307489513e-19,10,535
-1.085766307489513e-19,11,592
-1.085766307489513e-19,12,646
-1.085766307489513e-19,13,705
-1.085766307489513e-19,14,756
-1.085766307489513e-19,15,808
-1.085766307489513e-19,16,864
-1.1408144884764304e-12,17,926
-1.1408144884764304e-12,18,960
-0.14367273106498324,19,1028
-0.14367273106498324,20,1066
-0.824866745868869,21,1145
-0.824866745868869,22,1187
-0.824866745868869,23,1256
-0.824866745868869,24,1334
-0.824866745868869,25,1403
-0.824866745868869,26,1481
-0.824866745868869,27,1570
-0.824866745868869,28,1655
-0.824866745868869,29,1723
-0.824866745868869,30,1799
-0.824866745868869,31,1874
-0.9083488489812505,32,1965
-0.8508664756615154,33,2034
-0.8508664756615154,34,2121
-0.8508664756615154,35,2187
-0.8508664756615154,36,2280
-0.8508664756615154,37,2368
-0.8508664756615154,38,2451
-0.8508664756615154,39,2530
-0.8508664756615154,40,2607
-0.8508664756615154,41,2681
-0.8508664756615154,42,2757
-0.8508664756615154,43,2846
-0.8508664756615154,44,2919
-0.8508664756615154,45,3002
-0.9204619392906663,46,3106
-0.9204619392906663,47,3140
-0.9204619392906663,48,3173
-0.9204619392906663,49,3257
-0.7840284137469057,50,3290
-0.7840284137469057,51,3346
-0.7840284137469057,52,3401
-0.7840284137469057,53,3448
-0.7840284137469057,54,3504
-0.7840284137469057,55,3556
-0.7840284137469057,56,3604
-0.7840284137469057,57,3660
-0.7840284137469057,58,3706
-0.7840284137469057,59,3762
-0.7840284137469057,60,3819
-0.7840284137469057,61,3878
-0.7840284137469057,62,3931
-0.7840284137469057,63,3988
-0.7840284137469057,64,4049
-0.7840284137469057,65,4114
-0.7840284137469057,66,4169
-0.7840284137469057,67,4221
-0.7840284137469057,68,4272
-0.7840284137469057,69,4317
-0.7840284137469057,70,4368
-0.7840284137469057,71,4418
-0.7840284137469057,72,4463
-0.7840284137469057,73,4512
-0.7840284137469057,74,4561
-0.7840284137469057,75,4613
-0.7840284137469057,76,4668
-0.7840284137469057,77,4725
-0.7840284137469057,78,4780
-0.7840284137469057,79,4838
-0.7840284137469057,80,4891
-0.7840284137469057,81,4956
-0.7840284137469057,82,5009
-0.7840284137469057,83,5066
-0.7840284137469057,84,5121
-0.7840284137469057,85,5176
-0.7840284137469057,86,5228
-0.7840284137469057,87,5278
-0.7840284137469057,88,5333
-0.7840284137469057,89,5386
-0.7840284137469057,90,5437
-0.7840284137469057,91,5492
-0.7840284137469057,92,5543
-0.7840284137469057,93,5599
-0.7840284137469057,94,5654
-0.7840284137469057,95,5707
-0.7840284137469057,96,5766
-0.7840284137469057,97,5821
-0.7840284137469057,98,5873
-0.7840284137469057,99,5935
-0.7840284137469057,100,5985
-0.7840284137469057,101,6037
-0.7840284137469057,102,6093
-0.7840284137469057,103,6137
-0.7840284137469057,104,6191
-0.7840284137469057,105,6245
-0.7840284137469057,106,6300
-0.7840284137469057,107,6353
-0.7840284137469057,108,6404
-0.7840284137469057,109,6459
-0.7840284137469057,110,6517
-0.7840284137469057,111,6569
-0.7840284137469057,112,6623
-0.7840284137469057,113,6676
-0.7840284137469057,114,6729
-0.7840284137469057,115,6789
-0.7840284137469057,116,6841
-0.7840284137469057,117,6896
-0.7840284137469057,118,6946
-0.7840284137469057,119,6993
-0.7840284137469057,120,7054
-0.7840284137469057,121,7106
-0.7840284137469057,122,7165
-0.7840284137469057,123,7216
-0.7840284137469057,124,7274
-0.7840284137469057,125,7336
-0.7840284137469057,126,7396
-0.7840284137469057,127,7451
-0.7840284137469057,128,7504
-0.7840284137469057,129,7562
-0.7840284137469057,130,7623
-0.7840284137469057,131,7680
-0.7840284137469057,132,7735
-0.7840284137469057,133,7789
-0.7840284137469057,134,7837
-0.7840284137469057,135,7891
-0.7840284137469057,136,7945
-0.7840284137469057,137,8001
-0.7840284137469057,138,8054
-0.7840284137469057,139,8108
-0.7840284137469057,140,8158
-0.7840284137469057,141,8213
-0.7840284137469057,142,8267
-0.7840284137469057,143,8348
-0.7840284137469057,144,8439
-0.7840284137469057,145,8527
-0.7840284137469057,146,8617
-0.7840284137469057,147,8695
-0.9295477178216685,148,8773
-0.9295477178216685,149,8854
-0.9295477178216685,150,8927
-0.7840284137469057,151,8994
-0.7840284137469057,152,9078
-0.8344856743720226,153,9160
-0.8344856743720226,154,9249
-0.9184519871846181,155,9334
-0.9184519871846181,156,9413
-0.8344856743720226,157,9480
-0.8344856743720226,158,9553
-0.8344856743720226,159,9628
-0.8344856743720226,160,9707
-0.8344856743720226,161,9802
-0.8344856743720226,162,9879
-0.8344856743720226,163,9954
-0.8344856743720226,164,10040
-0.9946175047819081,165,10113
-0.9946175047819081,166,10199
-0.9946175047819081,167,10265
-0.9946175047819081,168,10345
-0.9946175047819081,169,10437
-0.9946175047819081,170,10495
-0.9946175047819081,171,10566
-0.9946175047819081,172,10642
-0.9946175047819081,173,10716
-0.9946175047819081,174,10805
-0.9946175047819081,175,10893
-0.9946175047819081,176,10977
-0.9946175047819081,177,11046
-0.9946175047819081,178,11128
-0.9946175047819081,179,11195
-0.9946175047819081,180,11289
-0.9946175047819081,181,11360
-0.9954290193529272,182,11453
-0.9954290193529272,183,11532
-0.9954290193529272,184,11615
-0.9946175047819081,185,11678
-0.9946175047819081,186,11743
-0.9946175047819081,187,11831
-0.9946175047819081,188,11921
-0.9946175047819081,189,12009
-0.9946175047819081,190,12082
-0.9946175047819081,191,12153
-0.9946175047819081,192,12235
-0.9946175047819081,193,12324
-0.9946175047819081,194,12400
-0.9946175047819081,195,12490
-0.9946175047819081,196,12574
-0.9946175047819081,197,12664
-0.9946175047819081,198,12747
-0.9946175047819081,199,12827
-0.9946175047819081,200,12907
-0.9946175047819081,201,12989
-0.9946175047819081,202,13082
-0.9946175047819081,203,13168
-0.9946175047819081,204,13243
-0.9946175047819081,205,13326
-0.9946175047819081,206,13424
-0.9946175047819081,207,13510
-0.9946175047819081,208,13595
-0.9946175047819081,209,13677
-0.9946175047819081,210,13758
-0.9946175047819081,211,13845
-0.9946175047819081,212,13927
-0.9946175047819081,213,14013
-0.9946175047819081,214,14103
-0.9946175047819081,215,14180
-0.9946175047819081,216,14261
-0.9946175047819081,217,14340
-0.9946175047819081,218,14416
-0.9946175047819081,219,14499
-0.9946175047819081,220,14569
-0.9946175047819081,221,14625
-0.9946175047819081,222,14705
-0.9946175047819081,223,14784
-0.9946175047819081,224,14875
-0.9946175047819081,225,14961
-0.9946175047819081,226,15033
-0.9946175047819081,227,15111
-0.9946175047819081,228,15200
-0.9946175047819081,229,15287
-0.9946175047819081,230,15366
-0.9946175047819081,231,15453
-0.9946175047819081,232,15524
-0.9946175047819081,233,15610
-0.9946175047819081,234,15698
-0.9946175047819081,235,15783
-0.9946175047819081,236,15865
-0.9946175047819081,237,15956
-0.9946175047819081,238,16036
-0.9946175047819081,239,16119
-0.9946175047819081,240,16202
-0.9946175047819081,241,16291
-0.9946175047819081,242,16385
-0.9946175047819081,243,16462
-0.9946175047819081,244,16536
-0.9946175047819081,245,16618
-0.9946175047819081,246,16711
-0.9946175047819081,247,16799
-0.9946175047819081,248,16869
-0.9946175047819081,249,16950
-0.9946175047819081,250,17037
-0.9946175047819081,251,17125
-0.9946175047819081,252,17206
-0.9946175047819081,253,17291
-0.9946175047819081,254,17375
-0.9946175047819081,255,17453
-0.9946175047819081,256,17549
-0.9946175047819081,257,17631
-0.9946175047819081,258,17719
-0.9946175047819081,259,17808
-0.9946175047819081,260,17887
-0.9946175047819081,261,17963
-0.9946175047819081,262,18057
-0.9946175047819081,263,18151
-0.9946175047819081,264,18241
-0.9946175047819081,265,18337
-0.9946175047819081,266,18412
-0.9946175047819081,267,18502
-0.9946175047819081,268,18561
-0.9946175047819081,269,18646
-0.9946175047819081,270,18728
-0.9946175047819081,271,18801
-0.9946175047819081,272,18881
-0.9946175047819081,273,18971
-0.9946175047819081,274,19070
-0.9946175047819081,275,19155
-0.9946175047819081,276,19242
-0.9946175047819081,277,19325
-0.9946175047819081,278,19394
-0.9946175047819081,279,19466
-0.9946175047819081,280,19552
-0.9946175047819081,281,19622
-0.9946175047819081,282,19712
-0.9946175047819081,283,19798
-0.9946175047819081,284,19900
-0.9946175047819081,285,19991
-0.9946175047819081,286,20086
-0.9946175047819081,287,20171
-0.9946175047819081,288,20239
-0.9946175047819081,289,20305
-0.9946175047819081,290,20380
-0.9946175047819081,291,20467
-0.9946175047819081,292,20553
-0.9946175047819081,293,20636
-0.9946175047819081,294,20703
-0.9946175047819081,295,20781
-0.9946175047819081,296,20871
-0.9946175047819081,297,20947
-0.9946175047819081,298,21038
-0.9946175047819081,299,21110
-0.9946175047819081,300,21198
-0.9946175047819081,301,21286
-0.9946175047819081,302,21365
-0.9946175047819081,303,21452
-0.9946175047819081,304,21525
-0.9946175047819081,305,21601
-0.9946175047819081,306,21685
-0.9946175047819081,307,21758
-0.9946175047819081,308,21842
-0.9946175047819081,309,21919
-0.9946175047819081,310,22013
-0.9946175047819081,311,22099
-0.9946175047819081,312,22182
-0.9946175047819081,313,22264
-0.9946175047819081,314,22351
-0.9946175047819081,315,22432
-0.9946175047819081,316,22516
-0.9946175047819081,317,22598
-0.9946175047819081,318,22679
-0.9954383863403962,319,22754
-0.9954383863403962,320,22845
-0.9946175047819081,321,22924
-0.9946175047819081,322,23003
-0.9946175047819081,323,23072
-0.9946175047819081,324,23153
-0.9946175047819081,325,23237
-0.9946175047819081,326,23310
-0.9946175047819081,327,23389
-0.9946175047819081,328,23481
