generation,unique_ids
0,30
1,26
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,15
17,19
18,2
19,16
20,4
21,5
22,5
23,7
24,7
25,9
26,6
27,10
28,11
29,10
30,9
31,8
32,7
33,4
34,4
35,4
36,5
37,5
38,4
39,3
40,4
41,4
42,4
43,4
44,5
45,4
46,3
47,2
48,3
49,2
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,2
143,6
144,8
145,6
146,8
147,9
148,10
149,7
150,5
151,3
152,4
153,5
154,5
155,6
156,5
157,4
158,3
159,3
160,5
161,11
162,8
163,4
164,5
165,6
166,5
167,5
168,4
169,5
170,6
171,7
172,7
173,7
174,6
175,6
176,5
177,7
178,8
179,5
180,4
181,8
182,8
183,8
184,7
185,9
186,9
187,8
188,6
189,8
190,6
191,7
192,8
193,8
194,6
195,5
196,6
197,7
198,9
199,6
200,7
201,7
202,9
203,7
204,8
205,7
206,8
207,11
208,9
209,5
210,6
211,5
212,7
213,6
214,6
215,8
216,7
217,6
218,5
219,4
220,2
221,4
222,4
223,3
224,7
225,7
226,5
227,5
228,5
229,2
230,4
231,8
232,7
233,5
234,8
235,6
236,6
237,5
238,6
239,5
240,7
241,9
242,6
243,6
244,5
245,4
246,4
247,8
248,6
249,9
250,6
251,5
252,2
253,4
254,5
255,3
256,6
257,6
258,6
259,7
260,4
261,6
262,8
263,7
264,8
265,8
266,7
267,9
268,7
269,9
270,11
271,9
272,4
273,5
274,5
275,6
276,8
277,9
278,8
279,10
280,10
281,10
282,7
283,6
284,8
285,7
286,7
287,7
288,8
289,7
290,7
291,6
292,8
293,9
294,6
295,6
296,7
297,5
298,7
299,7
300,6
301,8
302,7
303,12
304,10
305,6
306,11
307,8
308,8
309,6
310,9
311,5
312,7
313,9
314,7
315,4
316,5
317,5
318,6
319,4
320,3
321,6
322,4
323,6
324,5
325,4
326,5
327,5
328,4
329,3
330,6
331,5
332,5
333,7
334,6
335,7
336,7
337,6
338,5
339,7
340,5
341,5
342,5
343,6
344,7
345,6
346,8
347,10
348,7
349,7
350,6
351,7
352,7
353,6
354,4
355,2
356,6
357,9
358,6
359,6
360,7
361,8
362,10
363,5
364,5
365,6
366,6
367,9
368,7
369,5
370,6
371,8
372,8
373,9
374,6
375,5
376,4
377,6
378,8
379,4
380,5
381,3
382,5
383,5
384,4
385,4
386,2
387,2
388,2
389,2
390,2
391,2
392,3
393,5
394,2
395,6
396,6
397,5
398,9
399,8
400,8
401,5
402,7
403,6
404,5
405,7
406,6
407,8
408,4
409,3
410,4
411,4
412,7
413,5
414,6
415,7
416,6
417,7
418,7
419,4
420,5
421,7
422,7
423,6
424,6
425,6
426,7
427,8
428,8
429,4
430,4
431,6
432,8
433,5
434,6
435,4
436,5
437,7
438,5
439,7
440,3
441,7
442,4
443,4
444,3
445,5
446,3
447,6
448,6
449,5
450,7
451,10
452,8
453,6
454,6
455,6
456,4
457,5
458,5
459,5
460,3
461,4
462,4
463,5
464,4
465,2
466,7
467,4
468,4
469,6
470,4
471,5
472,7
473,8
474,8
475,8
476,8
477,7
478,9
479,8
480,6
481,12
482,9
483,7
484,7
485,7
486,4
487,5
488,4
489,8
490,7
491,5
492,7
493,9
494,8
495,7
496,7
497,5
498,7
499,5
500,10
501,8
502,7
503,7
504,6
505,6
506,3
507,6
508,5
509,5
510,6
511,5
512,7
513,4
514,7
515,4
516,4
517,5
518,4
519,6
520,7
521,7
522,9
523,7
524,6
525,7
526,5
527,6
528,7
529,9
530,8
531,9
532,7
533,9
534,11
535,9
536,7
537,11
538,10
539,10
540,7
541,5
542,5
543,6
544,5
545,5
546,6
547,4
548,4
549,9
550,7
551,9
552,6
553,4
554,5
555,4
556,4
557,4
558,3
559,6
560,3
561,5
562,4
563,5
564,5
565,6
566,5
567,4
568,7
569,9
570,5
571,4
572,4
573,5
574,7
575,8
576,9
577,10
578,7
579,7
580,7
581,9
582,5
583,8
584,9
585,7
586,8
587,6
588,6
589,6
590,4
591,4
592,4
593,4
594,6
595,7
596,9
597,8
598,8
599,8
600,8
601,8
602,9
603,9
604,7
605,6
606,10
607,9
608,7
609,7
610,9
611,7
612,6
613,7
614,7
615,4
616,5
617,5
618,7
619,6
620,4
621,7
622,7
623,6
624,7
625,8
626,6
627,5
628,5
629,3
630,4
631,9
632,4
633,4
634,5
635,2
636,4
637,4
638,4
639,3
640,4
641,4
642,5
643,7
644,7
645,3
646,4
647,5
648,5
649,4
650,6
651,7
652,7
653,3
654,6
655,5
656,6
657,5
658,6
659,5
