objective_value,generation,evaluations
3438976.3022592007,0,30
2909483.369647738,1,90
3375979.943106764,2,170
2852236.9688875233,3,241
3063488.7493391293,4,319
2574186.078335196,5,415
2403463.3052341277,6,481
1881685.4078347129,7,567
1544514.5399011197,8,640
1815588.5386235241,9,701
1574102.0498625748,10,778
1476352.9771652538,11,852
1217186.417865957,12,915
1395967.0111887108,13,997
1371724.8239268702,14,1088
1371724.8239268702,15,1155
1734800.9928707813,16,1238
1748338.6592924297,17,1324
1530625.4382584745,18,1394
1254289.714475696,19,1488
1254289.714475696,20,1571
1231233.1749651001,21,1662
1247252.391997408,22,1731
1283841.1258129878,23,1811
1156019.514649535,24,1900
915407.3321689611,25,1973
915407.3321689611,26,2060
888409.3780034911,27,2142
863533.660438137,28,2220
888409.3780034911,29,2302
926422.2884300525,30,2383
844890.4576944807,31,2473
862046.1882258882,32,2545
733781.1428545953,33,2623
890609.3636797292,34,2708
896319.4130232347,35,2771
981349.0089250006,36,2862
892027.9363418892,37,2941
875980.183554628,38,3042
791404.8647988418,39,3126
960603.7730850404,40,3207
696964.8418411047,41,3300
786505.7489001155,42,3385
812444.3820945687,43,3465
728360.7324452334,44,3546
646779.3333687901,45,3628
691329.9020584176,46,3712
691329.9020584176,47,3803
691329.9020584176,48,3879
648940.839415347,49,3950
655326.4589511385,50,4038
693907.9491839248,51,4129
769317.1408564312,52,4204
739870.8124779722,53,4283
769317.1408564312,54,4366
729921.7644544835,55,4451
729921.7644544835,56,4525
833923.7806031446,57,4610
833923.7806031446,58,4689
866484.0558447584,59,4787
754986.3687150461,60,4863
780719.7413523745,61,4938
853705.8109224924,62,5023
916411.1801445282,63,5097
934332.2755782603,64,5181
761674.9307233549,65,5260
661566.353026231,66,5342
661566.353026231,67,5414
706152.6598618174,68,5498
775063.3589119179,69,5598
746656.4215818277,70,5672
716741.1715672482,71,5756
699463.9794283297,72,5836
701196.1940494623,73,5917
808621.9153957594,74,5995
711442.9533962805,75,6082
767716.481313808,76,6155
778632.9536266373,77,6251
695143.9314648408,78,6347
729192.6940589516,79,6431
494205.1234548216,80,6516
494205.1234548216,81,6605
613199.219218295,82,6674
658504.0064696814,83,6742
658504.0064696814,84,6829
658504.0064696814,85,6896
588375.8202432854,86,6986
598920.8240010958,87,7058
541196.8163172931,88,7143
578906.9695223356,89,7236
578906.9695223356,90,7319
578906.9695223356,91,7393
537481.0522801542,92,7473
521818.46595178323,93,7553
573042.4726624667,94,7637
951220.5742697766,95,7704
916493.8222866883,96,7774
986411.5675753866,97,7849
1180614.2989812838,98,7933
939489.9838686441,99,8017
1267107.3831028542,100,8107
2103617.719415201,101,8195
1914330.5287204832,102,8281
1637531.934528909,103,8364
1506575.9823742176,104,8432
1356113.4732795367,105,8509
1337335.6260936381,106,8580
1342905.395216582,107,8682
1206664.4506231332,108,8757
1241313.8149764421,109,8840
932235.1919832503,110,8914
964212.3610755977,111,9000
964212.3610755977,112,9080
964212.3610755977,113,9162
875289.7345956936,114,9246
875289.7345956936,115,9334
875289.7345956936,116,9415
803991.0869458076,117,9494
667413.1944730999,118,9571
570456.0734894843,119,9652
821754.3714516716,120,9735
739577.0938092647,121,9819
836474.2923886583,122,9905
846693.414306639,123,9995
827674.3689457302,124,10082
744320.9645776231,125,10162
744320.9645776231,126,10261
827674.3689457302,127,10332
857780.4840811245,128,10409
636494.4905368767,129,10484
559982.6842129005,130,10562
629871.5537455257,131,10640
636494.4905368767,132,10717
528189.7591695129,133,10791
450589.78994440206,134,10871
450589.78994440206,135,10950
522352.6899808728,136,11020
557167.1330717135,137,11102
616570.4523367519,138,11188
616570.4523367519,139,11265
522645.4501524804,140,11336
502390.8267402495,141,11416
502390.8267402495,142,11494
456876.8264567568,143,11576
472406.1375640651,144,11661
472406.1375640651,145,11739
498866.2634335793,146,11815
467370.2897852083,147,11880
457153.89797124354,148,11950
458430.63584915287,149,12025
490430.783375844,150,12104
408215.54504192434,151,12197
398287.000500575,152,12275
430267.27319687913,153,12370
393909.4387791722,154,12460
404661.22865048394,155,12527
430889.50753544667,156,12608
430889.50753544667,157,12664
399535.0436217394,158,12736
399535.0436217394,159,12844
308424.0910414855,160,12940
308424.0910414855,161,13037
449354.0359681802,162,13114
317148.074407214,163,13202
432186.7979093582,164,13277
414277.9193721814,165,13362
374034.0899804062,166,13428
365628.79650656105,167,13503
314299.84091901965,168,13588
314299.84091901965,169,13678
317723.9694049242,170,13770
365365.3520189094,171,13866
299962.3893292724,172,13949
299962.3893292724,173,14041
291714.509231464,174,14127
364331.5527215289,175,14217
366549.9162766774,176,14281
366549.9162766774,177,14356
366549.9162766774,178,14431
337289.998103977,179,14525
342994.1780889943,180,14622
294255.4198469081,181,14687
299442.80288951186,182,14771
290354.5476185357,183,14862
327444.8551123009,184,14946
287250.7992996017,185,15035
330760.5883577614,186,15110
330760.5883577614,187,15192
313768.6238933456,188,15289
313768.6238933456,189,15370
313768.6238933456,190,15438
286652.8071110062,191,15522
313768.6238933456,192,15622
354232.7127944925,193,15709
298903.57038848865,194,15774
327245.83102112234,195,15859
418822.7476442541,196,15951
418822.7476442541,197,16015
653110.5680986412,198,16086
493623.1136091143,199,16175
397106.4551252554,200,16266
387751.07128434133,201,16341
349728.4415717259,202,16415
494004.6183864278,203,16494
356678.8185562619,204,16564
348259.09547007293,205,16643
303875.4440765118,206,16717
311532.1246683466,207,16790
328515.85495099035,208,16892
350090.6334894771,209,16972
423998.8004723669,210,17061
408294.7190927724,211,17128
474859.92954990617,212,17216
534383.303900905,213,17304
392344.61585413176,214,17379
404466.6322069495,215,17458
394629.6760923923,216,17531
300970.05649311416,217,17624
178477.80897148498,218,17675
178477.80897148498,219,17738
178477.80897148498,220,17824
242787.25479737055,221,17899
302805.71815198567,222,17963
302805.71815198567,223,18040
318097.2180763422,224,18108
231865.32701863645,225,18208
231865.32701863645,226,18292
256746.53231351834,227,18366
256746.53231351834,228,18461
252626.590469567,229,18552
264119.9044647936,230,18634
399334.95179981116,231,18722
239769.52753087107,232,18807
315053.42379715113,233,18895
