generation,unique_ids
0,30
1,29
2,26
3,26
4,26
5,26
6,25
7,25
8,25
9,21
10,25
11,25
12,26
13,27
14,26
15,25
16,27
17,25
18,26
19,26
20,26
21,28
22,25
23,24
24,25
25,26
26,27
27,25
28,28
29,25
30,25
31,25
32,27
33,23
34,26
35,25
36,29
37,25
38,27
39,26
40,23
41,28
42,26
43,25
44,27
45,27
46,30
47,24
48,27
49,26
50,26
51,28
52,27
53,28
54,23
55,27
56,25
57,28
58,28
59,27
60,26
61,25
62,28
63,25
64,25
65,27
66,28
67,27
68,24
69,23
70,24
71,28
72,25
73,27
74,25
75,27
76,24
77,26
78,26
79,25
80,26
81,25
82,29
83,23
84,24
85,26
86,26
87,26
88,25
89,27
90,23
91,27
92,28
93,28
94,25
95,28
96,27
97,23
98,24
99,26
100,25
101,24
102,25
103,25
104,28
105,26
106,27
107,29
108,27
109,26
110,27
111,26
112,27
113,24
114,20
115,25
116,28
117,24
118,27
119,25
120,29
121,27
122,23
123,25
124,25
125,25
126,23
127,29
128,28
129,25
130,27
131,26
132,26
133,25
134,27
135,26
136,26
137,27
138,26
139,24
140,27
141,27
142,27
143,25
144,28
145,28
146,26
147,28
148,25
149,22
150,28
151,26
152,26
153,27
154,26
155,26
156,26
157,26
158,27
159,25
160,25
161,28
162,29
163,28
164,28
165,27
166,24
167,25
168,26
169,24
170,29
171,27
172,27
173,26
174,23
175,28
176,29
177,26
178,27
179,26
180,25
181,27
182,27
183,25
184,26
185,25
186,26
187,26
188,28
189,26
190,26
191,26
192,27
193,23
194,27
195,25
196,27
197,24
198,27
199,27
200,27
201,27
202,27
203,26
204,27
205,28
206,22
207,26
208,29
209,25
210,29
211,29
212,25
213,28
214,24
215,24
216,25
217,28
218,25
219,24
220,26
221,26
222,25
223,27
224,29
225,26
226,27
227,27
228,27
229,24
230,26
231,24
232,26
233,25
234,28
235,28
236,26
237,25
238,25
239,28
240,25
241,27
242,26
243,27
244,25
245,25
246,28
247,26
248,23
249,26
250,27
251,29
252,27
253,24
254,26
255,27
256,27
257,29
258,23
259,22
260,25
261,27
262,28
263,23
264,26
265,26
266,24
267,26
268,26
269,28
270,26
271,26
272,28
273,28
274,25
275,26
276,28
277,27
278,27
279,28
280,22
281,25
282,23
283,25
284,23
285,28
286,27
287,28
288,28
289,28
290,27
291,29
292,28
293,27
294,25
295,26
296,24
297,27
298,25
299,26
300,27
301,26
302,26
303,23
304,25
305,28
306,25
307,26
308,28
309,24
310,27
311,25
312,28
313,27
314,25
315,27
316,28
317,27
318,23
319,29
320,29
321,25
322,26
323,26
324,26
325,28
326,29
327,26
328,28
329,26
330,25
331,28
332,27
333,27
334,26
335,24
336,26
337,23
338,25
339,25
340,28
341,22
342,27
343,25
344,28
345,25
346,26
347,27
348,26
349,25
350,22
351,28
352,28
353,23
354,25
355,23
356,27
357,26
358,21
359,24
360,26
361,27
362,27
363,28
364,26
365,27
366,26
367,26
368,26
369,26
370,25
371,24
372,27
373,24
374,28
375,28
376,25
377,28
378,26
379,24
380,27
381,27
382,25
383,27
384,29
385,28
386,25
387,24
388,28
389,25
390,29
391,29
392,26
393,28
394,29
395,28
396,27
397,20
398,27
399,23
400,23
401,25
402,22
403,26
404,24
405,23
406,23
407,27
408,27
409,25
410,27
411,28
412,24
413,25
414,22
415,25
416,26
417,26
418,26
419,27
420,27
421,26
422,28
423,24
424,25
425,25
426,28
427,27
428,27
429,25
430,25
431,25
432,26
433,28
434,26
435,24
436,27
437,25
438,25
439,25
440,27
441,25
442,27
443,26
444,28
445,27
446,25
447,23
448,25
449,25
450,23
451,27
452,27
453,27
454,25
455,27
456,21
457,25
458,24
459,28
460,27
461,25
462,23
463,23
464,23
465,27
466,27
467,28
468,25
469,28
470,27
471,25
472,26
473,23
474,27
475,27
476,25
477,28
478,28
479,27
480,24
481,27
482,27
483,26
484,25
485,23
486,28
487,26
488,23
489,25
490,25
491,27
492,26
493,27
494,28
495,28
496,27
497,25
498,28
499,24
500,25
501,28
502,27
503,23
504,24
505,26
506,23
507,28
508,29
509,26
510,24
511,23
512,25
513,26
514,26
515,24
516,30
517,26
518,23
519,26
520,25
521,23
522,24
523,26
524,25
525,24
526,23
527,27
528,27
529,28
530,27
531,27
532,26
533,25
534,25
535,24
536,27
537,27
538,25
539,28
540,26
541,26
542,25
543,25
544,28
545,26
546,27
547,26
548,25
549,25
550,25
551,27
552,27
553,26
554,28
555,26
556,26
557,25
558,25
559,28
560,26
561,26
562,23
563,26
564,29
565,25
566,26
567,25
568,26
569,25
570,29
571,25
572,26
573,25
574,29
575,27
576,27
577,25
578,28
579,28
580,27
581,28
582,30
583,26
584,26
585,28
586,26
587,27
588,25
589,22
590,25
591,28
592,27
593,21
594,27
595,26
596,26
597,23
598,27
599,27
600,26
601,24
602,27
603,27
604,26
605,25
606,25
607,28
608,26
609,24
610,27
611,26
612,27
613,27
614,26
615,24
616,28
617,26
618,26
619,29
620,26
621,26
622,27
623,26
624,24
625,25
