generation,unique_ids
0,30
1,29
2,26
3,24
4,26
5,25
6,26
7,23
8,27
9,25
10,27
11,28
12,26
13,28
14,27
15,27
16,27
17,27
18,26
19,28
20,25
21,26
22,28
23,27
24,28
25,25
26,27
27,27
28,27
29,28
30,25
31,27
32,28
33,26
34,29
35,24
36,26
37,25
38,25
39,26
40,28
41,25
42,25
43,30
44,26
45,27
46,26
47,29
48,27
49,24
50,26
51,24
52,24
53,25
54,25
55,27
56,27
57,29
58,25
59,27
60,28
61,25
62,27
63,25
64,23
65,26
66,24
67,26
68,28
69,27
70,28
71,24
72,25
73,28
74,27
75,25
76,24
77,25
78,24
79,26
80,24
81,26
82,26
83,26
84,21
85,25
86,24
87,28
88,27
89,25
90,24
91,25
92,27
93,29
94,26
95,28
96,26
97,24
98,28
99,26
100,26
101,27
102,26
103,28
104,28
105,23
106,27
107,27
108,23
109,26
110,26
111,27
112,26
113,27
114,28
115,25
116,25
117,29
118,23
119,24
120,30
121,27
122,26
123,28
124,30
125,24
126,26
127,27
128,28
129,26
130,24
131,25
132,25
133,26
134,29
135,26
136,27
137,25
138,23
139,26
140,24
141,26
142,25
143,25
144,29
145,23
146,25
147,25
148,26
149,27
150,27
151,27
152,29
153,26
154,29
155,25
156,23
157,27
158,26
159,26
160,27
161,23
162,26
163,25
164,25
165,27
166,23
167,27
168,26
169,26
170,25
171,27
172,26
173,28
174,26
175,28
176,25
177,30
178,24
179,27
180,26
181,26
182,26
183,25
184,28
185,28
186,28
187,25
188,24
189,23
190,25
191,28
192,29
193,25
194,23
195,27
196,26
197,27
198,24
199,29
200,28
201,27
202,27
203,26
204,25
205,24
206,26
207,23
208,24
209,26
210,26
211,25
212,27
213,25
214,28
215,28
216,26
217,29
218,27
219,26
220,26
221,29
222,26
223,27
224,26
225,24
226,26
227,27
228,29
229,28
230,24
231,27
232,25
233,29
234,27
235,26
236,27
237,26
238,27
239,26
240,25
241,25
242,27
243,25
244,26
245,24
246,24
247,24
248,22
249,25
250,24
251,26
252,23
253,27
254,29
255,24
256,22
257,26
258,26
259,30
260,24
261,25
262,26
263,24
264,23
265,25
266,27
267,26
268,27
269,27
270,24
271,27
272,25
273,21
274,26
275,25
276,26
277,28
278,25
279,23
280,25
281,25
282,27
283,28
284,23
285,28
286,28
287,28
288,25
289,25
290,24
291,26
292,30
293,27
294,25
295,21
296,25
297,23
298,27
299,27
300,29
301,26
302,27
303,27
304,23
305,26
306,25
307,26
308,27
309,24
310,23
311,24
312,25
313,27
314,25
315,24
316,26
317,26
318,26
319,25
320,28
321,25
322,27
323,27
324,26
325,25
326,28
327,25
328,28
329,28
330,27
331,27
332,26
333,26
334,26
335,26
336,27
337,27
338,28
339,24
340,26
341,23
342,26
343,28
344,28
345,26
346,27
347,28
348,25
349,27
350,28
351,26
352,26
353,25
354,25
355,25
356,24
357,24
358,28
359,29
360,26
361,26
362,25
363,25
364,24
365,27
366,24
367,28
368,24
369,23
370,25
371,27
372,26
373,27
374,23
375,27
376,28
377,26
378,24
379,25
380,26
381,29
382,26
383,24
384,25
385,24
386,25
387,28
388,28
389,25
390,25
391,27
392,27
393,24
394,29
395,28
396,26
397,26
398,24
399,25
400,27
401,23
402,28
403,25
404,27
405,25
406,24
407,25
408,27
409,28
410,26
411,24
412,25
413,27
414,27
415,25
416,28
417,28
418,25
419,27
420,26
421,28
422,28
423,24
424,24
425,27
426,29
427,26
428,27
429,26
430,27
431,27
432,25
433,26
434,25
435,26
436,20
437,24
438,26
439,27
440,24
441,27
442,29
443,27
444,25
445,28
446,27
447,25
448,27
449,26
450,24
451,27
452,25
453,26
454,23
455,27
456,26
457,25
458,26
459,30
460,26
461,28
462,26
463,27
464,28
465,24
466,25
467,29
468,26
469,25
470,27
471,26
472,27
473,25
474,27
475,23
476,27
477,28
478,28
479,29
480,26
481,23
482,26
483,29
484,24
485,23
486,26
487,28
488,22
489,25
490,27
491,26
492,27
493,27
494,30
495,29
496,27
497,28
498,24
499,25
500,25
501,26
502,27
503,28
504,28
505,23
506,27
507,26
508,27
509,28
510,25
511,26
512,27
513,29
514,27
515,27
516,27
517,29
518,25
519,29
520,28
521,27
522,27
523,22
524,24
525,27
526,26
527,24
528,25
529,27
530,25
531,28
532,27
533,26
534,26
535,29
536,25
537,24
538,24
539,23
540,26
541,27
542,27
543,28
544,27
545,26
546,28
547,27
548,27
549,27
550,26
551,26
552,27
553,26
554,25
555,27
556,29
557,26
558,28
559,26
560,26
561,27
562,24
563,27
564,26
565,26
566,27
567,27
568,27
569,26
570,27
571,28
572,25
573,24
574,23
575,26
576,25
577,25
578,25
579,26
580,28
581,29
582,28
583,27
584,26
585,27
586,28
587,25
588,27
589,26
590,28
591,26
592,29
593,28
594,27
595,27
596,27
597,25
598,28
599,28
600,26
601,26
