generation,unique_ids
0,30
1,27
2,26
3,26
4,26
5,27
6,26
7,24
8,28
9,24
10,24
11,24
12,27
13,27
14,25
15,26
16,22
17,27
18,23
19,26
20,28
21,28
22,25
23,25
24,29
25,25
26,28
27,24
28,25
29,23
30,24
31,26
32,27
33,27
34,27
35,26
36,24
37,26
38,28
39,26
40,25
41,26
42,28
43,27
44,22
45,25
46,27
47,26
48,29
49,25
50,24
51,24
52,26
53,24
54,25
55,25
56,27
57,26
58,23
59,29
60,28
61,27
62,27
63,27
64,27
65,27
66,25
67,23
68,28
69,26
70,27
71,27
72,27
73,28
74,25
75,25
76,27
77,28
78,25
79,22
80,24
81,25
82,22
83,26
84,27
85,26
86,26
87,25
88,23
89,27
90,23
91,26
92,28
93,25
94,27
95,29
96,24
97,26
98,24
99,23
100,22
101,27
102,28
103,26
104,27
105,24
106,24
107,24
108,26
109,26
110,27
111,24
112,28
113,22
114,25
115,28
116,29
117,24
118,25
119,28
120,27
121,22
122,26
123,27
124,23
125,25
126,23
127,25
128,25
129,26
130,25
131,28
132,26
133,26
134,27
135,26
136,27
137,23
138,26
139,24
140,25
141,25
142,26
143,26
144,25
145,25
146,26
147,25
148,27
149,28
150,27
151,26
152,25
153,26
154,25
155,25
156,27
157,28
158,26
159,26
160,23
161,23
162,28
163,26
164,27
165,25
166,27
167,25
168,26
169,24
170,26
171,25
172,27
173,29
174,24
175,27
176,26
177,27
178,26
179,27
180,27
181,27
182,28
183,26
184,24
185,27
186,26
187,26
188,25
189,24
190,24
191,26
192,27
193,27
194,27
195,26
196,27
197,26
198,28
199,27
200,27
201,25
202,27
203,26
204,26
205,26
206,26
207,26
208,27
209,26
210,29
211,24
212,23
213,22
214,24
215,25
216,27
217,25
218,25
219,24
220,24
221,25
222,28
223,29
224,27
225,27
226,25
227,27
228,28
229,25
230,28
231,27
232,26
233,28
234,25
235,24
236,24
237,25
238,27
239,24
240,24
241,27
242,28
243,25
244,23
245,23
246,24
247,26
248,26
249,23
250,24
251,27
252,25
253,26
254,26
255,27
256,25
257,25
258,27
259,26
260,27
261,24
262,26
263,23
264,26
265,27
266,25
267,23
268,28
269,28
270,27
271,27
272,24
273,26
274,28
275,26
276,25
277,27
278,26
279,25
280,25
281,25
282,26
283,24
284,26
285,27
286,25
287,29
288,26
289,27
290,26
291,26
292,27
293,23
294,22
295,27
296,26
297,24
298,26
299,27
300,27
301,26
302,25
303,24
304,26
305,25
306,25
307,28
308,20
309,25
310,25
311,24
312,26
313,28
314,24
315,27
316,22
317,26
318,25
319,27
320,26
321,25
322,27
323,29
324,27
325,27
326,26
327,24
328,27
329,28
330,27
331,28
332,25
333,25
334,23
335,22
336,28
337,25
338,26
339,28
340,24
341,27
342,25
343,26
344,27
345,26
346,24
347,25
348,25
349,27
350,26
351,27
352,26
353,27
354,27
355,24
356,26
357,25
358,25
359,24
360,27
361,29
362,28
363,25
364,24
365,26
366,24
367,26
368,26
369,26
370,27
371,28
372,26
373,27
374,26
375,25
376,25
377,27
378,25
379,23
380,25
381,27
382,27
383,26
384,27
385,26
386,27
387,26
388,28
389,24
390,30
391,26
392,27
393,27
394,28
395,27
396,25
397,23
398,24
399,28
400,24
401,26
402,27
403,23
404,24
405,25
406,26
407,26
408,28
409,25
410,30
411,27
412,25
413,23
414,30
415,23
416,24
417,24
418,26
419,26
420,28
421,26
422,26
423,25
424,25
425,23
426,26
427,24
428,24
429,24
430,25
431,26
432,24
433,27
434,27
435,28
436,25
437,29
438,25
439,27
440,26
441,28
442,25
443,26
444,26
445,29
446,28
447,27
448,28
449,27
450,26
451,24
452,28
453,27
454,27
455,25
456,28
457,25
458,25
459,26
460,29
461,27
462,27
463,26
464,24
465,29
466,28
467,25
468,25
469,24
470,27
471,26
472,25
473,29
474,28
475,25
476,26
477,26
478,24
479,27
480,26
481,25
482,26
483,28
484,24
485,21
486,27
487,27
488,28
489,26
490,25
491,27
492,26
493,24
494,27
495,27
496,25
497,26
498,25
499,25
500,24
501,27
502,23
503,28
504,23
505,25
506,25
507,27
508,26
509,26
510,28
511,27
512,24
513,27
514,25
515,26
516,25
517,23
518,24
519,25
520,26
521,27
522,30
523,27
524,28
525,27
526,26
527,24
528,26
529,26
530,26
531,27
532,25
533,29
534,24
535,26
536,22
537,27
538,23
539,24
540,28
541,26
542,26
543,28
544,28
545,26
546,26
547,25
548,28
549,28
550,24
551,27
552,27
553,28
554,26
555,27
556,24
557,27
558,26
559,25
560,26
561,25
562,26
563,27
564,28
565,28
566,24
567,24
568,26
569,26
570,25
571,25
572,27
573,29
574,28
575,25
576,25
577,25
578,27
579,28
580,26
581,23
582,25
583,27
584,28
585,26
586,29
587,27
588,25
589,27
590,27
591,24
592,29
593,22
594,28
595,28
596,29
597,29
598,23
599,25
600,26
601,24
602,27
603,25
604,26
605,25
606,27
607,24
608,26
609,27
610,29
611,24
612,25
613,26
614,26
615,24
616,24
617,27
618,24
619,21
620,25
621,23
622,26
623,27
624,21
625,20
626,27
627,28
628,27
629,25
630,26
631,27
632,25
