objective_value,generation,evaluations
1117.4717919197383,0,30
1093.9400598880566,1,84
1065.374488389679,2,154
1090.9846712012509,3,232
1072.4488594093073,4,310
1073.0080584354293,5,392
1071.503861240076,6,472
1087.835888577288,7,547
1065.2251913115433,8,637
1061.8481264036072,9,725
1054.1402545527146,10,819
1070.9182596045932,11,901
1069.2061513704318,12,990
1058.245008973786,13,1053
1051.2138059523227,14,1134
1051.2138059523227,15,1198
1037.0177110561108,16,1289
1017.6026115210456,17,1352
1017.6026115210456,18,1427
1020.2065230381734,19,1506
1026.666304992229,20,1591
1011.4765945675663,21,1664
993.5395258051627,22,1749
977.2735353158448,23,1818
977.2735353158448,24,1900
959.3798426040026,25,1955
969.1206748765926,26,2028
986.3009781767399,27,2099
966.8872637074785,28,2174
953.7883615948139,29,2257
942.3371240977748,30,2338
960.006597780868,31,2423
963.7551764897066,32,2529
960.2276878137469,33,2616
952.6761149668221,34,2691
945.2168071218252,35,2782
956.1981016021446,36,2863
952.2660570841001,37,2948
939.3625723074456,38,3015
931.1194589171521,39,3082
925.1202044492081,40,3173
926.390758848396,41,3254
915.1929103396906,42,3318
915.1929103396906,43,3404
915.1929103396906,44,3486
915.1929103396906,45,3588
888.1776895664913,46,3666
909.3878943101608,47,3741
926.1800218547202,48,3812
908.0154762184635,49,3893
912.4719767039118,50,3978
919.939890312913,51,4077
924.505062114768,52,4171
912.2010387434021,53,4267
894.9317503077215,54,4342
876.0124063015578,55,4416
892.9055432879593,56,4499
902.9900643777287,57,4572
923.2974233742295,58,4666
921.26920884739,59,4755
911.4196808595262,60,4829
904.0790114197631,61,4915
893.5569767666414,62,5000
879.4470555476038,63,5084
882.6352001418205,64,5157
879.6921816459968,65,5231
870.9830592959839,66,5309
865.03131119451,67,5396
874.2914239949301,68,5481
865.9493830357544,69,5555
866.2944302293095,70,5642
868.790416107451,71,5726
868.790416107451,72,5804
831.4130377869795,73,5856
840.7061072191037,74,5939
840.6459500793951,75,6026
840.3425422548643,76,6099
845.860711647341,77,6156
863.4133543114935,78,6240
865.4388131051147,79,6301
878.729965781684,80,6385
863.9898118407676,81,6457
857.2394232807594,82,6532
842.9667114792144,83,6612
848.000956237128,84,6687
826.023967490747,85,6758
826.023967490747,86,6834
821.799430868588,87,6910
801.1588212890354,88,6970
801.1588212890354,89,7060
780.7121386520361,90,7122
782.3056023510519,91,7190
781.293043846139,92,7260
774.0959494477297,93,7336
753.4008805316174,94,7408
758.5571745664413,95,7477
741.1609202728747,96,7559
730.1180761907904,97,7630
719.4614952261105,98,7707
719.4614952261105,99,7805
708.4045304447492,100,7862
698.1541126630538,101,7947
703.2237824880725,102,8029
685.6189276714182,103,8109
685.6189276714182,104,8191
682.6317795935187,105,8285
675.3301414075348,106,8374
657.8547398842622,107,8444
675.718152276016,108,8523
666.4576977744372,109,8594
666.4576977744372,110,8682
676.7524241463301,111,8782
661.262470778619,112,8864
661.0057741638199,113,8933
661.0057741638199,114,9008
661.0057741638199,115,9088
655.1446963413387,116,9173
645.980369939618,117,9243
712.1392934779235,118,9315
708.0999397705477,119,9396
692.226843195246,120,9477
697.1796394282578,121,9552
697.1796394282578,122,9617
689.9520217243994,123,9703
690.2626878236794,124,9771
672.0084089303074,125,9828
701.3769253450639,126,9919
697.1149779232039,127,9984
700.5144194677259,128,10061
692.4016040305529,129,10145
670.27947096817,130,10229
697.1704724629076,131,10323
696.4071541191408,132,10402
707.0895038568008,133,10473
698.4347451169298,134,10552
691.1500753093753,135,10635
690.3123154294776,136,10720
701.4733409040468,137,10794
711.414345702562,138,10863
709.2654196073119,139,10943
707.2897891534091,140,11027
694.2141198225524,141,11108
683.5543905610037,142,11190
690.1030090226427,143,11267
684.0189900103918,144,11343
684.409125646919,145,11426
667.7439402449078,146,11504
652.615489673483,147,11587
658.545233664882,148,11675
639.8097673667886,149,11747
639.8097673667886,150,11818
648.5398684263228,151,11898
637.2105888714733,152,11971
626.8516809904183,153,12059
615.6663156341913,154,12137
600.4877791545332,155,12204
587.4652664566878,156,12282
587.4652664566878,157,12373
587.4652664566878,158,12450
584.5762646662565,159,12530
581.1383704665114,160,12595
581.1383704665114,161,12677
571.380841759125,162,12751
609.522477800805,163,12825
615.7436591771196,164,12904
615.7436591771196,165,12989
599.1230744627165,166,13068
598.9218064853345,167,13125
604.5171947566699,168,13215
604.5171947566699,169,13298
597.3165909905953,170,13373
599.6835304583806,171,13457
601.0866381668682,172,13536
595.1010542267854,173,13605
584.1227485284925,174,13687
593.788278128309,175,13765
581.2698907879338,176,13837
593.0751237516336,177,13940
593.0751237516336,178,14012
584.7226211628653,179,14090
584.7226211628653,180,14171
589.9840754818654,181,14256
589.9840754818654,182,14338
583.6647810465673,183,14414
591.4305545585869,184,14491
595.7487297257644,185,14574
590.2584114924397,186,14648
584.1794153591179,187,14741
584.1794153591179,188,14809
584.1794153591179,189,14876
582.8622222839904,190,14951
582.8622222839904,191,15035
572.1923837340812,192,15115
565.3181173969818,193,15197
549.389574931534,194,15259
551.8644892114008,195,15348
543.3446172208708,196,15427
539.976366503529,197,15504
538.0571394085392,198,15565
544.448254337949,199,15650
544.448254337949,200,15729
537.3057424303528,201,15817
541.4633164289404,202,15900
529.3610482280026,203,15995
521.7352506674488,204,16065
521.7352506674488,205,16137
521.7352506674488,206,16206
512.7729026454413,207,16288
527.6808166248346,208,16373
527.6808166248346,209,16462
506.7524322221074,210,16531
517.6355088989153,211,16616
517.6355088989153,212,16695
523.199016674688,213,16774
518.7281284946246,214,16856
515.3523057747016,215,16940
508.60388000569804,216,17006
516.1843613537667,217,17091
511.0707565942792,218,17182
530.864106036954,219,17266
521.4289663146511,220,17341
521.4289663146511,221,17433
527.6779410971124,222,17518
517.3583873314847,223,17604
504.8291493275792,224,17681
499.89750854835535,225,17756
484.64050281482423,226,17843
484.64050281482423,227,17912
471.3769002632338,228,17995
474.4276307564963,229,18063
486.1949898610551,230,18136
473.6366402549416,231,18204
472.5632825821956,232,18292
461.5753877156481,233,18353
461.5753877156481,234,18439
459.8878482226624,235,18511
459.8878482226624,236,18603
453.7464246126002,237,18685
443.5705707944338,238,18757
453.9103677496003,239,18844
445.7716925718978,240,18935
444.448248177737,241,19008
448.58280936998506,242,19083
442.8821610262997,243,19165
439.68925460965767,244,19244
421.94577371099683,245,19324
432.3744615647696,246,19414
430.1404024511222,247,19510
427.0826469112355,248,19590
435.1581080473198,249,19682
445.9259608638371,250,19754
441.5131675048039,251,19833
439.49207061642085,252,19890
441.5131675048039,253,19974
431.128805720249,254,20040
427.5923227419303,255,20124
415.46475973122216,256,20205
413.8358802247736,257,20297
417.71735869551935,258,20381
420.4481963595873,259,20450
418.76667785382807,260,20526
433.7583179975902,261,20599
461.77852268371964,262,20686
463.9759205987011,263,20771
463.9759205987011,264,20858
462.62043351776765,265,20941
465.09207629937197,266,21018
468.2503063417673,267,21101
486.4041511800063,268,21185
486.4041511800063,269,21274
484.12662898021665,270,21358
476.35662347615596,271,21438
475.3112645876006,272,21525
474.30235757737825,273,21621
476.4537508473924,274,21710
463.17049852016413,275,21785
454.62955899325726,276,21861
454.62955899325726,277,21936
452.80347700302156,278,22008
454.97386082140326,279,22079
451.347976206973,280,22153
459.8729117060208,281,22230
455.11605780477936,282,22319
450.59936996141795,283,22416
438.8001608112933,284,22505
450.0397295711489,285,22565
451.43635835649695,286,22641
451.6298211085074,287,22727
437.93303707883985,288,22807
430.5376386739501,289,22891
431.26689308448,290,22972
431.20265000491537,291,23044
425.9331573057753,292,23113
422.6370846455304,293,23198
409.1490502229162,294,23291
409.1490502229162,295,23396
398.72655362871296,296,23478
393.0748082427724,297,23576
392.0326425035155,298,23648
388.18065331491147,299,23719
382.36961750457886,300,23815
380.9356746132969,301,23889
374.82030955460885,302,23965
374.82030955460885,303,24043
379.5507054315858,304,24127
366.77874631149547,305,24215
372.57812393245865,306,24303
378.1610666301195,307,24381
371.6941451320965,308,24458
362.8626822783755,309,24557
356.17990550185317,310,24636
354.50139694931045,311,24720
342.3385802965586,312,24792
352.39582429677523,313,24869
352.39582429677523,314,24935
345.8006420503744,315,25030
336.06633505839295,316,25108
336.06633505839295,317,25184
328.2606560749512,318,25284
327.69366219689635,319,25358
320.7654930632694,320,25436
326.4682912678719,321,25523
