generation,unique_ids
0,30
1,26
2,23
3,24
4,24
5,21
6,30
7,27
8,26
9,26
10,25
11,27
12,25
13,24
14,22
15,21
16,26
17,28
18,21
19,21
20,25
21,24
22,25
23,25
24,23
25,23
26,26
27,27
28,23
29,24
30,25
31,26
32,27
33,26
34,23
35,27
36,25
37,24
38,23
39,24
40,25
41,29
42,24
43,21
44,27
45,24
46,25
47,22
48,24
49,26
50,25
51,27
52,26
53,23
54,25
55,24
56,24
57,26
58,19
59,21
60,24
61,23
62,25
63,24
64,24
65,24
66,28
67,26
68,26
69,25
70,25
71,24
72,26
73,26
74,25
75,29
76,27
77,24
78,25
79,24
80,29
81,27
82,28
83,25
84,23
85,25
86,22
87,26
88,23
89,28
90,26
91,25
92,26
93,22
94,25
95,24
96,26
97,26
98,22
99,25
100,28
101,24
102,25
103,25
104,27
105,22
106,23
107,25
108,24
109,23
110,28
111,25
112,24
113,26
114,24
115,28
116,25
117,23
118,30
119,27
120,26
121,27
122,23
123,21
124,25
125,22
126,22
127,26
128,26
129,27
130,28
131,25
132,27
133,26
134,23
135,25
136,24
137,23
138,23
139,24
140,27
141,26
142,25
143,26
144,28
145,23
146,23
147,27
148,24
149,25
150,26
151,26
152,20
153,25
154,26
155,27
156,23
157,25
158,27
159,25
160,27
161,26
162,23
163,23
164,26
165,26
166,24
167,26
168,26
169,23
170,26
171,24
172,26
173,23
174,23
175,25
176,28
177,27
178,23
179,27
180,25
181,23
182,23
183,21
184,25
185,27
186,25
187,24
188,26
189,25
190,24
191,23
192,28
193,23
194,23
195,20
196,24
197,27
198,29
199,22
200,21
201,24
202,24
203,24
204,22
205,23
206,27
207,28
208,27
209,26
210,23
211,22
212,23
213,25
214,23
215,27
216,26
217,27
218,26
219,23
220,23
221,25
222,27
223,28
224,24
225,24
226,29
227,27
228,23
229,23
230,26
231,27
232,25
233,24
234,23
235,24
236,23
237,26
238,24
239,23
240,24
241,24
242,22
243,28
244,22
245,25
246,28
247,24
248,26
249,26
250,27
251,25
252,29
253,27
254,26
255,26
256,28
257,27
258,27
259,28
260,26
261,20
262,28
263,24
264,26
265,24
266,23
267,26
268,26
269,29
270,25
271,27
272,27
273,24
274,27
275,27
276,24
277,23
278,26
279,23
280,25
281,26
282,26
283,24
284,28
285,23
286,27
287,26
288,26
289,21
290,26
291,28
292,28
293,23
294,29
295,27
296,24
297,23
298,24
299,26
300,25
301,23
302,26
303,29
304,24
305,22
306,23
307,26
308,23
309,26
310,24
311,24
312,27
313,26
314,26
315,26
316,24
317,21
318,22
319,20
320,26
321,23
322,27
323,25
324,26
325,19
326,27
327,26
328,22
329,21
330,27
331,27
332,25
333,24
334,25
335,25
336,26
337,22
338,26
339,22
340,26
341,24
342,22
343,27
344,26
345,24
346,27
347,21
348,22
349,24
350,24
351,27
352,26
353,27
354,26
355,26
356,21
357,26
358,23
359,23
360,23
361,24
362,27
363,24
364,23
365,23
366,26
367,23
368,20
369,25
370,27
371,23
372,25
373,25
374,22
375,22
376,26
377,24
378,27
379,24
380,28
381,20
382,22
383,28
384,27
385,25
386,25
387,23
388,26
389,22
390,26
391,23
392,21
393,25
394,25
395,26
396,28
397,26
398,29
399,25
400,25
401,26
402,25
403,24
404,23
405,26
406,26
407,26
408,28
409,24
410,25
411,29
412,26
413,25
414,26
415,25
416,25
417,27
418,24
419,25
420,26
421,19
422,25
423,26
424,24
425,26
426,18
427,21
428,22
429,23
430,23
431,25
432,23
433,26
434,26
435,25
436,25
437,22
438,22
439,24
440,25
441,25
442,24
443,27
444,24
445,24
446,25
447,26
448,25
449,23
450,25
451,25
452,24
453,30
454,25
455,23
456,22
457,26
458,24
459,24
460,23
461,24
462,27
463,29
464,27
465,24
466,22
467,23
468,26
469,23
470,23
471,24
472,27
473,27
474,24
475,20
476,24
477,24
478,28
479,28
480,26
481,27
482,29
483,25
484,25
485,27
486,22
487,26
488,24
489,24
490,26
491,27
492,27
493,22
494,27
495,27
496,24
497,23
498,22
499,25
500,26
501,25
502,26
503,25
504,23
505,23
506,23
507,25
508,25
509,26
510,25
511,24
512,26
513,27
514,28
515,26
516,27
517,26
518,26
519,23
520,21
521,25
522,24
523,27
524,25
525,26
526,26
527,21
528,27
529,23
530,24
531,29
532,25
533,22
534,25
535,22
536,22
537,24
538,26
539,22
540,22
541,23
542,27
543,24
544,23
545,26
546,25
547,23
548,25
549,24
550,23
551,22
552,21
553,21
554,25
555,26
556,24
557,26
558,23
559,27
560,26
561,27
562,26
563,27
564,23
565,22
566,24
567,19
568,25
569,27
570,27
571,26
572,24
573,24
574,26
575,24
576,22
577,26
578,24
579,24
580,25
581,26
582,21
583,27
584,23
585,25
586,25
587,22
588,27
589,27
590,24
591,27
592,29
593,27
594,25
595,24
596,23
597,23
598,24
599,22
600,25
601,25
602,26
603,29
604,26
605,22
606,26
607,24
608,23
609,23
610,21
611,24
612,22
613,24
614,24
615,24
616,27
617,24
618,23
619,27
620,25
621,26
622,25
623,26
624,26
625,26
626,25
627,24
628,28
629,25
630,25
631,25
632,25
633,28
634,23
635,25
636,23
637,24
638,25
639,26
640,26
641,29
642,23
643,26
644,28
645,27
646,25
647,25
648,26
649,24
650,25
651,23
652,26
653,24
654,27
655,28
656,24
657,26
658,25
659,23
660,25
661,27
662,26
663,25
664,24
