generation,unique_ids
0,30
1,28
2,24
3,26
4,26
5,27
6,24
7,24
8,29
9,30
10,26
11,26
12,29
13,25
14,26
15,27
16,27
17,27
18,24
19,26
20,24
21,28
22,25
23,27
24,26
25,28
26,27
27,27
28,26
29,28
30,28
31,24
32,25
33,25
34,26
35,23
36,27
37,27
38,27
39,24
40,27
41,24
42,25
43,25
44,25
45,27
46,27
47,26
48,24
49,23
50,26
51,24
52,28
53,27
54,25
55,27
56,26
57,25
58,26
59,26
60,23
61,26
62,26
63,25
64,23
65,26
66,27
67,25
68,28
69,27
70,24
71,29
72,25
73,28
74,28
75,26
76,26
77,26
78,28
79,30
80,28
81,26
82,26
83,24
84,26
85,28
86,27
87,27
88,27
89,27
90,28
91,24
92,27
93,26
94,28
95,27
96,26
97,29
98,28
99,28
100,29
101,29
102,26
103,27
104,27
105,22
106,27
107,25
108,29
109,23
110,27
111,25
112,25
113,25
114,26
115,27
116,24
117,28
118,27
119,26
120,27
121,26
122,28
123,26
124,25
125,26
126,25
127,25
128,27
129,25
130,27
131,27
132,27
133,28
134,25
135,28
136,27
137,28
138,25
139,24
140,29
141,27
142,28
143,27
144,26
145,23
146,25
147,29
148,24
149,25
150,26
151,24
152,25
153,25
154,27
155,25
156,27
157,24
158,29
159,28
160,25
161,26
162,28
163,25
164,26
165,28
166,27
167,26
168,22
169,26
170,27
171,26
172,28
173,29
174,26
175,28
176,27
177,24
178,26
179,29
180,25
181,24
182,25
183,28
184,28
185,25
186,22
187,28
188,26
189,28
190,24
191,26
192,28
193,28
194,26
195,28
196,27
197,27
198,25
199,25
200,26
201,26
202,24
203,25
204,28
205,23
206,27
207,24
208,26
209,25
210,28
211,28
212,26
213,24
214,28
215,25
216,26
217,20
218,25
219,27
220,29
221,27
222,27
223,26
224,27
225,26
226,28
227,28
228,23
229,22
230,25
231,24
232,25
233,25
234,26
235,26
236,28
237,26
238,26
239,27
240,27
241,25
242,27
243,27
244,28
245,26
246,28
247,26
248,24
249,26
250,26
251,24
252,26
253,26
254,27
255,25
256,28
257,27
258,26
259,28
260,26
261,25
262,25
263,26
264,28
265,25
266,26
267,25
268,27
269,23
270,24
271,25
272,24
273,24
274,28
275,28
276,23
277,25
278,26
279,26
280,26
281,26
282,24
283,26
284,24
285,28
286,27
287,27
288,25
289,26
290,26
291,25
292,27
293,25
294,26
295,25
296,27
297,30
298,26
299,25
300,25
301,27
302,28
303,30
304,23
305,28
306,29
307,26
308,25
309,26
310,28
311,28
312,28
313,27
314,27
315,26
316,27
317,25
318,27
319,28
320,27
321,25
322,27
323,26
324,25
325,23
326,28
327,27
328,25
329,24
330,25
331,27
332,27
333,26
334,25
335,24
336,25
337,28
338,26
339,26
340,28
341,25
342,27
343,27
344,27
345,27
346,25
347,25
348,27
349,25
350,24
351,26
352,28
353,29
354,27
355,28
356,27
357,28
358,27
359,27
360,27
361,25
362,28
363,26
364,26
365,29
366,29
367,26
368,26
369,27
370,24
371,27
372,25
373,24
374,29
375,26
376,27
377,27
378,29
379,25
380,26
381,28
382,26
383,28
384,25
385,25
386,26
387,24
388,28
389,28
390,29
391,28
392,29
393,26
394,24
395,26
396,27
397,25
398,28
399,28
400,27
401,26
402,23
403,23
404,26
405,27
406,24
407,25
408,26
409,23
410,24
411,27
412,26
413,28
414,27
415,25
416,23
417,24
418,26
419,26
420,26
421,28
422,28
423,28
424,27
425,26
426,29
427,27
428,25
429,28
430,26
431,27
432,27
433,28
434,28
435,28
436,27
437,28
438,24
439,26
440,25
441,28
442,28
443,27
444,23
445,26
446,26
447,27
448,27
449,26
450,27
451,24
452,28
453,28
454,27
455,27
456,25
457,23
458,23
459,26
460,28
461,29
462,27
463,28
464,27
465,26
466,27
467,25
468,25
469,25
470,23
471,22
472,28
473,28
474,23
475,27
476,27
477,25
478,27
479,29
480,24
481,25
482,27
483,25
484,28
485,26
486,27
487,28
488,26
489,24
490,25
491,25
492,27
493,27
494,29
495,27
496,28
497,22
498,27
499,24
500,27
501,25
502,25
503,25
504,26
505,28
506,28
507,25
508,23
509,28
510,29
511,27
512,25
513,29
514,26
515,28
516,25
517,30
518,25
519,25
520,27
521,27
522,28
523,27
524,26
525,28
526,24
527,26
528,26
529,27
530,29
531,26
532,24
533,23
534,23
535,28
536,26
537,24
538,26
539,28
540,27
541,24
542,25
543,26
544,25
545,25
546,27
547,28
548,25
549,25
550,24
551,30
552,29
553,28
554,23
555,29
556,27
557,29
558,29
559,28
560,28
561,26
562,25
563,26
564,26
565,26
566,25
567,26
568,26
569,24
570,25
571,27
572,26
573,22
574,26
575,29
576,26
577,27
578,23
579,24
580,27
581,28
582,26
583,24
584,24
585,28
586,27
587,24
588,28
589,28
590,27
591,29
592,25
593,27
594,26
595,28
596,29
597,27
598,27
599,28
600,29
601,27
602,29
603,24
604,25
605,27
