generation,unique_ids
0,30
1,25
2,22
3,28
4,24
5,24
6,23
7,23
8,24
9,25
10,26
11,22
12,26
13,30
14,25
15,26
16,23
17,21
18,25
19,26
20,24
21,22
22,25
23,24
24,25
25,27
26,26
27,28
28,27
29,26
30,29
31,24
32,22
33,27
34,26
35,26
36,24
37,26
38,23
39,24
40,25
41,28
42,27
43,23
44,24
45,26
46,24
47,25
48,26
49,24
50,21
51,22
52,25
53,26
54,24
55,24
56,25
57,23
58,24
59,27
60,27
61,23
62,27
63,24
64,22
65,26
66,21
67,27
68,26
69,27
70,27
71,25
72,26
73,24
74,25
75,24
76,24
77,26
78,25
79,24
80,28
81,24
82,25
83,26
84,27
85,22
86,22
87,24
88,25
89,24
90,26
91,25
92,27
93,22
94,22
95,25
96,24
97,27
98,19
99,22
100,22
101,25
102,25
103,25
104,25
105,22
106,23
107,26
108,22
109,24
110,21
111,28
112,27
113,24
114,24
115,23
116,27
117,22
118,27
119,25
120,25
121,24
122,27
123,24
124,23
125,23
126,25
127,24
128,22
129,23
130,27
131,25
132,22
133,25
134,25
135,26
136,25
137,27
138,24
139,25
140,26
141,24
142,22
143,27
144,24
145,24
146,25
147,23
148,25
149,24
150,26
151,26
152,26
153,25
154,23
155,26
156,25
157,22
158,24
159,27
160,30
161,27
162,23
163,25
164,25
165,24
166,25
167,28
168,23
169,24
170,26
171,26
172,26
173,23
174,24
175,26
176,25
177,23
178,21
179,25
180,23
181,26
182,26
183,23
184,26
185,23
186,27
187,24
188,26
189,22
190,24
191,24
192,27
193,27
194,29
195,22
196,21
197,26
198,22
199,22
200,23
201,26
202,25
203,27
204,26
205,26
206,20
207,23
208,24
209,25
210,23
211,27
212,27
213,26
214,29
215,25
216,25
217,25
218,19
219,22
220,25
221,25
222,26
223,21
224,25
225,29
226,29
227,28
228,24
229,26
230,29
231,24
232,25
233,24
234,22
235,23
236,24
237,24
238,24
239,28
240,26
241,24
242,29
243,26
244,24
245,23
246,23
247,27
248,23
249,26
250,26
251,25
252,27
253,26
254,22
255,25
256,24
257,24
258,26
259,27
260,29
261,29
262,26
263,25
264,25
265,22
266,24
267,28
268,26
269,26
270,26
271,27
272,23
273,26
274,24
275,23
276,26
277,25
278,26
279,25
280,23
281,24
282,22
283,21
284,24
285,27
286,28
287,28
288,23
289,28
290,24
291,25
292,26
293,26
294,25
295,24
296,23
297,25
298,27
299,25
300,24
301,27
302,22
303,23
304,23
305,26
306,25
307,25
308,26
309,26
310,25
311,24
312,21
313,27
314,27
315,25
316,25
317,25
318,24
319,24
320,23
321,25
322,25
323,26
324,23
325,22
326,27
327,26
328,28
329,28
330,26
331,25
332,24
333,24
334,24
335,24
336,25
337,25
338,22
339,23
340,27
341,27
342,21
343,25
344,24
345,24
346,26
347,24
348,22
349,22
350,27
351,26
352,27
353,24
354,25
355,22
356,25
357,22
358,26
359,24
360,24
361,28
362,23
363,27
364,25
365,25
366,28
367,24
368,23
369,25
370,24
371,24
372,26
373,23
374,24
375,25
376,21
377,27
378,22
379,22
380,24
381,25
382,25
383,26
384,24
385,24
386,25
387,27
388,26
389,28
390,27
391,29
392,30
393,24
394,26
395,27
396,25
397,23
398,24
399,23
400,28
401,27
402,20
403,23
404,27
405,27
406,26
407,26
408,28
409,24
410,22
411,29
412,25
413,28
414,25
415,26
416,22
417,23
418,24
419,26
420,25
421,19
422,22
423,24
424,25
425,29
426,27
427,25
428,25
429,28
430,26
431,26
432,24
433,28
434,24
435,23
436,25
437,24
438,26
439,21
440,26
441,25
442,27
443,26
444,27
445,25
446,25
447,24
448,25
449,24
450,27
451,27
452,26
453,21
454,26
455,24
456,24
457,23
458,25
459,24
460,24
461,27
462,25
463,25
464,28
465,27
466,25
467,27
468,28
469,29
470,27
471,27
472,24
473,27
474,29
475,24
476,27
477,28
478,28
479,25
480,27
481,25
482,22
483,27
484,24
485,22
486,26
487,24
488,26
489,24
490,25
491,25
492,22
493,21
494,26
495,24
496,23
497,28
498,20
499,22
500,25
501,22
502,26
503,20
504,19
505,26
506,23
507,27
508,23
509,23
510,27
511,27
512,24
513,25
514,26
515,25
516,25
517,27
518,27
519,23
520,22
521,27
522,23
523,23
524,24
525,23
526,24
527,26
528,22
529,24
530,29
531,26
532,26
533,25
534,20
535,25
536,22
537,27
538,23
539,22
540,25
541,26
542,23
543,25
544,25
545,28
546,26
547,26
548,28
549,27
550,27
551,25
552,24
553,24
554,24
555,28
556,27
557,25
558,28
559,27
560,24
561,23
562,26
563,20
564,24
565,27
566,26
567,23
568,25
569,25
570,27
571,25
572,25
573,24
574,26
575,21
576,26
577,27
578,25
579,21
580,25
581,29
582,22
583,21
584,26
585,25
586,24
587,27
588,27
589,24
590,29
591,25
592,27
593,26
594,26
595,23
596,22
597,20
598,21
599,24
600,26
601,25
602,27
603,23
604,23
605,28
606,24
607,25
608,24
609,25
610,26
611,26
612,21
613,21
614,26
615,24
616,25
617,21
618,25
619,26
620,20
621,25
622,27
623,29
624,28
625,28
626,26
627,25
628,24
629,24
630,25
631,22
632,24
633,24
634,25
635,27
636,27
637,24
638,27
639,25
640,24
641,25
642,26
643,22
644,26
645,26
646,25
647,26
648,27
649,27
650,25
651,25
652,24
653,22
654,26
655,28
656,26
657,24
658,25
659,24
660,25
661,24
662,25
663,25
664,22
665,26
666,24
667,24
668,25
669,21
670,26
671,26
672,26
673,25
674,23
675,25
676,23
677,24
678,27
679,23
680,21
681,27
682,24
683,24
684,22
685,23
686,24
687,19
688,23
689,22
690,26
691,24
692,25
693,24
694,27
695,22
696,26
697,24
698,26
699,26
700,27
701,27
702,23
703,26
704,25
705,25
706,24
707,27
708,25
709,24
710,23
711,25
712,27
