objective_value,generation,evaluations
320.5438607349522,0,30
320.5438607349522,1,87
297.60217903510943,2,136
176.56181124236252,3,201
169.74802487629051,4,267
143.19006414704563,5,321
135.05882541004053,6,387
126.12356126167106,7,458
118.99866029071768,8,525
120.52449307101847,9,594
118.75593202581649,10,680
120.37669960980554,11,752
119.90791618665742,12,842
119.90791618665742,13,912
119.90791618665742,14,995
120.51556346887594,15,1062
131.627239823467,16,1133
133.94691092849905,17,1200
124.73327969421075,18,1283
127.69032780509826,19,1356
127.69032780509826,20,1441
121.17561806991739,21,1524
120.95432153691763,22,1611
120.376394166831,23,1683
120.376394166831,24,1754
129.43810491891873,25,1840
119.25777445962149,26,1926
119.11753680998231,27,1999
119.25777445962149,28,2079
119.25777445962149,29,2155
119.25777445962149,30,2229
121.91535359208797,31,2310
119.98777623729768,32,2384
119.80597180044265,33,2452
121.95159308138898,34,2536
119.4502598757432,35,2607
121.66392964315014,36,2693
121.95159308138898,37,2768
126.6490235382671,38,2850
126.59912357108601,39,2933
122.31699630126718,40,3014
140.73131524672294,41,3094
119.27052040722947,42,3164
118.44353334757511,43,3243
118.44353334757511,44,3324
118.4786572195145,45,3391
118.4786572195145,46,3485
119.44328461734676,47,3569
118.46741811400602,48,3644
118.46741811400602,49,3737
118.46741811400602,50,3823
122.56158165241595,51,3899
118.5783666053984,52,3976
120.65690337327487,53,4051
118.95353027533531,54,4124
118.95353027533531,55,4206
118.95353027533531,56,4281
123.73642498769573,57,4358
119.15994877604726,58,4440
119.15994877604726,59,4539
119.15994877604726,60,4609
119.15994877604726,61,4681
121.51944084313686,62,4759
123.09504107866269,63,4843
120.20501659989486,64,4916
120.20501659989486,65,4996
121.7928805190229,66,5070
123.09504107866269,67,5145
123.12922462031293,68,5215
123.12922462031293,69,5282
121.94210970113011,70,5364
124.60644753976021,71,5428
130.92310371699523,72,5498
119.32969889090646,73,5558
119.07659602848082,74,5625
119.07659602848082,75,5706
118.7325375629822,76,5798
119.70367997035862,77,5889
119.70367997035862,78,5962
120.2849848777123,79,6038
120.2849848777123,80,6120
122.71424200330853,81,6193
119.81108800294373,82,6271
126.5360789134304,83,6344
121.87905498310795,84,6430
122.3207556058934,85,6503
121.86081128940737,86,6578
122.16504149798038,87,6656
122.16504149798038,88,6732
122.51951339624156,89,6810
119.87400560591755,90,6896
119.11144073349521,91,6978
119.36974727027314,92,7031
118.85226402483522,93,7109
122.16369110921028,94,7185
122.16369110921028,95,7274
124.11440648301948,96,7345
119.77170763959089,97,7423
122.1124715033402,98,7499
126.21437320077825,99,7569
121.26055989033807,100,7640
121.26055989033807,101,7712
120.34715792885527,102,7794
120.34715792885527,103,7854
119.37157867555993,104,7941
120.34715792885527,105,8017
122.6709992948023,106,8089
118.55947841931766,107,8169
119.65954569528571,108,8247
128.08530110224865,109,8316
128.69214579147774,110,8397
