objective_value,generation,evaluations
-0.710122067021716,0,30
-0.710122067021716,1,108
-0.8207039461364332,2,181
-0.6471858742610309,3,279
-0.6471858742610309,4,369
-0.5179105938674555,5,453
-0.5000465762876825,6,545
-0.5293104953022609,7,625
-0.563723381032287,8,694
-0.75316022863655,9,776
-0.9434835125579242,10,849
-0.9893500596763855,11,939
-1.0283527909765238,12,1018
-1.0283527909765238,13,1104
-1.0314689725565196,14,1196
-1.0291858915715533,15,1276
-1.0059053753756944,16,1345
-0.9925110363542863,17,1434
-0.9934324028218591,18,1519
-0.9775090425054449,19,1584
-1.0068617042891557,20,1682
-1.02389287879002,21,1759
-0.9747589872720505,22,1842
-0.9269929073268222,23,1926
-0.9320785819637729,24,2009
-0.9905885125565846,25,2082
-0.9177641052567056,26,2154
-0.9507875001237641,27,2213
-0.9532676015701426,28,2308
-0.9507875001237641,29,2382
-0.9707193224943015,30,2463
-1.023854718520447,31,2522
-1.023854718520447,32,2592
-1.0018566534722602,33,2673
-0.9863912079138657,34,2737
-0.9076547046735746,35,2825
-1.0168377950043492,36,2903
-1.0279088530183187,37,2988
-1.0180633479533816,38,3068
-0.9883050927984304,39,3138
-1.0098229748488654,40,3213
-1.021389920943572,41,3303
-1.0289481024417848,42,3384
-1.0313905842844258,43,3471
-1.013445743651684,44,3561
-1.013445743651684,45,3660
-1.0308917668700475,46,3736
-1.016222724675071,47,3809
-1.0294087867969017,48,3893
-1.0307063336077809,49,3966
-1.0307063336077809,50,4033
-1.0311797895813695,51,4114
-1.0240637762565825,52,4208
-1.0309505884696784,53,4297
-1.030227653507173,54,4369
-1.0301607341238443,55,4443
-1.010314439922782,56,4518
-1.0286238408884372,57,4590
-1.0263432225193887,58,4668
-1.0205399886042787,59,4744
-1.0226000996739608,60,4836
-1.0209792279892282,61,4916
-1.0232336854916777,62,5002
-1.0239675037083793,63,5093
-1.0239675037083793,64,5171
-1.0239675037083793,65,5243
-1.0239675037083793,66,5319
-1.0315276962079316,67,5396
-1.0239675037083793,68,5490
-1.0204454085503891,69,5560
-1.0313311076861287,70,5639
-1.0244359826824303,71,5721
-1.02893558332519,72,5814
-1.0273597198171824,73,5903
-1.0311952366471737,74,5982
-1.0115249683323875,75,6059
-1.0219759751862114,76,6150
-1.0262697297567958,77,6237
-1.0247772706392217,78,6337
-1.0304614835516333,79,6434
-1.0279605843871449,80,6521
-1.0148704134815207,81,6600
-1.0257268143443454,82,6683
-1.0269201413312739,83,6767
-1.0314701686792738,84,6847
-1.0314701686792738,85,6922
-1.027163866407498,86,7009
-1.0046154042601698,87,7095
-1.017246485936011,88,7184
-1.020619342864463,89,7238
-1.0055833341353067,90,7313
-1.0099323606321315,91,7387
-1.0108100398343804,92,7475
-1.0311188424171358,93,7547
-1.0018057133704947,94,7619
-1.0201515728414716,95,7701
-1.0258862127440376,96,7798
-1.0258862127440376,97,7871
-0.9335250189241728,98,7950
-0.9942071441696191,99,8038
-0.9942071441696191,100,8099
-0.9711571661539082,101,8157
-1.0232762648185876,102,8244
-1.0066731400029707,103,8325
-1.0066731400029707,104,8409
-1.02205837101871,105,8497
-1.0299149034602013,106,8579
-1.0272153594655506,107,8645
-1.0272153594655506,108,8716
-1.0208796559590507,109,8807
-1.0181368603800793,110,8879
-1.0204634574681453,111,8969
-1.0311300948334032,112,9056
-1.0143957838284952,113,9139
-1.0232547816434083,114,9219
-1.030848625207425,115,9312
-1.030848625207425,116,9392
-1.030848625207425,117,9479
-1.030848625207425,118,9555
-1.0285814853296575,119,9640
-1.0306149369423114,120,9723
-1.0305996391777084,121,9806
-1.0305996391777084,122,9893
-1.0190716204686565,123,9978
-1.0298326171407395,124,10070
-1.0227589573313622,125,10167
-1.0237781659058782,126,10243
-1.0295925621080155,127,10319
-1.0283641629985838,128,10401
-1.0283641629985838,129,10470
-1.0168324585560857,130,10554
-1.0236715264620089,131,10633
-1.0313047651918668,132,10699
-1.0313047651918668,133,10764
-1.0306257811237518,134,10853
-1.0294673125695197,135,10935
-1.010761640686258,136,11021
-1.0279034044820399,137,11104
-1.028477869532103,138,11180
-1.028477869532103,139,11273
-1.0263216328667628,140,11347
-1.0294096420027348,141,11437
-1.0311914639036432,142,11519
