generation,unique_ids
0,30
1,25
2,27
3,26
4,27
5,26
6,25
7,26
8,23
9,25
10,23
11,27
12,25
13,26
14,26
15,26
16,22
17,25
18,26
19,24
20,26
21,25
22,25
23,27
24,26
25,24
26,27
27,27
28,28
29,25
30,25
31,26
32,23
33,27
34,28
35,29
36,23
37,25
38,25
39,27
40,26
41,28
42,26
43,28
44,27
45,26
46,21
47,25
48,25
49,24
50,23
51,27
52,24
53,26
54,27
55,22
56,26
57,24
58,28
59,25
60,27
61,25
62,23
63,28
64,26
65,26
66,28
67,27
68,29
69,29
70,27
71,26
72,27
73,27
74,25
75,24
76,26
77,25
78,28
79,26
80,26
81,29
82,24
83,23
84,28
85,26
86,27
87,25
88,26
89,24
90,25
91,29
92,25
93,26
94,27
95,26
96,26
97,27
98,29
99,25
100,27
101,21
102,24
103,26
104,26
105,24
106,30
107,27
108,26
109,27
110,28
111,28
112,28
113,27
114,26
115,27
116,25
117,25
118,28
119,26
120,29
121,25
122,25
123,26
124,29
125,25
126,26
127,23
128,26
129,28
130,25
131,23
132,24
133,25
134,26
135,26
136,26
137,27
138,25
139,26
140,26
141,27
142,28
143,30
144,24
145,26
146,26
147,24
148,26
149,29
150,27
151,27
152,24
153,26
154,26
155,26
156,26
157,24
158,27
159,26
160,20
161,29
162,26
163,25
164,28
165,26
166,25
167,25
168,27
169,26
170,27
171,26
172,26
173,23
174,26
175,25
176,27
177,27
178,27
179,28
180,27
181,27
182,26
183,24
184,25
185,24
186,26
187,24
188,28
189,25
190,24
191,25
192,24
193,25
194,23
195,25
196,27
197,26
198,26
199,26
200,26
201,29
202,24
203,26
204,27
205,27
206,28
207,26
208,26
209,25
210,26
211,27
212,24
213,26
214,27
215,26
216,26
217,30
218,29
219,26
220,24
221,28
222,24
223,23
224,27
225,25
226,26
227,27
228,28
229,24
230,25
231,28
232,27
233,29
234,25
235,24
236,22
237,28
238,28
239,26
240,28
241,29
242,24
243,26
244,27
245,26
246,29
247,28
248,26
249,27
250,28
251,25
252,26
253,28
254,24
255,25
256,26
257,28
258,26
259,25
260,25
261,29
262,29
263,28
264,26
265,29
266,23
267,26
268,25
269,23
270,27
271,26
272,28
273,24
274,28
275,27
276,24
277,26
278,24
279,27
280,29
281,28
282,27
283,23
284,25
285,26
286,23
287,29
288,26
289,27
290,27
291,26
292,25
293,27
294,24
295,25
296,23
297,28
298,24
299,25
300,27
301,25
302,25
303,25
304,25
305,27
306,26
307,26
308,25
309,26
310,27
311,25
312,26
313,28
314,25
315,28
316,28
317,29
318,25
319,28
320,26
321,26
322,27
323,28
324,25
325,28
326,29
327,28
328,27
329,26
330,28
331,28
332,26
333,24
334,24
335,25
336,23
337,25
338,24
339,26
340,27
341,28
342,22
343,27
344,27
345,28
346,26
347,28
348,24
349,24
350,27
351,25
352,27
353,26
354,25
355,25
356,26
357,26
358,28
359,28
360,26
361,27
362,26
363,25
364,25
365,28
366,28
367,26
368,26
369,28
370,29
371,26
372,25
373,26
374,26
375,26
376,27
377,27
378,28
379,26
380,24
381,24
382,27
383,25
384,26
385,27
386,24
387,27
388,27
389,27
390,26
391,24
392,25
393,28
394,25
395,26
396,28
397,28
398,22
399,26
400,28
401,28
402,24
403,25
404,26
405,25
406,27
407,27
408,26
409,24
410,26
411,25
412,24
413,24
414,26
415,28
416,27
417,26
418,25
419,25
420,28
421,28
422,28
423,29
424,25
425,27
426,23
427,25
428,28
429,25
430,27
431,26
432,26
433,24
434,22
435,25
436,25
437,27
438,26
439,23
440,29
441,25
442,28
443,26
444,29
445,27
446,28
447,23
448,26
449,26
450,26
451,27
452,24
453,26
454,26
455,26
456,25
457,28
458,27
459,25
460,26
461,28
462,26
463,27
464,27
465,27
466,24
467,24
468,21
469,26
470,27
471,26
472,25
473,24
474,26
475,25
476,24
477,25
478,27
479,27
480,26
481,28
482,25
483,25
484,26
485,27
486,24
487,28
488,26
489,27
490,25
491,26
492,26
493,28
494,28
495,27
496,26
497,27
498,29
499,24
500,27
501,25
502,26
503,27
504,29
505,27
506,30
507,27
508,26
509,26
510,28
511,28
512,26
513,27
514,26
515,26
516,24
517,25
518,27
519,27
520,29
521,25
522,27
523,25
524,27
525,27
526,26
527,29
528,27
529,29
530,24
531,27
532,25
533,30
534,27
535,26
536,25
537,27
538,25
539,26
540,28
541,22
542,25
543,28
544,24
545,24
546,28
547,28
548,27
549,29
550,26
551,28
552,26
553,29
554,26
555,22
556,25
557,28
558,26
559,26
560,27
561,25
562,27
563,24
564,26
565,29
566,25
567,27
568,29
569,25
570,22
571,28
572,25
573,24
574,27
575,26
576,27
577,27
578,26
579,27
580,25
581,26
582,27
583,27
584,26
585,26
586,25
587,27
588,27
589,26
590,27
591,29
592,29
593,29
594,26
595,23
596,26
597,28
598,27
599,25
600,27
601,26
602,26
603,26
604,27
605,26
606,22
607,27
608,26
609,25
610,25
611,25
612,24
613,28
