generation,unique_ids
0,30
1,24
2,24
3,27
4,28
5,28
6,26
7,24
8,22
9,24
10,26
11,25
12,28
13,28
14,24
15,26
16,27
17,24
18,24
19,25
20,25
21,24
22,27
23,27
24,27
25,25
26,25
27,27
28,27
29,25
30,25
31,25
32,25
33,27
34,25
35,25
36,24
37,26
38,25
39,25
40,24
41,26
42,23
43,24
44,25
45,28
46,24
47,26
48,26
49,28
50,27
51,29
52,23
53,24
54,25
55,28
56,25
57,30
58,23
59,23
60,25
61,25
62,26
63,26
64,29
65,25
66,27
67,25
68,25
69,23
70,26
71,24
72,27
73,25
74,25
75,27
76,25
77,26
78,26
79,23
80,24
81,23
82,28
83,26
84,24
85,24
86,26
87,26
88,27
89,26
90,29
91,24
92,25
93,25
94,23
95,28
96,25
97,27
98,24
99,24
100,23
101,29
102,24
103,26
104,29
105,27
106,28
107,26
108,26
109,27
110,26
111,26
112,25
113,27
114,25
115,23
116,26
117,28
118,27
119,26
120,24
121,23
122,27
123,22
124,26
125,26
126,23
127,26
128,25
129,25
130,27
131,26
132,27
133,29
134,25
135,27
136,24
137,23
138,27
139,22
140,29
141,23
142,25
143,24
144,27
145,25
146,24
147,25
148,25
149,28
150,27
151,24
152,24
153,29
154,28
155,26
156,29
157,27
158,28
159,26
160,28
161,28
162,25
163,29
164,25
165,25
166,27
167,28
168,24
169,24
170,23
171,26
172,26
173,26
174,23
175,27
176,28
177,28
178,27
179,28
180,26
181,27
182,28
183,24
184,24
185,26
186,28
187,26
188,26
189,26
190,24
191,26
192,27
193,24
194,26
195,27
196,26
197,29
198,27
199,25
200,26
201,26
202,25
203,26
204,26
205,25
206,25
207,25
208,26
209,27
210,27
211,26
212,25
213,23
214,23
215,25
216,23
217,23
218,24
219,26
220,27
221,28
222,28
223,28
224,27
225,23
226,26
227,26
228,28
229,26
230,25
231,26
232,25
233,28
234,27
235,26
236,23
237,24
238,26
239,27
240,26
241,27
242,23
243,26
244,25
245,25
246,28
247,24
248,29
249,25
250,26
251,25
252,22
253,26
254,27
255,25
256,24
257,26
258,25
259,26
260,26
261,26
262,26
263,24
264,25
265,26
266,25
267,27
268,25
269,24
270,28
271,26
272,29
273,23
274,29
275,28
276,24
277,26
278,24
279,26
280,28
281,26
282,26
283,26
284,28
285,27
286,25
287,25
288,27
289,28
290,26
291,25
292,27
293,27
294,27
295,24
296,29
297,27
298,28
299,26
300,24
301,25
302,21
303,23
304,28
305,27
306,27
307,26
308,26
309,23
310,26
311,28
312,24
313,24
314,25
315,23
316,24
317,23
318,22
319,23
320,25
321,29
322,25
323,28
324,26
325,28
326,26
327,28
328,29
329,28
330,27
331,28
332,22
333,26
334,26
335,28
336,23
337,27
338,25
339,27
340,25
341,23
342,28
343,25
344,28
345,25
346,28
347,26
348,23
349,26
350,27
351,28
352,26
353,25
354,26
355,25
356,26
357,23
358,24
359,26
360,26
361,27
362,25
363,24
364,27
365,27
366,25
367,25
368,25
369,22
370,26
371,26
372,26
373,26
374,26
375,25
376,25
377,27
378,27
379,26
380,26
381,29
382,27
383,25
384,25
385,26
386,25
387,25
388,30
389,27
390,24
391,27
392,27
393,27
394,25
395,24
396,26
397,29
398,25
399,25
400,25
401,28
402,24
403,25
404,24
405,26
406,25
407,26
408,28
409,27
410,23
411,25
412,26
413,25
414,28
415,26
416,24
417,27
418,27
419,27
420,27
421,24
422,25
423,25
424,22
425,25
426,24
427,27
428,27
429,23
430,28
431,29
432,28
433,27
434,26
435,23
436,25
437,26
438,27
439,28
440,26
441,26
442,25
443,26
444,25
445,25
446,19
447,23
448,26
449,27
450,29
451,24
452,27
453,25
454,25
455,25
456,27
457,24
458,25
459,22
460,25
461,27
462,28
463,27
464,27
465,27
466,24
467,24
468,27
469,26
470,28
471,25
472,24
473,24
474,25
475,27
476,25
477,27
478,25
479,24
480,25
481,26
482,28
483,28
484,23
485,24
486,24
487,26
488,27
489,26
490,27
491,25
492,29
493,28
494,26
495,27
496,26
497,27
498,27
499,29
500,26
501,25
502,26
503,26
504,26
505,26
506,28
507,25
508,27
509,27
510,26
511,24
512,27
513,28
514,27
515,27
516,23
517,25
518,26
519,22
520,27
521,28
522,26
523,27
524,23
525,28
526,28
527,24
528,27
529,25
530,20
531,26
532,27
533,26
534,27
535,28
536,27
537,26
538,25
539,28
540,28
541,25
542,26
543,27
544,25
545,29
546,24
547,26
548,28
549,26
550,25
551,24
552,27
553,28
554,27
555,28
556,26
557,25
558,25
559,26
560,25
561,27
562,25
563,21
564,22
565,24
566,26
567,27
568,25
569,28
570,25
571,26
572,24
573,28
574,26
575,28
576,24
577,27
578,28
579,24
580,26
581,27
582,27
583,26
584,27
585,28
586,25
587,27
588,27
589,22
590,27
591,25
592,23
593,26
594,30
595,25
596,27
597,26
598,26
599,28
600,25
601,27
602,27
603,28
604,23
605,24
606,27
607,30
608,26
609,22
610,22
611,28
612,25
613,26
614,23
615,26
616,25
617,26
618,25
619,28
620,25
621,26
622,27
623,26
624,29
625,28
626,27
627,27
628,27
629,27
630,25
631,26
632,27
633,27
