objective_value,generation,evaluations
3106.9926410233006,0,30
3106.9926410233006,1,83
3302.1520095200985,2,152
3126.857772794404,3,230
3042.674486679324,4,302
3209.77971325808,5,384
3209.77971325808,6,463
2833.7473711822086,7,547
2898.8625333751347,8,621
2893.890738231609,9,708
2873.2198417444515,10,789
2377.641307435114,11,856
2054.644709406577,12,935
1869.9003918259286,13,1023
1718.8453517404018,14,1114
1449.2097063272731,15,1196
1435.9262163840167,16,1274
1313.8572455498147,17,1345
1472.8190077353738,18,1415
1551.2706812493107,19,1505
1575.340959549695,20,1577
1452.6212165523325,21,1654
1326.8070712648587,22,1729
1326.8070712648587,23,1802
1293.7682439854984,24,1885
1293.7682439854984,25,1966
1442.9292360808063,26,2031
1716.051423290531,27,2101
1411.2015635675725,28,2183
1246.5887797029031,29,2256
1109.0658216793463,30,2323
1109.0658216793463,31,2389
998.1980253438107,32,2472
998.1980253438107,33,2536
1117.5967304106869,34,2614
992.7674744748231,35,2693
955.9777397686181,36,2779
994.48267244289,37,2871
872.1352141022329,38,2965
742.8498998628056,39,3046
659.6770638544557,40,3112
659.6770638544557,41,3197
480.0883052949305,42,3268
431.4472245423064,43,3341
364.6187291749696,44,3406
351.72430133509425,45,3500
260.63037031072537,46,3579
191.05276601952,47,3664
194.48096311016857,48,3748
168.7150925688082,49,3830
131.67798442529607,50,3927
102.77850300744498,51,4015
187.82044151430526,52,4105
179.46329168675302,53,4190
179.46329168675302,54,4270
238.15080302040928,55,4354
180.37438757449308,56,4436
196.97708895294724,57,4529
155.29716448003694,58,4610
183.636242210489,59,4700
144.36523465507375,60,4796
122.54837680066724,61,4879
30.893915064674992,62,4963
71.50378034499849,63,5023
71.50378034499849,64,5102
72.50407948712409,65,5176
55.662219994175814,66,5269
27.934107307276918,67,5345
12.338127295355768,68,5433
31.356339632447668,69,5512
31.356339632447668,70,5585
41.40726011364517,71,5673
33.7792055639422,72,5767
33.7792055639422,73,5858
16.949810790458663,74,5942
66.85311070999472,75,6028
35.65949849041989,76,6112
12.832857163011496,77,6200
110.87178831912448,78,6277
116.51519604352872,79,6364
95.34977481482575,80,6467
28.629475498371026,81,6554
28.629475498371026,82,6637
35.86132049201306,83,6710
133.76039747287817,84,6791
133.76039747287817,85,6863
112.81794542265997,86,6939
143.0417158737654,87,7008
99.20609638423042,88,7090
114.43249289424928,89,7179
57.04519125207442,90,7267
55.8703647093788,91,7346
55.8703647093788,92,7427
55.8703647093788,93,7501
55.8703647093788,94,7585
58.791382391796844,95,7666
41.73238129812066,96,7732
42.714023479739524,97,7826
35.28616124109794,98,7923
12.196676894614448,99,8003
8.268181783315699,100,8086
17.751803501630757,101,8161
26.67739780002713,102,8235
30.879249123781296,103,8321
20.042351446321135,104,8409
20.042351446321135,105,8479
26.60462908967695,106,8557
31.273012479147596,107,8647
