generation,unique_ids
0,30
1,26
2,26
3,27
4,25
5,26
6,25
7,26
8,26
9,25
10,28
11,29
12,29
13,28
14,28
15,26
16,25
17,29
18,27
19,26
20,28
21,25
22,26
23,28
24,26
25,26
26,28
27,24
28,23
29,21
30,24
31,26
32,26
33,26
34,27
35,25
36,27
37,24
38,25
39,24
40,25
41,24
42,28
43,27
44,26
45,27
46,25
47,26
48,28
49,28
50,25
51,29
52,23
53,25
54,24
55,22
56,24
57,25
58,25
59,27
60,26
61,27
62,28
63,28
64,26
65,25
66,26
67,25
68,26
69,27
70,28
71,29
72,21
73,27
74,24
75,28
76,24
77,25
78,25
79,27
80,25
81,26
82,26
83,26
84,24
85,27
86,26
87,27
88,26
89,27
90,27
91,25
92,29
93,26
94,24
95,22
96,22
97,22
98,27
99,27
100,27
101,28
102,26
103,26
104,27
105,28
106,27
107,23
108,26
109,29
110,27
111,26
112,27
113,26
114,28
115,29
116,27
117,24
118,28
119,27
120,25
121,23
122,25
123,27
124,24
125,28
126,27
127,22
128,25
129,27
130,27
131,28
132,29
133,26
134,26
135,24
136,25
137,27
138,26
139,28
140,27
141,25
142,24
143,26
144,25
145,25
146,27
147,26
148,26
149,27
150,25
151,27
152,25
153,27
154,28
155,25
156,24
157,28
158,28
159,26
160,29
161,27
162,28
163,27
164,24
165,28
166,28
167,26
168,26
169,27
170,27
171,28
172,25
173,27
174,25
175,25
176,29
177,24
178,26
179,27
180,27
181,24
182,22
183,23
184,24
185,26
186,25
187,27
188,23
189,25
190,25
191,25
192,24
193,25
194,26
195,26
196,27
197,28
198,27
199,26
200,24
201,26
202,25
203,28
204,28
205,26
206,29
207,26
208,28
209,26
210,30
211,27
212,27
213,26
214,23
215,27
216,28
217,28
218,27
219,28
220,25
221,25
222,24
223,28
224,25
225,28
226,23
227,24
228,23
229,23
230,27
231,26
232,28
233,27
234,26
235,26
236,28
237,29
238,25
239,25
240,23
241,23
242,22
243,25
244,27
245,24
246,24
247,26
248,23
249,24
250,24
251,26
252,24
253,30
254,29
255,28
256,25
257,28
258,24
259,26
260,28
261,24
262,25
263,27
264,27
265,26
266,26
267,26
268,28
269,23
270,26
271,25
272,24
273,23
274,27
275,25
276,27
277,26
278,25
279,25
280,26
281,27
282,24
283,27
284,26
285,23
286,26
287,27
288,27
289,27
290,27
291,24
292,27
293,25
294,29
295,29
296,28
297,28
298,26
299,26
300,26
301,28
302,28
303,27
304,27
305,27
306,24
307,25
308,28
309,25
310,26
311,26
312,27
313,26
314,26
315,25
316,27
317,24
318,27
319,26
320,25
321,24
322,27
323,25
324,25
325,26
326,26
327,23
328,26
329,27
330,27
331,26
332,28
333,24
334,25
335,22
336,29
337,22
338,26
339,28
340,26
341,28
342,24
343,26
344,26
345,27
346,25
347,26
348,27
349,26
350,25
351,26
352,25
353,26
354,25
355,27
356,26
357,27
358,25
359,29
360,27
361,24
362,28
363,26
364,24
365,26
366,29
367,30
368,26
369,29
370,28
371,22
372,25
373,28
374,26
375,27
376,23
377,27
378,27
379,26
380,27
381,28
382,28
383,28
384,27
385,25
386,26
387,28
388,26
389,28
390,27
391,24
392,28
393,29
394,27
395,24
396,28
397,26
398,25
399,27
400,26
401,26
402,24
403,22
404,27
405,27
406,27
407,25
408,25
409,25
410,24
411,27
412,27
413,28
414,22
415,26
416,27
417,28
418,24
419,29
420,29
421,26
422,25
423,26
424,24
425,27
426,28
427,28
428,26
429,23
430,28
431,29
432,27
433,25
434,27
435,25
436,23
437,21
438,25
439,25
440,27
441,29
442,24
443,27
444,28
445,28
446,29
447,25
448,26
449,28
450,28
451,27
452,28
453,26
454,27
455,24
456,24
457,27
458,28
459,30
460,29
461,25
462,26
463,25
464,29
465,26
466,26
467,25
468,26
469,26
470,26
471,26
472,27
473,30
474,23
475,26
476,27
477,27
478,28
479,22
480,27
481,25
482,27
483,28
484,25
485,26
486,28
487,26
488,25
489,28
490,27
491,23
492,25
493,27
494,27
495,24
496,24
497,28
498,23
499,25
500,27
501,26
502,29
503,29
504,26
505,25
506,27
507,27
508,26
509,26
510,30
511,29
512,30
513,26
514,24
515,25
516,29
517,25
518,28
519,26
520,27
521,25
522,25
523,26
524,27
525,26
526,27
527,27
528,25
529,25
530,27
531,27
532,27
533,26
534,26
535,28
536,26
537,25
538,26
539,27
540,28
541,24
542,23
543,28
544,25
545,28
546,28
547,28
548,28
549,27
550,26
551,24
552,25
553,29
554,27
555,24
556,25
557,26
558,26
559,29
560,23
561,27
562,24
563,24
564,25
565,28
566,27
567,28
568,24
569,25
570,25
571,27
572,28
573,25
574,26
575,27
576,28
577,26
578,26
579,25
580,26
581,23
582,26
583,26
584,26
585,27
586,26
587,29
588,27
589,28
590,27
591,27
592,29
593,27
594,24
595,28
596,27
597,27
598,27
599,28
600,27
