objective_value,generation,evaluations
33864.29382259932,0,30
33864.29382259932,1,95
39962.89594311891,2,175
302848.3789574924,3,249
11119.193044777061,4,323
11119.193044777061,5,409
40766.29097519996,6,488
23117.327137428772,7,589
93115.0546348575,8,681
64287.39085464682,9,757
33244.97536270851,10,843
29247.739789830124,11,917
24671.012669673553,12,998
21693.018809090216,13,1072
32878.867957791714,14,1167
20937.893776354133,15,1253
19654.928840231478,16,1342
18618.18745127552,17,1435
18440.23398021817,18,1521
22941.469615197024,19,1603
24998.529270534644,20,1678
19818.32101553089,21,1772
17705.96475109868,22,1852
17705.96475109868,23,1933
23165.393290356256,24,2030
23165.393290356256,25,2108
21575.87214332396,26,2193
18771.511128262464,27,2284
19246.18863809432,28,2362
19246.18863809432,29,2433
17936.246816079452,30,2506
17936.246816079452,31,2597
20582.704172311634,32,2682
20684.14748192334,33,2761
16554.95261162255,34,2848
16944.27305697398,35,2931
18726.16443028753,36,3011
18185.733414113565,37,3087
17968.124126155955,38,3167
21111.597890796347,39,3239
21111.597890796347,40,3316
19922.640880984873,41,3392
20898.026188453943,42,3479
18618.1334263138,43,3553
18618.1334263138,44,3634
19636.477640432786,45,3717
18277.090793399326,46,3788
16100.636861941859,47,3877
16100.636861941859,48,3957
14940.198831065734,49,4045
13173.422088082503,50,4122
16100.636861941859,51,4207
16325.431224334628,52,4296
13378.935432699573,53,4397
18815.24454894498,54,4484
14351.475453188026,55,4551
14351.475453188026,56,4643
13532.05174969743,57,4729
13532.05174969743,58,4813
16719.343875672683,59,4911
17199.745071040605,60,4999
15135.079307487704,61,5070
15135.079307487704,62,5155
15135.079307487704,63,5237
15196.320453725404,64,5315
29500.179758154627,65,5401
17478.312066104027,66,5492
18068.887705957764,67,5578
16563.82236548221,68,5658
17801.104556267474,69,5749
17569.36671214271,70,5834
16556.252769174247,71,5926
15861.193346127548,72,6022
16292.491263302943,73,6089
16560.4777484876,74,6179
16249.073797927338,75,6279
18994.519760720163,76,6362
16907.207829229268,77,6444
15323.713883337288,78,6529
23708.53925549136,79,6607
18112.537131635752,80,6685
18112.537131635752,81,6771
15977.49111994963,82,6855
18481.353259150528,83,6937
21742.899411219063,84,7014
16690.109623434335,85,7086
16079.636855627967,86,7177
15826.045135222064,87,7248
21367.746681390243,88,7334
36232.38949948685,89,7408
18929.089903523352,90,7486
11452.090752221044,91,7573
18929.089903523352,92,7647
20642.789695084703,93,7723
18117.773571854505,94,7807
23354.885566786797,95,7886
14219.42894274651,96,7982
16692.010890103367,97,8054
17313.96342069355,98,8139
17024.95992005053,99,8229
17024.95992005053,100,8314
16295.963756559297,101,8396
13393.625882171207,102,8477
12274.928702738765,103,8559
18034.272145264626,104,8649
15329.961697336748,105,8749
17180.287771448395,106,8824
15295.079039375643,107,8914
15685.971513972869,108,8995
18972.311341813387,109,9076
19553.682655455777,110,9154
15278.814953249172,111,9238
15278.814953249172,112,9320
15390.286900801011,113,9409
43256.913040308,114,9497
14901.633797160195,115,9587
18372.057638512877,116,9678
16571.90678355544,117,9753
15253.103010279192,118,9849
13645.050949765313,119,9948
13644.870787677317,120,10037
13644.870787677317,121,10111
14751.001895798112,122,10201
13306.625906227342,123,10278
13065.62518643988,124,10353
22095.950349984007,125,10427
15748.426417236717,126,10515
15551.174435558309,127,10594
14882.6830443591,128,10670
12509.703526366256,129,10758
12682.95915136694,130,10848
12886.607458593948,131,10937
14425.463718696643,132,11036
13046.5544913294,133,11121
13488.11224717821,134,11206
13488.11224717821,135,11293
13560.753890753049,136,11378
13560.753890753049,137,11454
13560.753890753049,138,11547
13748.319832518566,139,11622
17057.10469083661,140,11705
13915.952811882576,141,11790
13667.406129659794,142,11868
12909.682520286013,143,11951
9675.00559681949,144,12036
21202.72193171888,145,12112
9088.318703386085,146,12183
9932.96075671804,147,12259
8358.46360698635,148,12332
13761.436526519969,149,12426
17411.197417406853,150,12500
11957.632915511454,151,12579
14162.29891985797,152,12654
11536.15620575258,153,12734
8847.47399522626,154,12829
8847.47399522626,155,12918
7332.875965303438,156,12980
7332.875965303438,157,13067
14689.36010778133,158,13149
10377.125260843033,159,13224
7442.243361793108,160,13296
14049.59780122933,161,13379
13945.294464753959,162,13455
9015.895806862034,163,13539
14268.252405948813,164,13629
8497.967274623365,165,13715
7752.882257146483,166,13816
15401.246262612989,167,13896
22355.64635666132,168,13984
8662.184189433267,169,14060
8869.634715602635,170,14153
10218.35872277202,171,14235
24416.556425793315,172,14328
9489.59649491986,173,14412
25409.361813028012,174,14498
24671.404669785916,175,14586
21369.163834595598,176,14670
21369.163834595598,177,14750
21369.163834595598,178,14816
21369.163834595598,179,14881
21369.163834595598,180,14974
21166.44879224068,181,15074
25728.792833085292,182,15175
20847.824139360524,183,15252
21780.72781874422,184,15325
21780.72781874422,185,15406
30079.37626903948,186,15500
22919.97031161181,187,15569
27360.597216450387,188,15657
26933.037415048595,189,15730
26784.81035856391,190,15813
26382.64088383859,191,15904
25524.979213783357,192,15983
22069.30924613661,193,16061
24466.234211216615,194,16152
25005.599586814402,195,16239
25005.599586814402,196,16329
24103.7480799761,197,16418
24103.7480799761,198,16499
26173.053181829026,199,16593
21614.62284602608,200,16682
22044.30784701467,201,16776
22207.250596574235,202,16863
27981.691659931344,203,16938
26242.08193106399,204,17021
28926.39963913639,205,17100
30364.009178666485,206,17167
21676.03347699992,207,17247
25349.43079233155,208,17333
25429.09290847088,209,17406
28121.051575346846,210,17481
23920.435215159865,211,17562
24075.223443097635,212,17649
20557.055515956756,213,17717
19938.357661104576,214,17802
20943.61932093068,215,17883
22899.943696641494,216,17958
22796.368279646664,217,18037
24320.670319091536,218,18126
24541.48311848637,219,18203
24274.187314272054,220,18284
24541.48311848637,221,18361
24541.48311848637,222,18430
16294.89563147054,223,18517
20323.03234597795,224,18598
23070.64431334086,225,18683
11306.257197257284,226,18760
22694.195352744653,227,18850
20301.276346144004,228,18947
20301.276346144004,229,19042
