generation,unique_ids
0,30
1,24
2,23
3,22
4,22
5,21
6,19
7,18
8,20
9,23
10,23
11,20
12,22
13,20
14,23
15,24
16,20
17,17
18,20
19,22
20,22
21,21
22,25
23,24
24,22
25,22
26,18
27,23
28,21
29,17
30,18
31,24
32,18
33,20
34,19
35,21
36,22
37,25
38,19
39,25
40,25
41,22
42,22
43,19
44,19
45,21
46,20
47,19
48,20
49,19
50,20
51,16
52,18
53,20
54,22
55,22
56,23
57,22
58,19
59,19
60,19
61,18
62,17
63,17
64,20
65,17
66,20
67,17
68,22
69,24
70,22
71,22
72,21
73,22
74,20
75,13
76,14
77,19
78,22
79,21
80,26
81,19
82,23
83,21
84,21
85,18
86,19
87,17
88,20
89,24
90,21
91,20
92,21
93,18
94,18
95,17
96,18
97,21
98,22
99,18
100,24
101,22
102,20
103,24
104,18
105,15
106,20
107,19
108,18
109,21
110,22
111,21
112,20
113,22
114,22
115,23
116,25
117,25
118,23
119,23
120,19
121,21
122,18
123,23
124,24
125,21
126,24
127,21
128,22
129,22
130,25
131,22
132,21
133,19
134,17
135,15
136,14
137,17
138,20
139,20
140,24
141,22
142,22
143,18
144,20
145,21
146,22
147,18
148,25
149,22
150,20
151,19
152,20
153,18
154,17
155,19
156,18
157,17
158,27
159,22
160,21
161,22
162,19
163,23
164,18
165,21
166,21
167,19
168,19
169,22
170,22
171,22
172,23
173,20
174,20
175,15
176,20
177,23
178,24
179,24
180,17
181,17
182,16
183,19
184,19
185,20
186,19
187,17
188,16
189,13
190,19
191,17
192,21
193,19
194,21
195,17
196,19
197,23
198,24
199,23
200,22
201,23
202,24
203,24
204,21
205,19
206,23
207,22
208,22
209,22
210,24
211,24
212,24
213,22
214,21
215,26
216,21
217,24
218,21
219,23
220,20
221,17
222,16
223,15
224,13
225,15
226,20
227,24
228,23
229,23
230,21
231,23
232,20
233,21
234,23
235,20
236,18
237,21
238,21
239,17
240,21
241,16
242,18
243,20
244,21
245,19
246,25
247,19
248,20
249,22
250,25
251,24
252,18
253,23
254,26
255,25
256,23
257,22
258,24
259,20
260,21
261,24
262,27
263,25
264,24
265,18
266,18
267,22
268,17
269,19
270,22
271,20
272,21
273,19
274,18
275,16
276,24
277,24
278,22
279,18
280,19
281,20
282,20
283,21
284,19
285,17
286,18
287,15
288,19
289,20
290,21
291,20
292,19
293,17
294,21
295,24
296,24
297,22
298,21
299,20
300,17
301,17
302,20
303,17
304,14
305,17
306,17
307,16
308,16
309,16
310,17
311,16
312,18
313,17
314,14
315,17
316,15
317,17
318,21
319,21
320,19
321,19
322,14
323,17
324,13
325,16
326,21
327,22
328,18
329,19
330,19
331,23
332,23
333,22
334,24
335,24
336,23
337,19
338,19
339,20
340,20
341,21
342,22
343,20
344,22
345,22
346,20
347,23
348,21
349,17
350,17
351,16
352,18
353,19
354,20
355,21
356,19
357,22
358,21
359,17
360,17
361,22
362,22
363,22
364,26
365,23
366,22
367,22
368,20
369,20
370,17
371,15
372,21
373,20
374,23
375,25
376,21
377,20
378,21
379,23
380,18
381,20
382,23
383,25
384,20
385,20
386,22
387,21
388,22
389,23
390,21
391,21
392,21
393,24
394,24
395,23
396,21
397,22
398,22
399,21
400,19
401,20
402,23
403,22
404,24
405,19
406,23
407,22
408,24
409,19
410,21
411,21
412,17
413,19
414,20
415,20
416,22
417,24
418,22
419,18
420,17
421,19
422,19
423,22
424,18
425,16
426,14
427,20
428,19
429,22
430,21
431,15
432,15
433,19
434,19
435,17
436,22
437,20
438,20
439,15
440,15
441,17
442,20
443,20
444,21
445,20
446,21
447,20
448,20
449,21
450,19
451,22
452,19
453,21
454,21
455,18
456,16
457,21
458,19
459,19
460,19
461,23
462,23
463,21
464,23
465,16
466,17
467,17
468,21
469,23
470,24
471,20
472,20
473,17
474,14
475,16
476,17
477,22
478,23
479,20
480,23
481,22
482,22
483,21
484,19
485,21
486,20
487,21
488,20
489,23
490,20
491,21
492,18
493,17
494,21
495,23
496,20
497,24
498,24
499,22
500,23
501,23
502,24
503,25
504,19
505,17
506,17
507,21
508,23
509,19
510,18
511,21
512,20
513,16
514,19
515,21
516,21
517,21
518,22
519,19
520,18
521,18
522,19
523,19
524,16
525,21
526,21
527,20
528,20
529,17
530,16
531,16
532,19
533,19
534,14
535,16
536,23
537,18
538,19
539,19
540,22
541,21
542,19
543,23
544,18
545,19
546,20
547,19
548,18
549,16
550,18
551,17
552,19
553,19
554,19
555,18
556,18
557,20
558,19
559,21
560,17
561,19
562,16
563,19
564,16
565,15
566,17
567,16
568,9
569,17
570,17
571,20
572,16
573,14
574,19
575,17
576,21
577,18
578,17
579,20
580,21
581,16
582,19
583,20
584,17
585,20
586,21
587,19
588,20
589,20
590,23
591,20
592,16
593,21
594,20
595,19
596,16
597,20
598,16
599,17
600,24
601,20
602,23
603,21
604,22
605,22
606,19
607,18
608,18
609,21
610,18
611,22
612,22
613,24
614,18
615,18
616,22
617,20
618,18
619,18
620,19
621,21
622,23
623,19
624,19
625,16
626,16
627,17
628,21
629,14
630,10
631,20
632,20
633,22
634,24
635,18
636,19
637,19
638,17
639,18
640,20
641,17
642,18
643,16
644,18
645,16
646,21
647,19
648,17
649,21
650,20
651,19
652,19
653,16
654,19
655,21
656,19
657,20
658,18
659,23
660,15
661,19
662,18
663,17
664,23
665,19
666,21
667,19
668,18
669,16
670,20
671,17
672,21
673,24
674,23
675,20
676,25
677,21
678,19
679,21
680,23
681,21
682,26
683,23
684,19
685,21
686,20
687,18
688,21
689,17
690,17
691,18
692,20
693,24
694,20
695,19
696,17
697,16
698,22
699,21
700,20
701,16
702,19
703,20
704,16
705,18
706,18
707,18
708,24
709,21
710,21
711,23
712,23
713,21
714,23
715,23
716,20
717,14
718,16
719,16
720,22
721,19
722,18
723,17
724,18
725,21
726,19
727,24
728,20
729,21
730,18
731,14
732,16
733,15
734,16
735,20
736,19
737,15
738,20
739,20
740,18
741,19
742,12
743,11
744,11
745,17
746,18
747,17
748,15
749,18
750,17
751,19
752,25
753,19
754,22
755,18
756,16
757,15
758,21
759,15
760,14
761,14
762,21
763,19
764,20
765,21
766,16
767,21
768,20
769,19
770,20
771,19
772,20
773,23
774,22
775,23
776,16
777,17
778,15
779,17
780,19
781,25
782,21
783,16
784,16
785,15
786,17
787,24
788,19
789,22
790,19
791,16
792,15
793,18
794,19
795,19
796,18
797,20
798,21
799,18
800,21
801,20
802,19
803,18
804,17
805,19
806,18
807,20
808,20
809,22
810,24
811,24
812,22
813,19
814,20
815,18
816,20
817,20
818,16
819,19
820,21
821,18
822,22
823,20
824,24
825,22
826,19
827,20
828,22
829,21
