generation,unique_ids
0,30
1,28
2,27
3,28
4,26
5,29
6,27
7,28
8,25
9,24
10,25
11,25
12,24
13,27
14,28
15,27
16,30
17,25
18,26
19,28
20,30
21,23
22,24
23,24
24,26
25,27
26,26
27,27
28,29
29,25
30,24
31,25
32,30
33,27
34,27
35,27
36,29
37,25
38,26
39,26
40,29
41,27
42,24
43,24
44,27
45,24
46,26
47,28
48,25
49,26
50,25
51,25
52,26
53,28
54,26
55,25
56,26
57,26
58,28
59,25
60,23
61,25
62,27
63,26
64,25
65,26
66,24
67,27
68,28
69,26
70,24
71,27
72,29
73,24
74,29
75,25
76,26
77,25
78,26
79,27
80,26
81,28
82,26
83,26
84,25
85,28
86,28
87,27
88,25
89,27
90,25
91,26
92,26
93,25
94,25
95,27
96,29
97,27
98,25
99,25
100,25
101,27
102,25
103,28
104,27
105,25
106,26
107,26
108,23
109,28
110,28
111,26
112,28
113,28
114,27
115,28
116,25
117,27
118,27
119,26
120,22
121,19
122,22
123,24
124,23
125,25
126,26
127,29
128,24
129,25
130,25
131,25
132,28
133,29
134,24
135,27
136,26
137,24
138,28
139,25
140,24
141,27
142,26
143,28
144,23
145,26
146,25
147,27
148,27
149,24
150,25
151,25
152,27
153,28
154,23
155,25
156,27
157,25
158,28
159,26
160,28
161,28
162,23
163,28
164,28
165,25
166,29
167,28
168,27
169,28
170,23
171,26
172,25
173,25
174,29
175,27
176,27
177,25
178,26
179,25
180,28
181,28
182,25
183,28
184,27
185,27
186,23
187,26
188,26
189,28
190,26
191,27
192,29
193,23
194,26
195,25
196,23
197,24
198,25
199,24
200,26
201,24
202,26
203,29
204,27
205,24
206,26
207,25
208,25
209,28
210,24
211,25
212,28
213,29
214,26
215,26
216,24
217,25
218,26
219,28
220,24
221,27
222,24
223,25
224,25
225,26
226,26
227,27
228,26
229,25
230,26
231,24
232,24
233,26
234,27
235,26
236,29
237,28
238,28
239,26
240,27
241,27
242,28
243,25
244,27
245,26
246,25
247,30
248,28
249,26
250,27
251,27
252,26
253,26
254,28
255,24
256,23
257,28
258,28
259,27
260,27
261,26
262,27
263,28
264,26
265,28
266,27
267,27
268,27
269,24
270,23
271,22
272,28
273,26
274,22
275,26
276,26
277,28
278,28
279,25
280,28
281,24
282,26
283,28
284,28
285,26
286,24
287,27
288,28
289,28
290,23
291,24
292,28
293,24
294,26
295,27
296,26
297,26
298,26
299,28
300,26
301,22
302,25
303,27
304,28
305,27
306,28
307,26
308,24
309,26
310,26
311,27
312,23
313,27
314,26
315,23
316,25
317,27
318,26
319,26
320,25
321,26
322,26
323,26
324,27
325,24
326,26
327,23
328,28
329,25
330,26
331,27
332,26
333,28
334,26
335,27
336,25
337,25
338,26
339,28
340,26
341,25
342,24
343,26
344,26
345,28
346,25
347,29
348,26
349,28
350,29
351,27
352,25
353,27
354,26
355,26
356,27
357,28
358,23
359,30
360,29
361,25
362,28
363,26
364,23
365,26
366,25
367,25
368,24
369,26
370,28
371,23
372,27
373,28
374,26
375,26
376,27
377,24
378,26
379,29
380,25
381,27
382,30
383,26
384,22
385,29
386,26
387,25
388,27
389,25
390,24
391,28
392,28
393,27
394,27
395,28
396,25
397,24
398,26
399,27
400,28
401,27
402,28
403,27
404,29
405,26
406,29
407,26
408,26
409,28
410,28
411,26
412,28
413,28
414,24
415,28
416,26
417,27
418,26
419,26
420,26
421,25
422,26
423,26
424,24
425,27
426,26
427,26
428,27
429,29
430,24
431,25
432,27
433,25
434,25
435,28
436,26
437,26
438,27
439,24
440,25
441,25
442,28
443,27
444,28
445,25
446,28
447,28
448,26
449,23
450,25
451,23
452,24
453,23
454,27
455,28
456,26
457,26
458,28
459,28
460,24
461,27
462,25
463,27
464,26
465,26
466,26
467,27
468,28
469,27
470,26
471,24
472,25
473,25
474,25
475,28
476,27
477,22
478,27
479,26
480,27
481,24
482,29
483,26
484,27
485,27
486,26
487,27
488,27
489,29
490,27
491,24
492,28
493,29
494,27
495,22
496,24
497,26
498,26
499,25
500,23
501,27
502,26
503,25
504,26
505,26
506,28
507,21
508,26
509,23
510,24
511,25
512,25
513,29
514,27
515,28
516,25
517,26
518,24
519,28
520,26
521,27
522,26
523,25
524,27
525,29
526,23
527,27
528,25
529,25
530,30
531,22
532,27
533,24
534,29
535,26
536,26
537,25
538,27
539,28
540,25
541,27
542,24
543,25
544,25
545,29
546,28
547,25
548,26
549,28
550,26
551,25
552,28
553,28
554,28
555,28
556,29
557,26
558,25
559,26
560,27
561,28
562,26
563,28
564,26
565,26
566,21
567,25
568,26
569,28
570,26
571,28
572,25
573,24
574,29
575,27
576,24
577,27
578,30
579,22
580,27
581,26
582,25
583,26
584,26
585,25
586,26
587,26
588,25
589,26
590,28
591,25
592,26
593,29
594,26
595,22
596,25
597,25
598,25
599,24
600,23
601,27
602,28
603,24
604,25
605,27
606,28
607,26
608,25
609,30
610,25
