generation,unique_ids
0,30
1,24
2,25
3,25
4,26
5,26
6,25
7,28
8,28
9,27
10,30
11,29
12,27
13,26
14,26
15,26
16,25
17,30
18,30
19,27
20,26
21,26
22,25
23,25
24,26
25,28
26,27
27,22
28,26
29,25
30,24
31,26
32,28
33,27
34,25
35,25
36,25
37,27
38,26
39,26
40,24
41,26
42,24
43,28
44,29
45,25
46,27
47,27
48,25
49,28
50,25
51,24
52,27
53,24
54,27
55,24
56,28
57,26
58,27
59,26
60,25
61,27
62,25
63,25
64,25
65,26
66,27
67,28
68,21
69,26
70,26
71,26
72,24
73,29
74,26
75,26
76,26
77,25
78,25
79,28
80,25
81,24
82,25
83,26
84,25
85,26
86,24
87,23
88,25
89,23
90,27
91,27
92,26
93,25
94,25
95,23
96,28
97,25
98,27
99,25
100,25
101,25
102,25
103,29
104,27
105,22
106,24
107,24
108,26
109,24
110,24
111,23
112,22
113,26
114,24
115,22
116,26
117,27
118,24
119,20
120,24
121,27
122,27
123,26
124,24
125,20
126,26
127,27
128,22
129,25
130,27
131,22
132,26
133,27
134,26
135,27
136,27
137,26
138,23
139,26
140,24
141,24
142,27
143,27
144,25
145,27
146,27
147,24
148,24
149,26
150,26
151,24
152,24
153,22
154,23
155,25
156,27
157,25
158,26
159,27
160,27
161,24
162,27
163,26
164,28
165,26
166,26
167,25
168,26
169,26
170,26
171,27
172,26
173,27
174,26
175,26
176,28
177,26
178,27
179,24
180,26
181,26
182,22
183,28
184,25
185,25
186,27
187,26
188,28
189,29
190,25
191,22
192,28
193,28
194,30
195,24
196,26
197,24
198,24
199,27
200,26
201,26
202,27
203,26
204,28
205,26
206,27
207,27
208,28
209,26
210,24
211,26
212,26
213,24
214,26
215,25
216,26
217,24
218,27
219,24
220,25
221,24
222,26
223,24
224,22
225,25
226,26
227,25
228,25
229,24
230,27
231,28
232,27
233,27
234,26
235,27
236,27
237,27
238,26
239,28
240,28
241,27
242,24
243,27
244,26
245,28
246,24
247,29
248,25
249,24
250,27
251,25
252,30
253,26
254,27
255,23
256,25
257,26
258,27
259,27
260,26
261,25
262,29
263,26
264,27
265,26
266,28
267,25
268,28
269,24
270,24
271,24
272,26
273,28
274,24
275,25
276,24
277,24
278,26
279,25
280,27
281,26
282,29
283,27
284,27
285,27
286,29
287,27
288,28
289,25
290,24
291,25
292,24
293,28
294,26
295,24
296,28
297,27
298,25
299,24
300,22
301,29
302,24
303,27
304,27
305,20
306,22
307,24
308,23
309,28
310,24
311,26
312,21
313,27
314,26
315,27
316,27
317,27
318,29
319,29
320,25
321,28
322,27
323,27
324,27
325,27
326,26
327,28
328,26
329,25
330,24
331,27
332,27
333,26
334,27
335,28
336,27
337,26
338,25
339,26
340,21
341,28
342,29
343,24
344,27
345,24
346,25
347,25
348,26
349,27
350,28
351,27
352,27
353,24
354,26
355,28
356,26
357,28
358,23
359,27
360,27
361,27
362,25
363,25
364,24
365,25
366,26
367,27
368,25
369,25
370,27
371,26
372,25
373,24
374,24
375,24
376,24
377,23
378,24
379,24
380,27
381,25
382,20
383,25
384,27
385,25
386,27
387,25
388,21
389,27
390,26
391,28
392,26
393,25
394,27
395,26
396,26
397,26
398,24
399,29
400,28
401,26
402,23
403,24
404,24
405,25
406,26
407,25
408,25
409,25
410,27
411,28
412,24
413,25
414,24
415,27
416,28
417,26
418,22
419,24
420,26
421,26
422,23
423,27
424,29
425,26
426,25
427,27
428,26
429,27
430,23
431,27
432,26
433,22
434,28
435,24
436,26
437,28
438,27
439,24
440,28
441,24
442,27
443,28
444,25
445,28
446,28
447,25
448,27
449,27
450,29
451,27
452,25
453,25
454,22
455,26
456,28
457,26
458,25
459,28
460,26
461,24
462,27
463,24
464,27
465,25
466,26
467,26
468,28
469,24
470,27
471,24
472,26
473,27
474,26
475,25
476,24
477,26
478,24
479,24
480,25
481,29
482,26
483,28
484,25
485,23
486,27
487,29
488,23
489,27
490,27
491,27
492,25
493,26
494,25
495,25
496,29
497,26
498,25
499,26
500,27
501,25
502,24
503,25
504,26
505,24
506,26
507,26
508,23
509,25
510,27
511,27
512,27
513,27
514,27
515,27
516,23
517,26
518,27
519,28
520,26
521,27
522,27
523,25
524,25
525,23
526,27
527,25
528,28
529,27
530,27
531,24
532,25
533,24
534,28
535,26
536,26
537,27
538,21
539,25
540,27
541,27
542,25
543,25
544,25
545,26
546,25
547,27
548,26
549,24
550,27
551,26
552,28
553,23
554,27
555,25
556,26
557,28
558,27
559,23
560,28
561,26
562,28
563,27
564,27
565,25
566,23
567,28
568,26
569,25
570,27
571,26
572,25
573,25
574,23
575,28
576,27
577,26
578,25
579,26
580,27
581,28
582,28
583,25
584,27
585,26
586,23
587,28
588,30
589,24
590,25
591,23
592,25
593,26
594,26
595,27
596,28
597,28
598,27
599,27
600,23
601,25
602,27
603,27
604,27
605,25
606,25
607,29
608,26
609,23
610,25
611,27
612,26
613,23
614,28
615,28
616,24
617,23
618,25
619,26
620,24
621,28
622,24
623,27
624,30
625,28
626,28
627,23
628,27
629,26
630,28
631,29
632,24
633,28
