objective_value,generation,evaluations
130465444.70128745,0,30
119310215.21467797,1,86
113173132.28397009,2,156
105116022.85825758,3,238
100652967.82671317,4,323
97953981.90833542,5,386
93906117.2447274,6,451
90249475.32968521,7,515
83837765.66576508,8,577
81203471.92963058,9,656
80045341.40216155,10,734
75529299.9139207,11,803
71666226.10267128,12,890
67758541.12691721,13,965
62537957.1925844,14,1041
55852085.93179961,15,1110
51901402.43914541,16,1180
47999005.83400977,17,1239
42344858.20198632,18,1315
39815909.09768666,19,1411
38782404.27331908,20,1469
36065647.89955522,21,1542
34878606.78740453,22,1620
27143338.645681202,23,1687
26576266.60065402,24,1765
23323905.911328,25,1839
19021176.20666992,26,1918
17584747.317575295,27,2005
16271263.80860096,28,2075
13404648.182087151,29,2158
12590947.72231238,30,2242
11221055.148868632,31,2334
9895362.465169776,32,2416
8453119.898158118,33,2479
7840045.529386912,34,2567
7280454.2568407,35,2642
6777755.672073773,36,2720
5794964.20364454,37,2805
4869748.242045198,38,2877
4860865.522465545,39,2973
3774077.4682648582,40,3060
3774077.4682648582,41,3144
2799186.6219595047,42,3237
2463810.5468909396,43,3323
2296145.5990060857,44,3411
1925746.6623863007,45,3490
1925746.6623863007,46,3587
1265684.1333359107,47,3673
1208779.3017133686,48,3750
917651.2223041824,49,3854
682288.085019414,50,3934
682288.085019414,51,4000
400969.816004031,52,4072
400969.816004031,53,4153
400969.816004031,54,4238
400969.816004031,55,4316
400969.816004031,56,4400
400969.816004031,57,4490
400969.816004031,58,4566
400969.816004031,59,4648
400969.816004031,60,4735
246688.24920342455,61,4800
246688.24920342455,62,4877
246688.24920342455,63,4951
246688.24920342455,64,5033
246688.24920342455,65,5111
246688.24920342455,66,5195
246688.24920342455,67,5280
246688.24920342455,68,5349
246688.24920342455,69,5439
106906.3431930894,70,5526
106906.3431930894,71,5611
106906.3431930894,72,5693
106906.3431930894,73,5772
106906.3431930894,74,5846
106906.3431930894,75,5931
106906.3431930894,76,6022
106906.3431930894,77,6095
106906.3431930894,78,6180
106906.3431930894,79,6259
106906.3431930894,80,6350
106906.3431930894,81,6431
106906.3431930894,82,6520
106906.3431930894,83,6596
106906.3431930894,84,6692
106906.3431930894,85,6795
106906.3431930894,86,6859
106906.3431930894,87,6948
106906.3431930894,88,7039
106906.3431930894,89,7126
106906.3431930894,90,7188
106906.3431930894,91,7268
106906.3431930894,92,7362
106906.3431930894,93,7461
106906.3431930894,94,7528
80480.59199254445,95,7602
80480.59199254445,96,7692
80480.59199254445,97,7776
80480.59199254445,98,7867
80480.59199254445,99,7952
80480.59199254445,100,8033
80480.59199254445,101,8122
80480.59199254445,102,8206
80480.59199254445,103,8277
80480.59199254445,104,8356
80480.59199254445,105,8442
80480.59199254445,106,8527
80480.59199254445,107,8610
80480.59199254445,108,8693
80480.59199254445,109,8772
80480.59199254445,110,8850
80480.59199254445,111,8926
80480.59199254445,112,9015
80480.59199254445,113,9075
80480.59199254445,114,9169
80480.59199254445,115,9255
80480.59199254445,116,9344
80480.59199254445,117,9410
80480.59199254445,118,9482
80480.59199254445,119,9568
80480.59199254445,120,9646
80480.59199254445,121,9729
80480.59199254445,122,9813
80480.59199254445,123,9907
80480.59199254445,124,9986
80480.59199254445,125,10063
80480.59199254445,126,10147
80480.59199254445,127,10214
80480.59199254445,128,10301
80480.59199254445,129,10383
80480.59199254445,130,10462
80480.59199254445,131,10532
80480.59199254445,132,10626
80480.59199254445,133,10702
80480.59199254445,134,10790
80480.59199254445,135,10881
80480.59199254445,136,10945
80480.59199254445,137,11016
80480.59199254445,138,11092
80480.59199254445,139,11181
80480.59199254445,140,11276
80480.59199254445,141,11343
80480.59199254445,142,11422
80480.59199254445,143,11492
80480.59199254445,144,11553
80480.59199254445,145,11646
80480.59199254445,146,11706
80480.59199254445,147,11777
80480.59199254445,148,11867
80480.59199254445,149,11921
80480.59199254445,150,11999
80480.59199254445,151,12064
80480.59199254445,152,12148
80480.59199254445,153,12246
80480.59199254445,154,12333
80480.59199254445,155,12396
80480.59199254445,156,12493
80480.59199254445,157,12570
80480.59199254445,158,12646
80480.59199254445,159,12716
80480.59199254445,160,12786
80480.59199254445,161,12875
80480.59199254445,162,12947
