objective_value,generation,evaluations
-3.991971588197511e-100,0,30
-2.6601626591825296e-82,1,120
-5.893898362959618e-56,2,154
-1.0943443145173363e-26,3,185
-1.0943443145173363e-26,4,241
-1.0943443145173363e-26,5,301
-1.0943443145173363e-26,6,353
-1.0943443145173363e-26,7,408
-1.0943443145173363e-26,8,465
-1.0943443145173363e-26,9,514
-7.31797082947883e-12,10,589
-5.592060219525092e-08,11,623
-5.592060219525092e-08,12,656
-5.592060219525092e-08,13,688
-5.592060219525092e-08,14,718
-5.592060219525092e-08,15,749
-5.592060219525092e-08,16,780
-5.592060219525092e-08,17,812
-0.016982786839437613,18,849
-0.7016087912356066,19,891
-0.798392804060666,20,960
-0.798392804060666,21,1049
-0.798392804060666,22,1137
-0.798392804060666,23,1213
-0.798392804060666,24,1301
-0.798392804060666,25,1379
-0.9469985126928131,26,1456
-0.9469985126928131,27,1493
-0.9469985126928131,28,1531
-0.9469985126928131,29,1572
-0.9469985126928131,30,1615
-0.9469985126928131,31,1664
-0.9469985126928131,32,1702
-0.9469985126928131,33,1785
-0.9469985126928131,34,1831
-0.9469985126928131,35,1885
-0.9469985126928131,36,1974
-0.9469985126928131,37,2054
-0.9469985126928131,38,2143
-0.9986250735967322,39,2229
-0.9986250735967322,40,2304
-0.9986250735967322,41,2399
-0.9986250735967322,42,2479
-0.9986250735967322,43,2566
-0.9986250735967322,44,2660
-0.9986250735967322,45,2747
-0.9986250735967322,46,2835
-0.9986250735967322,47,2927
-0.9986250735967322,48,3010
-0.9986250735967322,49,3099
-0.9986250735967322,50,3176
-0.9986250735967322,51,3249
-0.9986250735967322,52,3334
-0.9986250735967322,53,3420
-0.9986250735967322,54,3499
-0.9986250735967322,55,3566
-0.9986250735967322,56,3635
-0.9986250735967322,57,3720
-0.9986250735967322,58,3789
-0.9986250735967322,59,3889
-0.9986250735967322,60,3973
-0.9986250735967322,61,4051
-0.9986250735967322,62,4120
-0.9986250735967322,63,4186
-0.9986250735967322,64,4271
-0.9986250735967322,65,4366
-0.9986250735967322,66,4457
-0.9986250735967322,67,4538
-0.9986250735967322,68,4633
-0.9986250735967322,69,4732
-0.9986250735967322,70,4816
-0.9986250735967322,71,4887
-0.9986250735967322,72,4969
-0.9986250735967322,73,5053
-0.9986250735967322,74,5147
-0.9986250735967322,75,5245
-0.9986250735967322,76,5312
-0.9986250735967322,77,5402
-0.9986250735967322,78,5487
-0.9986250735967322,79,5567
-0.9986250735967322,80,5653
-0.9986250735967322,81,5732
-0.9986250735967322,82,5819
-0.9986250735967322,83,5891
-0.9986250735967322,84,5976
-0.9986250735967322,85,6069
-0.9986250735967322,86,6156
-0.9986250735967322,87,6241
-0.9986250735967322,88,6327
-0.9986250735967322,89,6413
-0.9986250735967322,90,6484
-0.9986250735967322,91,6569
-0.9986250735967322,92,6655
-0.9986250735967322,93,6739
-0.9986250735967322,94,6817
-0.9986250735967322,95,6891
-0.9986250735967322,96,6973
-0.9986250735967322,97,7067
-0.9986250735967322,98,7162
-0.9986250735967322,99,7240
-0.9986250735967322,100,7313
-0.9986250735967322,101,7389
-0.9986250735967322,102,7469
-0.9986250735967322,103,7547
-0.9986250735967322,104,7625
-0.9986250735967322,105,7704
-0.9986250735967322,106,7767
-0.9986250735967322,107,7838
-0.9986250735967322,108,7918
-0.9986250735967322,109,8007
-0.9986250735967322,110,8084
-0.9986250735967322,111,8160
-0.9986250735967322,112,8247
-0.9986250735967322,113,8334
-0.9986250735967322,114,8423
-0.9986250735967322,115,8510
-0.9986250735967322,116,8593
-0.9986250735967322,117,8668
-0.9986250735967322,118,8748
-0.9986250735967322,119,8827
-0.9986250735967322,120,8905
-0.9986250735967322,121,8980
-0.9986250735967322,122,9047
-0.9986250735967322,123,9133
-0.9986250735967322,124,9212
-0.9986250735967322,125,9298
-0.9986250735967322,126,9390
-0.9986250735967322,127,9459
-0.9986250735967322,128,9553
-0.9986250735967322,129,9625
-0.9986250735967322,130,9707
-0.9986250735967322,131,9783
-0.9986250735967322,132,9872
-0.9986250735967322,133,9961
-0.9986250735967322,134,10044
-0.9986250735967322,135,10118
-0.9986250735967322,136,10200
-0.9986250735967322,137,10290
-0.9986250735967322,138,10375
-0.9986250735967322,139,10454
-0.9986250735967322,140,10533
-0.9986250735967322,141,10613
-0.9986250735967322,142,10689
-0.9986250735967322,143,10779
-0.9986250735967322,144,10860
-0.9986250735967322,145,10946
-0.9986250735967322,146,11044
-0.9986250735967322,147,11115
-0.9986250735967322,148,11194
-0.9986250735967322,149,11276
-0.9986250735967322,150,11347
-0.9986250735967322,151,11435
-0.9986250735967322,152,11520
-0.9986250735967322,153,11601
-0.9986250735967322,154,11687
-0.9986250735967322,155,11765
-0.9986250735967322,156,11859
-0.9986250735967322,157,11940
-0.9986250735967322,158,12029
-0.9986250735967322,159,12104
-0.9986250735967322,160,12192
-0.9986250735967322,161,12265
-0.9986250735967322,162,12352
-0.9986250735967322,163,12430
-0.9986250735967322,164,12515
-0.9986250735967322,165,12597
-0.9986250735967322,166,12671
-0.9986250735967322,167,12750
-0.9986250735967322,168,12841
-0.9986250735967322,169,12914
-0.9986250735967322,170,12989
-0.9986250735967322,171,13072
-0.9986250735967322,172,13160
-0.9986250735967322,173,13247
-0.9986250735967322,174,13330
-0.9986250735967322,175,13410
-0.9986250735967322,176,13493
-0.9986250735967322,177,13573
-0.9986250735967322,178,13670
-0.9986250735967322,179,13740
-0.9986250735967322,180,13811
-0.9986250735967322,181,13888
-0.9986250735967322,182,13975
-0.9986250735967322,183,14061
-0.9986250735967322,184,14132
-0.9986250735967322,185,14207
-0.9986250735967322,186,14280
-0.9986250735967322,187,14359
-0.9986250735967322,188,14433
-0.9986250735967322,189,14500
-0.9986250735967322,190,14598
-0.9986250735967322,191,14691
-0.9986250735967322,192,14776
-0.9986250735967322,193,14855
-0.9986250735967322,194,14947
-0.9986250735967322,195,15030
-0.9986250735967322,196,15114
-0.9986250735967322,197,15202
-0.9986250735967322,198,15279
-0.9986250735967322,199,15361
-0.9986250735967322,200,15458
-0.9986250735967322,201,15535
-0.9986250735967322,202,15632
-0.9986250735967322,203,15722
-0.9986250735967322,204,15810
-0.9986250735967322,205,15899
-0.9986250735967322,206,15985
-0.9986250735967322,207,16078
-0.9986250735967322,208,16167
-0.9986250735967322,209,16253
-0.9986250735967322,210,16349
-0.9986250735967322,211,16431
-0.9986250735967322,212,16508
-0.9986250735967322,213,16598
-0.9986250735967322,214,16676
-0.9986250735967322,215,16755
-0.9986250735967322,216,16840
-0.9986250735967322,217,16927
-0.9986250735967322,218,17020
-0.9986250735967322,219,17107
-0.9986250735967322,220,17202
-0.9986250735967322,221,17281
-0.9986250735967322,222,17373
-0.9986250735967322,223,17456
-0.9986250735967322,224,17534
-0.9986250735967322,225,17616
-0.9986250735967322,226,17703
-0.9986250735967322,227,17793
-0.9986250735967322,228,17872
-0.9986250735967322,229,17954
-0.9986250735967322,230,18045
-0.9986250735967322,231,18124
-0.9986250735967322,232,18204
-0.9986250735967322,233,18292
-0.9986250735967322,234,18382
-0.9986250735967322,235,18461
-0.9986250735967322,236,18540
-0.9986250735967322,237,18625
-0.9986250735967322,238,18698
-0.9986250735967322,239,18780
-0.9986250735967322,240,18867
-0.9986250735967322,241,18963
-0.9986250735967322,242,19048
-0.9986250735967322,243,19134
-0.9986250735967322,244,19217
-0.9986250735967322,245,19301
-0.9986250735967322,246,19398
-0.9986250735967322,247,19477
-0.9986250735967322,248,19562
-0.9986250735967322,249,19651
-0.9986250735967322,250,19734
-0.9986250735967322,251,19811
-0.9986250735967322,252,19887
-0.9986250735967322,253,19967
-0.9986250735967322,254,20038
-0.9986250735967322,255,20109
-0.9986250735967322,256,20201
-0.9986250735967322,257,20277
-0.9986250735967322,258,20362
-0.9986250735967322,259,20436
-0.9986250735967322,260,20510
-0.9986250735967322,261,20607
-0.9986250735967322,262,20700
-0.9986250735967322,263,20775
-0.9986250735967322,264,20857
-0.9986250735967322,265,20938
-0.9986250735967322,266,21016
-0.9986250735967322,267,21092
-0.9986250735967322,268,21182
-0.9986250735967322,269,21272
-0.9986250735967322,270,21359
-0.9986250735967322,271,21445
-0.9986250735967322,272,21515
-0.9986250735967322,273,21599
-0.9986250735967322,274,21680
-0.9986250735967322,275,21770
-0.9986250735967322,276,21860
-0.9986250735967322,277,21945
-0.9986250735967322,278,22024
-0.9986250735967322,279,22106
-0.9986250735967322,280,22185
-0.9986250735967322,281,22269
-0.9986250735967322,282,22346
-0.9986250735967322,283,22427
-0.9986250735967322,284,22510
-0.9986250735967322,285,22586
-0.9986250735967322,286,22675
-0.9986250735967322,287,22759
-0.9986250735967322,288,22839
-0.9986250735967322,289,22913
-0.9986250735967322,290,22993
-0.9986250735967322,291,23071
-0.9986250735967322,292,23149
-0.9986250735967322,293,23230
-0.9986250735967322,294,23310
-0.9986250735967322,295,23388
-0.9986250735967322,296,23464
-0.9986250735967322,297,23546
-0.9986250735967322,298,23628
-0.9986250735967322,299,23702
-0.9986250735967322,300,23780
