objective_value,generation,evaluations
196793461.12218478,0,30
195821111.7035017,1,85
194481714.2584232,2,161
193791089.42824575,3,227
188905511.2237602,4,310
182787546.47094494,5,394
177158296.655505,6,465
177158296.655505,7,541
171858413.7989587,8,642
165056928.89566895,9,714
163594363.5036011,10,792
157492958.54937813,11,873
154103846.57121035,12,965
149413445.079698,13,1053
141792908.19449946,14,1130
136754744.91736752,15,1213
128753471.99583457,16,1305
119496839.36657873,17,1387
119496839.36657873,18,1454
118040749.09821798,19,1537
111307886.93933499,20,1602
111307886.93933499,21,1672
107964059.2329294,22,1752
107964059.2329294,23,1818
102234495.1447701,24,1898
96604651.41816787,25,1977
92860339.96159509,26,2063
91275378.98032236,27,2120
89681893.18523261,28,2207
87620294.8064778,29,2279
87620294.8064778,30,2373
85372542.6231728,31,2456
81356844.40840797,32,2547
78397415.18984771,33,2622
77405287.90624556,34,2701
75578771.93601899,35,2781
75578771.93601899,36,2847
73835000.65695976,37,2919
73398761.79368974,38,3008
70810651.66411042,39,3078
69593612.160365,40,3163
69593612.160365,41,3249
67993069.78742018,42,3308
67495877.72719564,43,3391
66228424.40917975,44,3479
64239147.62531987,45,3553
63722275.67123224,46,3646
62014850.07574281,47,3711
62014850.07574281,48,3797
59804225.60671795,49,3872
58592067.782696456,50,3958
57246323.31120159,51,4026
54431327.72830373,52,4102
53619967.74791846,53,4169
53619967.74791846,54,4243
52478815.83349463,55,4322
51466817.90817433,56,4398
50455511.19821973,57,4472
48900099.84107637,58,4551
48040945.6750119,59,4638
48040945.6750119,60,4710
47024088.40217423,61,4782
45646949.488836765,62,4853
44808264.88981021,63,4926
43848122.833682425,64,4980
43848122.833682425,65,5055
43681679.3441137,66,5141
43424746.458174676,67,5219
43037472.10787552,68,5306
43037472.10787552,69,5413
43037472.10787552,70,5494
41784972.007071726,71,5549
40908824.23044727,72,5634
39564245.259606965,73,5724
38606054.93714526,74,5810
38361117.185660854,75,5889
37494729.60219982,76,5962
37494729.60219982,77,6036
36294052.67728436,78,6129
35510482.04094129,79,6210
35490487.52453473,80,6294
34845093.50189181,81,6390
34657069.4538711,82,6463
34657069.4538711,83,6521
33813481.503144555,84,6606
32845168.62508456,85,6689
32803765.399882328,86,6762
31741635.120698847,87,6862
31476125.59074203,88,6937
30474355.460615966,89,7016
30474355.460615966,90,7096
30145412.575213183,91,7174
29860935.926704574,92,7267
28933245.832509063,93,7348
28516988.59051389,94,7434
28500839.94959228,95,7505
27256129.284973536,96,7597
26755624.831817295,97,7677
25584074.904521845,98,7742
25584074.904521845,99,7823
25584074.904521845,100,7904
25584074.904521845,101,7996
25253656.37796537,102,8087
24459253.14556194,103,8175
24214666.6427739,104,8262
23343939.35637323,105,8348
23343939.35637323,106,8428
23343939.35637323,107,8510
22597376.26293343,108,8579
22597376.26293343,109,8666
22597376.26293343,110,8748
22068975.437560488,111,8825
22068975.437560488,112,8911
21949229.01669283,113,8969
21920260.23230992,114,9050
21744848.923498932,115,9128
19973265.034258496,116,9224
19973265.034258496,117,9296
19837934.897910424,118,9377
19837934.897910424,119,9461
19837934.897910424,120,9547
18984134.395357076,121,9623
18984134.395357076,122,9714
18984134.395357076,123,9796
18976764.674644798,124,9878
18360813.8471202,125,9958
18360813.8471202,126,10036
17193784.41603599,127,10116
17193784.41603599,128,10200
17193784.41603599,129,10281
16799902.45813274,130,10362
16799902.45813274,131,10439
16443240.077796413,132,10519
16164095.391478727,133,10583
15444663.26226005,134,10680
15444663.26226005,135,10745
15444663.26226005,136,10835
15290791.326996297,137,10921
14771509.751409302,138,11006
14059983.718021696,139,11069
14059983.718021696,140,11150
13630040.883522576,141,11235
13078905.126256537,142,11319
13078905.126256537,143,11390
13058152.323100751,144,11451
13058152.323100751,145,11517
12896822.881402725,146,11616
12896822.881402725,147,11684
12698862.18173185,148,11746
12579949.412156356,149,11814
12085054.992114015,150,11895
11818702.211031869,151,11986
