generation,unique_ids
0,30
1,24
2,26
3,26
4,25
5,25
6,26
7,27
8,27
9,27
10,28
11,27
12,24
13,26
14,27
15,28
16,30
17,26
18,27
19,27
20,27
21,26
22,27
23,27
24,24
25,26
26,25
27,25
28,23
29,24
30,28
31,27
32,27
33,24
34,24
35,27
36,26
37,28
38,27
39,25
40,26
41,25
42,25
43,28
44,25
45,29
46,27
47,25
48,27
49,26
50,26
51,27
52,26
53,28
54,26
55,25
56,27
57,27
58,25
59,26
60,24
61,23
62,26
63,26
64,25
65,25
66,28
67,26
68,27
69,26
70,27
71,27
72,25
73,24
74,27
75,28
76,28
77,28
78,28
79,26
80,28
81,25
82,25
83,23
84,27
85,28
86,23
87,25
88,27
89,23
90,29
91,26
92,23
93,26
94,26
95,26
96,28
97,23
98,25
99,25
100,25
101,25
102,27
103,27
104,25
105,27
106,26
107,28
108,28
109,26
110,27
111,27
112,27
113,25
114,25
115,25
116,29
117,27
118,28
119,27
120,26
121,25
122,25
123,24
124,27
125,24
126,25
127,28
128,26
129,24
130,28
131,23
132,24
133,29
134,27
135,26
136,27
137,27
138,27
139,25
140,26
141,26
142,24
143,27
144,25
145,24
146,26
147,25
148,25
149,24
150,28
151,26
152,25
153,26
154,27
155,27
156,27
157,26
158,26
159,24
160,25
161,25
162,28
163,26
164,28
165,28
166,27
167,27
168,26
169,27
170,25
171,22
172,26
173,30
174,28
175,25
176,28
177,25
178,23
179,25
180,26
181,26
182,24
183,26
184,25
185,24
186,26
187,27
188,25
189,28
190,28
191,24
192,26
193,26
194,24
195,26
196,26
197,25
198,25
199,28
200,25
201,24
202,26
203,27
204,26
205,25
206,28
207,26
208,27
209,25
210,25
211,24
212,27
213,24
214,22
215,25
216,25
217,25
218,26
219,29
220,26
221,27
222,27
223,25
224,26
225,25
226,26
227,24
228,28
229,28
230,28
231,23
232,24
233,26
234,24
235,28
236,28
237,25
238,25
239,27
240,27
241,30
242,24
243,27
244,24
245,24
246,26
247,26
248,27
249,29
250,27
251,26
252,27
253,24
254,28
255,27
256,24
257,24
258,27
259,25
260,27
261,27
262,26
263,26
264,25
265,23
266,25
267,27
268,25
269,26
270,27
271,27
272,24
273,25
274,27
275,27
276,25
277,28
278,23
279,24
280,25
281,24
282,29
283,24
284,26
285,25
286,26
287,28
288,25
289,27
290,24
291,27
292,25
293,24
294,27
295,25
296,27
297,28
298,24
299,29
300,28
301,28
302,29
303,25
304,27
305,26
306,27
307,26
308,26
309,22
310,29
311,26
312,28
313,25
314,25
315,28
316,25
317,24
318,27
319,26
320,22
321,26
322,27
323,26
324,27
325,26
326,27
327,23
328,25
329,29
330,25
331,25
332,28
333,28
334,26
335,25
336,25
337,26
338,28
339,25
340,24
341,25
342,25
343,25
344,25
345,25
346,26
347,27
348,30
349,24
350,28
351,24
352,28
353,27
354,28
355,27
356,28
357,24
358,26
359,28
360,26
361,30
362,26
363,24
364,25
365,27
366,25
367,30
368,25
369,26
370,26
371,28
372,29
373,24
374,23
375,28
376,24
377,25
378,22
379,26
380,24
381,26
382,27
383,28
384,27
385,24
386,23
387,26
388,27
389,25
390,27
391,24
392,27
393,26
394,26
395,25
396,25
397,25
398,28
399,28
400,26
401,26
402,28
403,25
404,24
405,25
406,26
407,24
408,24
409,27
410,27
411,27
412,25
413,24
414,25
415,28
416,23
417,21
418,26
419,25
420,27
421,26
422,23
423,28
424,25
425,25
426,24
427,27
428,29
429,26
430,28
431,25
432,26
433,29
434,29
435,26
436,22
437,25
438,25
439,29
440,27
441,27
442,28
443,28
444,28
445,26
446,25
447,27
448,26
449,24
450,24
451,27
452,28
453,28
454,26
455,24
456,25
457,26
458,23
459,28
460,25
461,25
462,28
463,27
464,29
465,25
466,24
467,27
468,27
469,26
470,27
471,27
472,27
473,24
474,25
475,27
476,27
477,29
478,25
479,26
480,26
481,22
482,26
483,26
484,25
485,27
486,27
487,26
488,27
489,25
490,23
491,27
492,25
493,27
494,29
495,24
496,26
497,26
498,25
499,27
500,27
501,24
502,22
503,24
504,24
505,27
506,26
507,29
508,22
509,28
510,27
511,26
512,27
513,26
514,24
515,27
516,27
517,26
518,24
519,24
520,26
521,27
522,26
523,27
524,28
525,22
526,27
527,27
528,27
529,25
530,29
531,26
532,26
533,26
534,24
535,26
536,23
537,29
538,27
539,25
540,28
541,25
542,28
543,27
544,29
545,22
546,26
547,24
548,29
549,27
550,25
551,26
552,26
553,25
554,26
555,27
556,30
557,26
558,25
559,27
560,27
561,25
562,28
563,27
564,29
565,29
566,27
567,27
568,29
569,24
570,27
571,28
572,29
573,24
574,28
575,26
576,28
577,25
578,28
579,28
580,24
581,27
582,26
583,29
584,27
585,26
586,26
587,26
588,23
589,24
590,28
591,29
592,25
593,28
594,25
595,24
596,27
597,26
598,25
599,27
600,29
601,24
