generation,unique_ids
0,30
1,28
2,26
3,26
4,23
5,24
6,29
7,25
8,29
9,27
10,23
11,24
12,27
13,27
14,24
15,28
16,29
17,24
18,27
19,24
20,25
21,27
22,27
23,27
24,28
25,24
26,25
27,27
28,28
29,27
30,28
31,25
32,26
33,25
34,26
35,25
36,29
37,27
38,25
39,23
40,26
41,25
42,25
43,27
44,26
45,25
46,27
47,29
48,29
49,27
50,25
51,26
52,26
53,27
54,26
55,26
56,23
57,25
58,24
59,25
60,28
61,28
62,25
63,27
64,27
65,28
66,26
67,28
68,25
69,26
70,26
71,22
72,28
73,28
74,27
75,28
76,27
77,24
78,26
79,27
80,27
81,25
82,28
83,28
84,24
85,23
86,24
87,23
88,25
89,28
90,24
91,27
92,28
93,27
94,27
95,26
96,24
97,28
98,26
99,25
100,28
101,26
102,29
103,29
104,28
105,25
106,25
107,26
108,28
109,26
110,28
111,29
112,27
113,25
114,27
115,27
116,27
117,28
118,29
119,25
120,24
121,26
122,27
123,26
124,26
125,26
126,27
127,28
128,28
129,26
130,25
131,27
132,27
133,24
134,23
135,27
136,24
137,23
138,25
139,28
140,27
141,26
142,27
143,24
144,27
145,27
146,27
147,28
148,26
149,27
150,25
151,27
152,26
153,23
154,25
155,28
156,25
157,26
158,26
159,29
160,25
161,26
162,27
163,27
164,28
165,28
166,28
167,27
168,25
169,28
170,27
171,27
172,24
173,27
174,26
175,26
176,25
177,26
178,26
179,28
180,29
181,29
182,27
183,27
184,29
185,28
186,25
187,25
188,23
189,23
190,28
191,29
192,25
193,28
194,25
195,24
196,24
197,26
198,27
199,27
200,27
201,23
202,25
203,24
204,28
205,24
206,26
207,28
208,26
209,25
210,22
211,26
212,23
213,29
214,27
215,24
216,25
217,27
218,26
219,25
220,27
221,27
222,25
223,27
224,26
225,24
226,25
227,25
228,27
229,28
230,27
231,25
232,27
233,25
234,27
235,28
236,25
237,28
238,27
239,24
240,23
241,28
242,29
243,26
244,25
245,26
246,25
247,27
248,27
249,28
250,25
251,28
252,27
253,26
254,27
255,28
256,28
257,25
258,25
259,26
260,23
261,26
262,28
263,23
264,25
265,28
266,27
267,28
268,26
269,24
270,27
271,27
272,26
273,25
274,25
275,26
276,25
277,28
278,22
279,26
280,25
281,28
282,25
283,26
284,24
285,25
286,24
287,24
288,28
289,25
290,26
291,26
292,26
293,25
294,25
295,25
296,28
297,27
298,27
299,26
300,26
301,27
302,25
303,25
304,26
305,23
306,26
307,25
308,24
309,25
310,23
311,25
312,29
313,27
314,27
315,25
316,30
317,27
318,26
319,26
320,27
321,27
322,26
323,26
324,27
325,28
326,25
327,27
328,27
329,25
330,29
331,25
332,27
333,25
334,23
335,27
336,26
337,29
338,25
339,27
340,25
341,28
342,29
343,27
344,25
345,24
346,27
347,26
348,26
349,25
350,24
351,27
352,24
353,25
354,27
355,24
356,27
357,25
358,23
359,23
360,27
361,24
362,28
363,23
364,25
365,24
366,26
367,25
368,25
369,26
370,28
371,22
372,25
373,25
374,27
375,26
376,28
377,23
378,26
379,21
380,27
381,25
382,26
383,29
384,26
385,23
386,26
387,23
388,25
389,24
390,27
391,28
392,28
393,29
394,25
395,25
396,25
397,24
398,27
399,28
400,28
401,25
402,26
403,24
404,26
405,25
406,25
407,26
408,26
409,29
410,26
411,25
412,27
413,25
414,28
415,25
416,27
417,24
418,27
419,27
420,24
421,24
422,25
423,27
424,28
425,27
426,26
427,28
428,25
429,28
430,29
431,27
432,26
433,24
434,24
435,27
436,28
437,25
438,23
439,27
440,27
441,27
442,24
443,21
444,26
445,27
446,22
447,26
448,25
449,26
450,27
451,26
452,27
453,27
454,25
455,24
456,24
457,28
458,27
459,26
460,27
461,24
462,23
463,26
464,23
465,26
466,24
467,25
468,28
469,26
470,24
471,25
472,27
473,24
474,28
475,27
476,24
477,27
478,27
479,27
480,27
481,27
482,25
483,24
484,28
485,26
486,26
487,27
488,29
489,28
490,25
491,26
492,27
493,29
494,25
495,26
496,25
497,27
498,26
499,28
500,27
501,28
502,26
503,26
504,26
505,24
506,27
507,26
508,27
509,26
510,26
511,26
512,23
513,29
514,27
515,26
516,25
517,27
518,26
519,28
520,26
521,26
522,23
523,24
524,26
525,24
526,28
527,26
528,25
529,25
530,25
531,25
532,26
533,27
534,26
535,27
536,27
537,25
538,25
539,26
540,26
541,29
542,23
543,25
544,27
545,25
546,27
547,27
548,28
549,23
550,27
551,26
552,25
553,26
554,25
555,27
556,26
557,25
558,24
559,28
560,29
561,27
562,25
563,25
564,28
565,30
566,26
567,25
568,27
569,24
570,24
571,24
572,26
573,24
574,25
575,26
576,27
577,25
578,25
579,25
580,27
581,27
582,26
583,25
584,23
585,29
586,26
587,27
588,25
589,28
590,26
591,27
592,25
593,25
594,25
595,26
596,25
597,25
598,27
599,26
