generation,unique_ids
0,30
1,27
2,28
3,27
4,27
5,26
6,27
7,28
8,26
9,27
10,27
11,27
12,25
13,26
14,27
15,25
16,27
17,26
18,25
19,26
20,26
21,27
22,23
23,23
24,28
25,27
26,27
27,28
28,25
29,27
30,26
31,25
32,25
33,26
34,26
35,27
36,26
37,28
38,28
39,27
40,27
41,24
42,26
43,26
44,24
45,26
46,25
47,24
48,24
49,23
50,24
51,23
52,26
53,27
54,26
55,27
56,27
57,26
58,25
59,25
60,20
61,23
62,25
63,28
64,26
65,27
66,25
67,26
68,26
69,23
70,26
71,22
72,27
73,21
74,23
75,25
76,27
77,27
78,27
79,26
80,28
81,26
82,28
83,25
84,28
85,21
86,24
87,25
88,25
89,22
90,27
91,29
92,27
93,25
94,26
95,27
96,24
97,23
98,25
99,24
100,25
101,27
102,26
103,26
104,29
105,25
106,27
107,23
108,25
109,26
110,24
111,29
112,24
113,25
114,27
115,23
116,24
117,26
118,26
119,25
120,27
121,24
122,27
123,24
124,27
125,24
126,27
127,26
128,27
129,25
130,28
131,27
132,29
133,27
134,26
135,23
136,24
137,29
138,26
139,27
140,24
141,25
142,25
143,28
144,28
145,28
146,24
147,27
148,26
149,28
150,27
151,24
152,28
153,24
154,27
155,27
156,25
157,22
158,27
159,26
160,28
161,26
162,27
163,27
164,24
165,28
166,23
167,26
168,22
169,22
170,23
171,21
172,26
173,25
174,26
175,25
176,24
177,28
178,23
179,26
180,25
181,25
182,24
183,25
184,26
185,28
186,27
187,26
188,26
189,26
190,27
191,25
192,27
193,27
194,25
195,24
196,27
197,27
198,25
199,27
200,22
201,26
202,28
203,27
204,24
205,26
206,25
207,29
208,26
209,28
210,27
211,29
212,27
213,25
214,27
215,26
216,28
217,26
218,26
219,23
220,25
221,27
222,28
223,27
224,23
225,26
226,28
227,27
228,25
229,26
230,25
231,27
232,24
233,27
234,28
235,24
236,26
237,28
238,27
239,26
240,26
241,28
242,27
243,27
244,25
245,23
246,24
247,27
248,25
249,24
250,27
251,25
252,26
253,27
254,26
255,25
256,25
257,25
258,28
259,26
260,28
261,25
262,27
263,26
264,24
265,26
266,26
267,23
268,28
269,26
270,25
271,28
272,27
273,24
274,27
275,26
276,26
277,23
278,22
279,28
280,26
281,26
282,29
283,26
284,26
285,25
286,27
287,27
288,26
289,24
290,27
291,29
292,27
293,25
294,26
295,25
296,26
297,26
298,26
299,26
300,27
301,24
302,26
303,26
304,26
305,26
306,28
307,27
308,25
309,24
310,28
311,25
312,26
313,24
314,27
315,27
316,26
317,27
318,24
319,27
320,27
321,28
322,27
323,26
324,24
325,24
326,25
327,26
328,27
329,28
330,24
331,24
332,22
333,25
334,26
335,26
336,24
337,26
338,26
339,21
340,29
341,24
342,27
343,23
344,25
345,24
346,28
347,25
348,25
349,21
350,26
351,24
352,27
353,27
354,28
355,27
356,26
357,28
358,28
359,25
360,26
361,27
362,26
363,26
364,27
365,28
366,24
367,25
368,26
369,27
370,24
371,26
372,23
373,28
374,25
375,25
376,26
377,28
378,29
379,25
380,28
381,23
382,24
383,25
384,27
385,27
386,25
387,28
388,23
389,21
390,24
391,27
392,29
393,23
394,28
395,25
396,27
397,24
398,25
399,25
400,28
401,24
402,27
403,26
404,27
405,25
406,26
407,27
408,27
409,27
410,28
411,27
412,23
413,25
414,24
415,28
416,27
417,24
418,26
419,26
420,23
421,25
422,25
423,25
424,26
425,25
426,27
427,29
428,26
429,27
430,26
431,24
432,26
433,28
434,25
435,27
436,20
437,27
438,27
439,26
440,24
441,28
442,23
443,29
444,27
445,25
446,23
447,26
448,27
449,27
450,27
451,24
452,25
453,27
454,26
455,21
456,27
457,26
458,24
459,20
460,28
461,26
462,24
463,25
464,28
465,25
466,28
467,27
468,29
469,27
470,28
471,28
472,24
473,28
474,26
475,23
476,26
477,25
478,26
479,25
480,23
481,25
482,27
483,25
484,25
485,25
486,30
487,30
488,27
489,28
490,27
491,27
492,30
493,27
494,27
495,29
496,25
497,25
498,27
499,26
500,24
501,25
502,25
503,25
504,26
505,27
506,25
507,25
508,27
509,26
510,24
511,29
512,24
513,24
514,25
515,24
516,27
517,26
518,28
519,26
520,26
521,24
522,26
523,27
524,29
525,24
526,25
527,25
528,28
529,28
530,25
531,21
532,24
533,27
534,24
535,27
536,24
537,27
538,23
539,28
540,29
541,27
542,23
543,25
544,27
545,26
546,24
547,25
548,27
549,26
550,24
551,27
552,25
553,25
554,27
555,25
556,27
557,25
558,26
559,27
560,25
561,25
562,25
563,23
564,24
565,27
566,26
567,28
568,24
569,23
570,27
571,28
572,27
573,24
574,22
575,23
576,26
577,23
578,23
579,26
580,25
581,24
582,27
583,25
584,26
585,23
586,26
587,25
588,24
589,27
590,26
591,26
592,26
593,26
594,29
595,28
596,28
597,28
598,26
599,27
600,27
601,26
602,25
603,28
604,26
605,26
606,24
607,25
608,24
609,22
610,21
611,25
612,28
613,25
614,25
615,24
616,28
617,25
618,25
619,26
620,24
621,23
622,26
623,26
624,24
625,25
626,25
627,26
628,26
629,25
