generation,unique_ids
0,30
1,25
2,22
3,23
4,23
5,24
6,24
7,26
8,28
9,24
10,26
11,24
12,28
13,24
14,25
15,27
16,27
17,28
18,27
19,27
20,25
21,27
22,27
23,26
24,28
25,25
26,23
27,27
28,28
29,23
30,26
31,29
32,27
33,25
34,26
35,27
36,29
37,27
38,27
39,26
40,28
41,26
42,27
43,25
44,29
45,24
46,23
47,24
48,27
49,26
50,28
51,27
52,28
53,26
54,22
55,27
56,27
57,28
58,27
59,26
60,27
61,24
62,24
63,24
64,27
65,26
66,25
67,27
68,26
69,27
70,25
71,26
72,25
73,25
74,24
75,26
76,26
77,26
78,27
79,26
80,26
81,27
82,28
83,28
84,27
85,26
86,27
87,27
88,25
89,26
90,26
91,25
92,27
93,28
94,27
95,29
96,25
97,28
98,25
99,27
100,23
101,24
102,27
103,27
104,27
105,28
106,27
107,26
108,26
109,26
110,27
111,28
112,26
113,27
114,26
115,24
116,29
117,24
118,29
119,24
120,28
121,26
122,23
123,26
124,21
125,25
126,25
127,24
128,27
129,26
130,24
131,25
132,28
133,25
134,28
135,28
136,24
137,24
138,28
139,27
140,25
141,28
142,27
143,23
144,24
145,22
146,26
147,28
148,28
149,26
150,24
151,25
152,28
153,27
154,25
155,27
156,25
157,26
158,27
159,26
160,27
161,28
162,26
163,23
164,24
165,24
166,28
167,26
168,27
169,28
170,26
171,24
172,27
173,24
174,25
175,25
176,28
177,26
178,27
179,28
180,24
181,25
182,28
183,23
184,29
185,25
186,26
187,26
188,28
189,28
190,25
191,26
192,26
193,24
194,27
195,25
196,27
197,26
198,26
199,26
200,27
201,24
202,26
203,25
204,25
205,27
206,27
207,24
208,27
209,25
210,26
211,27
212,27
213,25
214,25
215,24
216,28
217,27
218,26
219,25
220,27
221,25
222,23
223,27
224,25
225,25
226,28
227,26
228,24
229,28
230,26
231,27
232,27
233,21
234,23
235,26
236,28
237,29
238,26
239,26
240,26
241,24
242,26
243,26
244,28
245,25
246,27
247,26
248,27
249,25
250,26
251,25
252,27
253,28
254,26
255,26
256,28
257,26
258,26
259,26
260,27
261,27
262,27
263,27
264,27
265,26
266,25
267,30
268,24
269,25
270,24
271,23
272,27
273,26
274,24
275,27
276,27
277,26
278,25
279,25
280,26
281,28
282,25
283,24
284,27
285,26
286,26
287,29
288,27
289,25
290,25
291,24
292,26
293,28
294,26
295,28
296,25
297,25
298,27
299,27
300,23
301,25
302,26
303,23
304,25
305,23
306,21
307,25
308,27
309,28
310,27
311,25
312,27
313,28
314,25
315,28
316,26
317,26
318,28
319,27
320,26
321,28
322,25
323,26
324,27
325,26
326,26
327,26
328,27
329,25
330,25
331,27
332,28
333,28
334,25
335,25
336,28
337,27
338,25
339,25
340,24
341,29
342,25
343,26
344,27
345,24
346,25
347,26
348,27
349,27
350,26
351,28
352,29
353,27
354,25
355,24
356,28
357,26
358,28
359,27
360,24
361,27
362,26
363,28
364,27
365,27
366,25
367,25
368,26
369,26
370,27
371,25
372,27
373,25
374,24
375,27
376,30
377,25
378,27
379,21
380,26
381,27
382,27
383,24
384,27
385,29
386,27
387,26
388,24
389,29
390,28
391,28
392,23
393,26
394,27
395,24
396,28
397,26
398,25
399,28
400,26
401,28
402,28
403,24
404,26
405,28
406,24
407,28
408,26
409,25
410,24
411,29
412,24
413,26
414,27
415,28
416,28
417,28
418,29
419,25
420,26
421,27
422,27
423,25
424,27
425,26
426,27
427,25
428,27
429,24
430,25
431,27
432,28
433,29
434,24
435,28
436,28
437,27
438,30
439,24
440,26
441,27
442,25
443,27
444,25
445,26
446,27
447,25
448,27
449,25
450,25
451,26
452,29
453,25
454,28
455,28
456,25
457,26
458,24
459,25
460,26
461,27
462,25
463,28
464,27
465,22
466,24
467,28
468,28
469,26
470,26
471,23
472,24
473,27
474,28
475,28
476,27
477,24
478,25
479,27
480,28
481,25
482,25
483,25
484,27
485,26
486,26
487,27
488,26
489,25
490,28
491,29
492,25
493,30
494,26
495,28
496,26
497,25
498,25
499,29
500,28
501,27
502,24
503,27
504,28
505,25
506,23
507,25
508,24
509,24
510,24
511,26
512,26
513,27
514,23
515,25
516,23
517,28
518,28
519,26
520,21
521,29
522,25
523,26
524,25
525,26
526,24
527,29
528,27
529,27
530,26
531,23
532,26
533,21
534,27
535,25
536,26
537,27
538,24
539,28
540,26
541,26
542,26
543,25
544,28
545,28
546,28
547,25
548,30
549,26
550,26
551,27
552,27
553,25
554,28
555,27
556,25
557,29
558,27
559,24
560,25
561,24
562,25
563,27
564,26
565,26
566,24
567,24
568,30
569,23
570,28
571,27
572,22
573,26
574,28
575,26
576,28
577,28
578,29
579,26
580,23
581,29
582,25
583,24
584,28
585,25
586,25
587,26
588,25
589,27
590,27
591,26
592,27
593,24
594,28
595,23
596,25
597,27
598,26
599,27
600,27
601,22
602,27
603,25
604,26
605,24
606,25
607,23
608,24
