generation,unique_ids
0,30
1,21
2,20
3,27
4,23
5,24
6,26
7,25
8,26
9,25
10,25
11,24
12,27
13,27
14,27
15,26
16,26
17,25
18,26
19,23
20,24
21,25
22,25
23,25
24,26
25,24
26,24
27,24
28,23
29,24
30,21
31,21
32,24
33,28
34,28
35,26
36,25
37,25
38,24
39,25
40,25
41,24
42,22
43,24
44,22
45,27
46,24
47,26
48,22
49,21
50,26
51,24
52,25
53,24
54,25
55,22
56,20
57,23
58,24
59,26
60,22
61,19
62,25
63,23
64,26
65,24
66,25
67,25
68,22
69,27
70,23
71,21
72,25
73,26
74,24
75,23
76,24
77,28
78,26
79,29
80,25
81,23
82,26
83,24
84,25
85,19
86,24
87,25
88,23
89,23
90,24
91,25
92,23
93,25
94,29
95,26
96,21
97,17
98,23
99,22
100,26
101,28
102,27
103,21
104,21
105,25
106,20
107,24
108,23
109,25
110,21
111,22
112,26
113,26
114,25
115,24
116,24
117,27
118,27
119,25
120,26
121,20
122,25
123,25
124,26
125,25
126,26
127,24
128,28
129,26
130,27
131,24
132,26
133,26
134,21
135,27
136,28
137,27
138,25
139,23
140,23
141,24
142,25
143,25
144,29
145,26
146,27
147,22
148,27
149,24
150,25
151,27
152,25
153,21
154,24
155,22
156,27
157,24
158,24
159,26
160,22
161,29
162,24
163,25
164,25
165,27
166,27
167,24
168,26
169,24
170,27
171,24
172,24
173,25
174,29
175,26
176,26
177,27
178,25
179,24
180,26
181,27
182,26
183,26
184,24
185,25
186,26
187,26
188,23
189,26
190,27
191,22
192,25
193,25
194,27
195,27
196,27
197,24
198,23
199,27
200,25
201,22
202,22
203,26
204,26
205,26
206,25
207,26
208,24
209,25
210,25
211,22
212,27
213,25
214,24
215,23
216,27
217,24
218,25
219,23
220,25
221,28
222,25
223,25
224,27
225,25
226,24
227,22
228,24
229,24
230,24
231,24
232,24
233,25
234,24
235,24
236,25
237,23
238,25
239,25
240,24
241,23
242,27
243,25
244,27
245,27
246,26
247,23
248,27
249,26
250,27
251,27
252,26
253,23
254,24
255,22
256,27
257,24
258,23
259,27
260,23
261,26
262,27
263,28
264,25
265,19
266,23
267,22
268,25
269,27
270,25
271,23
272,24
273,23
274,28
275,22
276,25
277,27
278,26
279,23
280,25
281,23
282,26
283,24
284,27
285,23
286,24
287,25
288,24
289,24
290,25
291,23
292,24
293,23
294,24
295,25
296,22
297,28
298,24
299,26
300,24
301,21
302,22
303,24
304,24
305,25
306,23
307,29
308,27
309,25
310,25
311,27
312,27
313,26
314,25
315,25
316,23
317,22
318,24
319,25
320,25
321,26
322,26
323,24
324,22
325,24
326,25
327,23
328,26
329,25
330,27
331,26
332,25
333,27
334,25
335,24
336,23
337,22
338,22
339,26
340,27
341,29
342,25
343,25
344,27
345,24
346,26
347,25
348,26
349,22
350,23
351,25
352,26
353,23
354,27
355,25
356,23
357,23
358,24
359,25
360,26
361,25
362,22
363,28
364,25
365,25
366,26
367,27
368,25
369,25
370,27
371,28
372,26
373,25
374,25
375,24
376,26
377,24
378,25
379,21
380,26
381,25
382,24
383,26
384,27
385,27
386,22
387,21
388,27
389,24
390,23
391,23
392,24
393,23
394,24
395,27
396,25
397,26
398,26
399,24
400,22
401,23
402,23
403,22
404,23
405,24
406,26
407,21
408,25
409,25
410,23
411,26
412,23
413,24
414,23
415,23
416,28
417,24
418,25
419,26
420,26
421,26
422,26
423,23
424,25
425,24
426,26
427,27
428,23
429,26
430,27
431,26
432,23
433,28
434,27
435,24
436,25
437,23
438,25
439,26
440,23
441,24
442,25
443,27
444,24
445,25
446,23
447,19
448,22
449,23
450,25
451,26
452,22
453,23
454,24
455,27
456,23
457,26
458,23
459,23
460,26
461,24
462,23
463,23
464,24
465,22
466,26
467,21
468,18
469,24
470,25
471,26
472,27
473,27
474,25
475,23
476,26
477,25
478,25
479,22
480,26
481,24
482,25
483,29
484,27
485,25
486,25
487,26
488,27
489,22
490,23
491,24
492,27
493,23
494,23
495,24
496,23
497,24
498,27
499,25
500,23
501,25
502,25
503,26
504,29
505,26
506,22
507,26
508,25
509,23
510,24
511,25
512,28
513,27
514,24
515,22
516,28
517,27
518,27
519,25
520,23
521,26
522,22
523,25
524,24
525,25
526,26
527,23
528,25
529,22
530,22
531,22
532,26
533,23
534,27
535,29
536,22
537,24
538,22
539,27
540,25
541,26
542,22
543,26
544,27
545,27
546,27
547,28
548,25
549,25
550,24
551,22
552,25
553,25
554,24
555,23
556,26
557,24
558,25
559,29
560,26
561,25
562,22
563,24
564,24
565,26
566,25
567,25
568,27
569,22
570,21
571,23
572,24
573,22
574,22
575,25
576,27
577,27
578,24
579,24
580,27
581,24
582,25
583,24
584,26
585,22
586,23
587,25
588,23
589,25
590,29
591,28
592,25
593,27
594,26
595,25
596,24
597,22
598,25
599,22
600,25
601,25
602,22
603,22
604,25
605,26
606,28
607,22
608,25
609,22
610,22
611,24
612,26
613,25
614,20
615,23
616,26
617,24
618,22
619,25
620,26
621,24
622,24
623,28
624,21
625,26
626,26
627,27
628,27
629,24
630,24
631,26
632,25
633,26
634,27
635,27
636,27
637,23
638,28
639,24
640,25
641,28
642,27
643,27
644,19
645,26
646,26
647,28
648,27
649,23
650,25
651,27
652,27
653,26
654,25
655,26
656,25
657,22
658,23
