generation,unique_ids
0,30
1,25
2,23
3,24
4,24
5,25
6,23
7,27
8,27
9,27
10,25
11,28
12,27
13,26
14,28
15,26
16,26
17,27
18,22
19,26
20,28
21,22
22,24
23,25
24,25
25,27
26,24
27,26
28,25
29,28
30,28
31,23
32,27
33,26
34,29
35,28
36,27
37,25
38,27
39,27
40,24
41,26
42,25
43,26
44,27
45,27
46,27
47,26
48,27
49,28
50,25
51,23
52,26
53,26
54,26
55,28
56,27
57,26
58,26
59,23
60,24
61,28
62,28
63,28
64,26
65,26
66,23
67,27
68,25
69,26
70,24
71,27
72,28
73,27
74,28
75,26
76,28
77,26
78,23
79,24
80,24
81,28
82,26
83,26
84,25
85,25
86,25
87,28
88,26
89,24
90,26
91,24
92,26
93,24
94,27
95,25
96,29
97,27
98,25
99,24
100,27
101,26
102,28
103,29
104,29
105,27
106,24
107,23
108,25
109,26
110,27
111,25
112,28
113,24
114,27
115,27
116,26
117,25
118,27
119,25
120,23
121,26
122,23
123,27
124,25
125,25
126,26
127,22
128,27
129,27
130,24
131,27
132,25
133,26
134,24
135,28
136,25
137,26
138,28
139,24
140,26
141,27
142,23
143,26
144,23
145,29
146,26
147,28
148,29
149,24
150,27
151,27
152,25
153,25
154,27
155,22
156,25
157,24
158,27
159,27
160,26
161,24
162,24
163,27
164,23
165,27
166,27
167,27
168,28
169,25
170,29
171,27
172,26
173,25
174,27
175,27
176,29
177,28
178,27
179,26
180,27
181,26
182,27
183,25
184,26
185,26
186,27
187,26
188,28
189,26
190,28
191,20
192,21
193,26
194,25
195,27
196,26
197,27
198,24
199,25
200,29
201,26
202,26
203,26
204,24
205,28
206,25
207,27
208,26
209,28
210,29
211,28
212,29
213,26
214,28
215,25
216,28
217,26
218,30
219,27
220,28
221,27
222,23
223,25
224,24
225,23
226,26
227,27
228,28
229,27
230,28
231,27
232,29
233,28
234,27
235,30
236,25
237,23
238,29
239,27
240,27
241,27
242,27
243,27
244,24
245,28
246,27
247,24
248,25
249,27
250,23
251,26
252,27
253,26
254,27
255,25
256,26
257,26
258,26
259,25
260,26
261,28
262,26
263,27
264,25
265,25
266,26
267,29
268,25
269,28
270,26
271,24
272,27
273,29
274,26
275,26
276,26
277,25
278,28
279,25
280,25
281,29
282,23
283,28
284,25
285,27
286,25
287,23
288,27
289,27
290,28
291,27
292,24
293,22
294,28
295,25
296,26
297,24
298,26
299,24
300,26
301,28
302,27
303,26
304,25
305,26
306,26
307,26
308,26
309,28
310,28
311,29
312,25
313,25
314,26
315,26
316,24
317,28
318,24
319,26
320,27
321,24
322,26
323,27
324,27
325,27
326,28
327,25
328,26
329,28
330,27
331,27
332,26
333,26
334,27
335,27
336,25
337,27
338,26
339,25
340,27
341,25
342,26
343,26
344,26
345,26
346,25
347,25
348,26
349,25
350,26
351,28
352,26
353,25
354,26
355,27
356,27
357,25
358,29
359,28
360,27
361,27
362,28
363,27
364,27
365,23
366,22
367,24
368,28
369,26
370,25
371,27
372,27
373,27
374,27
375,27
376,26
377,22
378,23
379,22
380,25
381,26
382,26
383,23
384,25
385,26
386,28
387,28
388,25
389,28
390,26
391,29
392,25
393,27
394,26
395,24
396,27
397,29
398,25
399,28
400,26
401,27
402,24
403,27
404,24
405,26
406,24
407,26
408,26
409,25
410,27
411,27
412,28
413,27
414,26
415,27
416,26
417,30
418,23
419,27
420,26
421,24
422,28
423,28
424,27
425,24
426,20
427,27
428,26
429,24
430,25
431,26
432,25
433,28
434,26
435,23
436,24
437,29
438,27
439,27
440,25
441,22
442,23
443,27
444,26
445,28
446,25
447,26
448,26
449,28
450,26
451,24
452,25
453,27
454,27
455,28
456,29
457,28
458,25
459,26
460,25
461,28
462,24
463,28
464,24
465,29
466,25
467,24
468,26
469,25
470,28
471,27
472,27
473,26
474,25
475,25
476,24
477,22
478,22
479,28
480,26
481,25
482,27
483,27
484,26
485,27
486,26
487,26
488,27
489,28
490,22
491,21
492,25
493,29
494,28
495,27
496,24
497,27
498,23
499,26
500,24
501,28
502,26
503,28
504,26
505,27
506,26
507,25
508,22
509,23
510,26
511,26
512,27
513,25
514,23
515,28
516,26
517,26
518,27
519,28
520,27
521,26
522,27
523,24
524,26
525,27
526,27
527,28
528,28
529,28
530,26
531,25
532,27
533,26
534,26
535,27
536,26
537,25
538,27
539,27
540,24
541,23
542,24
543,27
544,28
545,28
546,25
547,29
548,26
549,27
550,27
551,28
552,24
553,30
554,30
555,28
556,24
557,23
558,26
559,26
560,28
561,26
562,26
563,27
564,26
565,26
566,28
567,28
568,28
569,23
570,27
571,27
572,24
573,28
574,29
575,26
576,25
577,27
578,25
579,27
580,27
581,27
582,25
583,27
584,27
585,26
586,27
587,27
588,28
589,25
590,26
591,26
592,27
593,27
594,24
595,26
596,26
597,27
598,26
599,27
600,27
601,29
602,29
