objective_value,generation,evaluations
18437.560610516644,0,30
14326.261300156535,1,100
13023.715119392138,2,172
11966.111386655346,3,247
10104.10530826377,4,331
8798.373376809308,5,401
8798.373376809308,6,492
8252.23485015152,7,579
2454.2970502831377,8,661
1939.4823519719776,9,751
1313.9150052408595,10,844
1313.9150052408595,11,924
1041.334062746311,12,994
804.660762608808,13,1083
521.1807732557822,14,1163
289.6921321454648,15,1242
105.9569363120114,16,1327
58.35789833856808,17,1411
58.35789833856808,18,1493
27.75083185122457,19,1577
27.75083185122457,20,1654
16.279688255831612,21,1730
16.279688255831612,22,1824
16.279688255831612,23,1906
16.279688255831612,24,1994
16.279688255831612,25,2059
16.279688255831612,26,2150
16.279688255831612,27,2240
16.279688255831612,28,2321
16.279688255831612,29,2395
16.279688255831612,30,2489
16.279688255831612,31,2559
16.279688255831612,32,2640
16.279688255831612,33,2720
16.279688255831612,34,2799
16.279688255831612,35,2864
16.279688255831612,36,2934
16.279688255831612,37,3015
16.279688255831612,38,3090
16.279688255831612,39,3177
16.279688255831612,40,3273
16.279688255831612,41,3361
16.279688255831612,42,3428
16.279688255831612,43,3501
16.279688255831612,44,3587
16.279688255831612,45,3679
16.279688255831612,46,3756
16.279688255831612,47,3827
16.279688255831612,48,3919
16.279688255831612,49,3984
16.279688255831612,50,4078
16.279688255831612,51,4162
16.279688255831612,52,4248
16.279688255831612,53,4334
16.279688255831612,54,4407
16.279688255831612,55,4496
16.279688255831612,56,4554
16.279688255831612,57,4635
16.279688255831612,58,4736
16.279688255831612,59,4808
16.279688255831612,60,4888
16.279688255831612,61,4969
16.279688255831612,62,5039
16.279688255831612,63,5130
16.279688255831612,64,5226
15.907523372257735,65,5326
7.6488335607911635,66,5406
7.6488335607911635,67,5489
7.6488335607911635,68,5570
7.6488335607911635,69,5653
7.6488335607911635,70,5744
7.6488335607911635,71,5816
7.6488335607911635,72,5913
7.6488335607911635,73,5992
7.6488335607911635,74,6067
7.6488335607911635,75,6153
7.6488335607911635,76,6213
7.6488335607911635,77,6293
7.6488335607911635,78,6378
7.6488335607911635,79,6463
7.6488335607911635,80,6560
7.6488335607911635,81,6630
