objective_value,generation,evaluations
6682.8336797687625,0,30
6276.672148824113,1,91
6276.672148824113,2,139
6045.799896998161,3,196
5878.272900903421,4,248
5587.345895420138,5,317
5489.381135418873,6,386
5260.525700552867,7,451
5091.389853983917,8,506
5042.7289653985445,9,556
4767.450545038326,10,613
4688.165854180192,11,669
4614.3666973789095,12,744
4608.176005608195,13,831
4608.176005608195,14,906
4386.691074925074,15,975
4382.442244154738,16,1034
4232.021526159997,17,1097
4232.021526159997,18,1161
4232.021526159997,19,1235
4232.021526159997,20,1316
4232.021526159997,21,1388
4232.021526159997,22,1454
4217.99085605402,23,1520
4217.99085605402,24,1574
4217.99085605402,25,1652
4217.99085605402,26,1721
4217.99085605402,27,1798
4217.99085605402,28,1874
4217.99085605402,29,1945
4217.99085605402,30,2016
4159.026560943955,31,2094
4159.026560943955,32,2171
4159.026560943955,33,2254
4126.715323331825,34,2329
4126.715323331825,35,2398
4126.715323331825,36,2464
4126.715323331825,37,2539
4126.715323331825,38,2606
4126.715323331825,39,2676
4125.211421235441,40,2748
4125.211421235441,41,2815
4125.211421235441,42,2879
4125.211421235441,43,2942
4125.211421235441,44,3020
4125.211421235441,45,3101
4125.211421235441,46,3166
4125.211421235441,47,3260
4125.211421235441,48,3349
4125.211421235441,49,3415
4026.9446843541064,50,3491
4026.9446843541064,51,3563
4026.9446843541064,52,3627
4026.9446843541064,53,3705
4026.9446843541064,54,3768
4026.9446843541064,55,3849
4026.9446843541064,56,3931
4026.9446843541064,57,4000
4026.9446843541064,58,4073
4026.9446843541064,59,4155
4026.9446843541064,60,4232
4026.9446843541064,61,4321
4026.9446843541064,62,4386
4026.9446843541064,63,4450
4026.9446843541064,64,4523
4026.9446843541064,65,4594
4026.9446843541064,66,4676
4026.9446843541064,67,4742
4026.9446843541064,68,4811
4026.9446843541064,69,4867
4026.9446843541064,70,4930
4026.9446843541064,71,4995
4026.9446843541064,72,5080
4026.9446843541064,73,5166
4026.9446843541064,74,5240
4026.9446843541064,75,5318
4026.9446843541064,76,5393
4026.9446843541064,77,5472
4026.9446843541064,78,5546
4026.9446843541064,79,5619
4026.9446843541064,80,5683
3989.1373203925914,81,5751
3989.1373203925914,82,5822
3989.1373203925914,83,5894
3989.1373203925914,84,5968
3989.1373203925914,85,6042
3989.1373203925914,86,6121
3989.1373203925914,87,6183
3989.1373203925914,88,6253
3989.1373203925914,89,6313
3989.1373203925914,90,6373
3989.1373203925914,91,6436
3989.1373203925914,92,6506
3989.1373203925914,93,6584
3989.1373203925914,94,6661
3989.1373203925914,95,6734
3989.1373203925914,96,6794
3989.1373203925914,97,6861
3989.1373203925914,98,6930
3989.1373203925914,99,7002
3989.1373203925914,100,7066
3989.1373203925914,101,7130
3989.1373203925914,102,7187
3989.1373203925914,103,7265
3989.1373203925914,104,7341
3989.1373203925914,105,7402
3989.1373203925914,106,7465
3989.1373203925914,107,7537
3989.1373203925914,108,7602
3989.1373203925914,109,7664
3989.1373203925914,110,7731
3989.1373203925914,111,7808
3989.1373203925914,112,7871
3989.1373203925914,113,7948
3989.1373203925914,114,8013
3989.1373203925914,115,8104
3989.1373203925914,116,8178
3989.1373203925914,117,8268
3989.1373203925914,118,8360
3989.1373203925914,119,8432
3989.1373203925914,120,8505
3989.1373203925914,121,8577
3989.1373203925914,122,8661
3989.1373203925914,123,8731
3989.1373203925914,124,8795
3989.1373203925914,125,8884
3989.1373203925914,126,8965
