generation,unique_ids
0,30
1,23
2,21
3,24
4,27
5,21
6,21
7,19
8,20
9,24
10,25
11,26
12,24
13,23
14,24
15,25
16,26
17,26
18,26
19,22
20,25
21,24
22,24
23,22
24,23
25,21
26,25
27,24
28,27
29,25
30,23
31,23
32,21
33,27
34,23
35,24
36,23
37,21
38,23
39,27
40,26
41,26
42,21
43,24
44,23
45,24
46,25
47,24
48,24
49,23
50,22
51,25
52,27
53,26
54,21
55,22
56,25
57,25
58,22
59,22
60,26
61,25
62,29
63,21
64,23
65,23
66,23
67,23
68,22
69,26
70,23
71,21
72,22
73,29
74,26
75,21
76,24
77,25
78,25
79,26
80,23
81,28
82,22
83,22
84,22
85,20
86,27
87,23
88,24
89,24
90,23
91,23
92,26
93,22
94,24
95,26
96,22
97,26
98,26
99,24
100,23
101,23
102,22
103,25
104,22
105,28
106,25
107,23
108,25
109,26
110,25
111,23
112,21
113,26
114,24
115,26
116,22
117,25
118,27
119,26
120,24
121,27
122,26
123,24
124,25
125,28
126,24
127,28
128,25
129,25
130,24
131,23
132,25
133,26
134,26
135,25
136,19
137,24
138,27
139,23
140,20
141,21
142,21
143,25
144,24
145,27
146,24
147,22
148,25
149,24
150,25
151,25
152,24
153,25
154,22
155,20
156,24
157,25
158,23
159,24
160,26
161,24
162,24
163,24
164,25
165,26
166,25
167,22
168,24
169,25
170,25
171,23
172,25
173,21
174,24
175,25
176,26
177,24
178,21
179,20
180,23
181,23
182,24
183,25
184,25
185,28
186,25
187,25
188,25
189,26
190,25
191,25
192,26
193,23
194,24
195,22
196,22
197,24
198,25
199,25
200,24
201,25
202,25
203,23
204,26
205,26
206,21
207,21
208,22
209,24
210,26
211,23
212,25
213,21
214,25
215,27
216,27
217,26
218,23
219,23
220,26
221,23
222,26
223,23
224,25
225,25
226,22
227,22
228,27
229,24
230,24
231,24
232,23
233,21
234,24
235,25
236,20
237,25
238,24
239,24
240,21
241,24
242,23
243,22
244,23
245,25
246,21
247,25
248,22
249,25
250,25
251,26
252,21
253,24
254,22
255,18
256,23
257,23
258,26
259,22
260,26
261,23
262,23
263,22
264,26
265,23
266,27
267,26
268,23
269,25
270,26
271,26
272,24
273,26
274,24
275,25
276,27
277,21
278,27
279,25
280,20
281,20
282,20
283,24
284,23
285,25
286,25
287,24
288,21
289,24
290,19
291,22
292,23
293,25
294,24
295,21
296,22
297,24
298,24
299,21
300,23
301,27
302,23
303,22
304,24
305,19
306,23
307,26
308,26
309,23
310,22
311,23
312,23
313,30
314,26
315,24
316,24
317,27
318,27
319,25
320,26
321,23
322,25
323,24
324,25
325,23
326,23
327,26
328,25
329,23
330,25
331,25
332,23
333,18
334,21
335,26
336,26
337,26
338,22
339,23
340,24
341,21
342,25
343,23
344,23
345,26
346,24
347,22
348,24
349,21
350,22
351,22
352,23
353,24
354,25
355,24
356,22
357,21
358,23
359,24
360,25
361,26
362,25
363,26
364,26
365,27
366,21
367,23
368,24
369,26
370,20
371,22
372,21
373,25
374,26
375,22
376,26
377,26
378,25
379,24
380,26
381,25
382,19
383,24
384,24
385,25
386,26
387,25
388,25
389,25
390,28
391,27
392,23
393,25
394,19
395,26
396,25
397,26
398,26
399,27
400,25
401,26
402,25
403,21
404,25
405,26
406,24
407,21
408,26
409,24
410,22
411,25
412,22
413,25
414,24
415,25
416,23
417,24
418,23
419,23
420,21
421,21
422,21
423,24
424,27
425,26
426,25
427,24
428,27
429,25
430,26
431,25
432,22
433,24
434,26
435,23
436,26
437,27
438,22
439,23
440,26
441,23
442,25
443,26
444,23
445,27
446,25
447,24
448,23
449,24
450,23
451,23
452,25
453,23
454,27
455,26
456,27
457,24
458,24
459,20
460,22
461,24
462,24
463,28
464,24
465,25
466,26
467,24
468,27
469,26
470,25
471,23
472,23
473,20
474,22
475,23
476,20
477,28
478,27
479,26
480,27
481,28
482,22
483,21
484,24
485,25
486,24
487,23
488,26
489,26
490,23
491,23
492,27
493,24
494,23
495,24
496,22
497,23
498,27
499,25
500,26
501,24
502,21
503,23
504,26
505,24
506,21
507,26
508,26
509,22
510,28
511,23
512,27
513,27
514,26
515,22
516,25
517,21
518,24
519,26
520,27
521,21
522,24
523,24
524,26
525,22
526,25
527,21
528,21
529,24
530,27
531,25
532,25
533,25
534,25
535,26
536,26
537,23
538,22
539,26
540,25
541,27
542,23
543,25
544,24
545,25
546,24
547,21
548,23
549,25
550,25
551,22
552,24
553,23
554,25
555,20
556,23
557,20
558,25
559,22
560,26
561,22
562,25
563,22
564,21
565,25
566,26
567,24
568,19
569,22
570,23
571,24
572,23
573,25
574,25
575,24
576,24
577,24
578,23
579,24
580,25
581,20
582,19
583,21
584,20
585,26
586,25
587,24
588,25
589,26
590,27
591,23
592,23
593,27
594,26
595,22
596,25
597,21
598,20
599,23
600,24
601,22
602,23
603,23
604,23
605,25
606,25
607,22
608,25
609,21
610,24
611,25
612,21
613,23
614,25
615,23
616,24
617,23
618,22
619,21
620,23
621,21
622,23
623,22
624,27
625,25
626,24
627,24
628,19
629,26
630,21
631,26
632,25
633,26
634,25
635,25
636,25
637,26
638,23
639,21
640,22
641,23
642,25
643,22
644,23
645,26
646,23
647,21
648,24
649,28
650,21
651,24
652,28
653,24
654,24
655,25
656,24
657,24
658,23
659,20
660,26
661,25
662,21
663,23
664,24
665,25
666,23
667,17
668,22
669,23
670,26
671,23
672,28
673,27
674,23
675,27
676,24
677,26
678,24
679,20
680,25
681,23
682,21
683,21
684,27
685,23
686,25
687,24
688,24
689,23
690,21
691,21
692,21
693,24
694,23
695,20
696,26
697,24
698,25
699,21
700,24
701,26
702,25
703,23
704,21
705,24
706,22
707,20
708,24
709,24
710,23
711,23
712,20
713,21
714,26
715,19
716,22
717,26
