generation,unique_ids
0,30
1,25
2,27
3,25
4,24
5,27
6,27
7,24
8,27
9,26
10,26
11,25
12,21
13,25
14,23
15,25
16,30
17,26
18,27
19,27
20,25
21,23
22,27
23,28
24,25
25,25
26,26
27,27
28,27
29,27
30,27
31,28
32,26
33,27
34,23
35,27
36,24
37,27
38,27
39,28
40,28
41,27
42,24
43,29
44,27
45,27
46,27
47,27
48,25
49,27
50,26
51,23
52,24
53,26
54,29
55,29
56,26
57,25
58,27
59,25
60,28
61,29
62,26
63,25
64,26
65,27
66,27
67,24
68,24
69,24
70,21
71,25
72,29
73,27
74,29
75,25
76,22
77,26
78,25
79,26
80,26
81,28
82,27
83,27
84,26
85,27
86,26
87,24
88,26
89,28
90,28
91,27
92,26
93,24
94,26
95,27
96,29
97,28
98,26
99,27
100,25
101,26
102,25
103,28
104,28
105,26
106,22
107,27
108,26
109,25
110,26
111,25
112,27
113,25
114,25
115,26
116,25
117,28
118,25
119,25
120,27
121,28
122,26
123,26
124,26
125,26
126,25
127,25
128,28
129,27
130,25
131,26
132,27
133,26
134,23
135,24
136,28
137,28
138,29
139,25
140,27
141,28
142,26
143,28
144,26
145,27
146,25
147,28
148,25
149,21
150,26
151,29
152,28
153,28
154,29
155,26
156,27
157,28
158,28
159,28
160,25
161,26
162,25
163,28
164,28
165,25
166,25
167,25
168,25
169,27
170,27
171,25
172,29
173,25
174,26
175,26
176,25
177,27
178,28
179,27
180,26
181,26
182,25
183,22
184,27
185,24
186,25
187,25
188,25
189,27
190,24
191,25
192,29
193,26
194,24
195,25
196,26
197,29
198,27
199,26
200,26
201,26
202,28
203,25
204,25
205,25
206,25
207,26
208,27
209,22
210,26
211,22
212,26
213,28
214,30
215,25
216,26
217,28
218,28
219,28
220,26
221,27
222,25
223,22
224,27
225,25
226,25
227,23
228,28
229,26
230,27
231,23
232,25
233,27
234,28
235,26
236,23
237,26
238,25
239,26
240,26
241,25
242,25
243,28
244,26
245,29
246,28
247,28
248,27
249,27
250,27
251,29
252,27
253,26
254,26
255,26
256,27
257,25
258,29
259,27
260,24
261,25
262,28
263,26
264,23
265,27
266,26
267,24
268,26
269,28
270,28
271,26
272,25
273,29
274,27
275,26
276,23
277,27
278,25
279,25
280,26
281,24
282,25
283,22
284,27
285,28
286,24
287,25
288,26
289,25
290,25
291,24
292,25
293,26
294,27
295,28
296,25
297,25
298,24
299,28
300,26
301,27
302,26
303,27
304,28
305,26
306,27
307,24
308,26
309,27
310,28
311,25
312,26
313,26
314,27
315,30
316,23
317,27
318,28
319,26
320,29
321,28
322,28
323,29
324,23
325,25
326,24
327,24
328,27
329,28
330,28
331,25
332,23
333,26
334,25
335,25
336,27
337,23
338,24
339,26
340,29
341,24
342,29
343,26
344,28
345,26
346,26
347,25
348,26
349,26
350,28
351,25
352,29
353,23
354,25
355,24
356,24
357,24
358,25
359,29
360,25
361,24
362,24
363,25
364,27
365,26
366,26
367,28
368,27
369,25
370,28
371,26
372,27
373,28
374,23
375,26
376,28
377,27
378,27
379,25
380,25
381,27
382,26
383,27
384,29
385,25
386,25
387,26
388,24
389,25
390,22
391,22
392,25
393,30
394,24
395,27
396,26
397,28
398,26
399,29
400,26
401,27
402,22
403,26
404,26
405,26
406,22
407,27
408,27
409,27
410,26
411,28
412,24
413,24
414,25
415,26
416,27
417,26
418,29
419,27
420,28
421,24
422,28
423,25
424,27
425,28
426,25
427,26
428,29
429,24
430,27
431,27
432,29
433,27
434,22
435,24
436,26
437,24
438,25
439,24
440,26
441,25
442,28
443,27
444,25
445,25
446,28
447,27
448,28
449,26
450,28
451,26
452,26
453,27
454,27
455,29
456,26
457,27
458,28
459,24
460,26
461,22
462,22
463,28
464,26
465,24
466,25
467,26
468,26
469,24
470,26
471,26
472,25
473,29
474,23
475,25
476,23
477,28
478,25
479,24
480,27
481,23
482,25
483,23
484,24
485,22
486,27
487,22
488,29
489,26
490,27
491,26
492,27
493,24
494,27
495,27
496,25
497,26
498,25
499,27
500,28
501,25
502,27
503,22
504,27
505,25
506,24
507,18
508,28
509,26
510,26
511,28
512,25
513,27
514,23
515,25
516,29
517,25
518,25
519,28
520,28
521,24
522,26
523,25
524,23
525,25
526,30
527,28
528,26
529,23
530,23
531,27
532,26
533,26
534,29
535,25
536,26
537,26
538,22
539,27
540,24
541,23
542,29
543,26
544,26
545,27
546,29
547,24
548,27
549,26
550,27
551,27
552,25
553,25
554,27
555,27
556,26
557,27
558,27
559,28
560,25
561,26
562,26
563,28
564,26
565,25
566,26
567,26
568,27
569,24
570,29
571,26
572,22
573,27
574,24
575,27
576,24
577,27
578,24
579,27
580,25
581,21
582,29
583,24
584,28
585,25
586,26
587,28
588,28
589,27
590,27
591,23
592,26
593,25
594,27
595,28
596,24
597,25
598,27
599,25
600,26
601,24
602,26
603,27
604,28
605,24
606,26
