objective_value,generation,evaluations
-0.12333286679903388,0,30
-0.25427864380345466,1,112
-0.4784765391158439,2,196
-0.662981139800398,3,290
-0.7817904698049714,4,368
-0.9495103389262656,5,464
-0.9587130834200712,6,543
-1.0137890204391964,7,621
-1.0137890204391964,8,679
-1.0137890204391964,9,761
-1.0270679370459515,10,829
-1.0270679370459515,11,913
-1.0314872586098995,12,988
-1.0314872586098995,13,1060
-1.0314872586098995,14,1146
-1.0314872586098995,15,1226
-1.0314872586098995,16,1300
-1.0314872586098995,17,1389
-1.0314872586098995,18,1470
-1.0314872586098995,19,1548
-1.0314872586098995,20,1635
-1.0314872586098995,21,1731
-1.0314872586098995,22,1805
-1.0314872586098995,23,1887
-1.0314872586098995,24,1978
-1.0316134471776661,25,2060
-1.0316134471776661,26,2140
-1.0316134471776661,27,2220
-1.0316134471776661,28,2312
-1.0316134471776661,29,2389
-1.0316134471776661,30,2472
-1.0316134471776661,31,2542
-1.0316134471776661,32,2625
-1.0316134471776661,33,2716
-1.0316134471776661,34,2786
-1.0316134471776661,35,2879
-1.0316134471776661,36,2953
-1.0316134471776661,37,3026
-1.0316134471776661,38,3116
-1.0316134471776661,39,3203
-1.0316134471776661,40,3299
-1.0316134471776661,41,3387
-1.0316134471776661,42,3465
-1.0316134471776661,43,3553
-1.0316134471776661,44,3635
-1.0316134471776661,45,3705
-1.0316134471776661,46,3781
-1.0316134471776661,47,3865
-1.0316134471776661,48,3953
-1.0316134471776661,49,4044
-1.0316134471776661,50,4136
-1.0316134471776661,51,4224
-1.0316134471776661,52,4303
-1.0316134471776661,53,4383
-1.0316134471776661,54,4476
-1.0316134471776661,55,4547
-1.0316134471776661,56,4626
-1.0316134471776661,57,4716
-1.0316134471776661,58,4792
-1.0316134471776661,59,4888
-1.0316134471776661,60,4958
-1.0316134471776661,61,5043
-1.0316134471776661,62,5125
-1.0316134471776661,63,5196
-1.0316134471776661,64,5276
-1.0316134471776661,65,5356
-1.0316134471776661,66,5437
-1.0316134471776661,67,5516
-1.031625248262845,68,5600
-1.031625248262845,69,5679
-1.031625248262845,70,5747
-1.031625248262845,71,5844
-1.031625248262845,72,5925
-1.031625248262845,73,5996
-1.031625248262845,74,6078
-1.031625248262845,75,6172
-1.031625248262845,76,6252
-1.031625248262845,77,6344
-1.031625248262845,78,6423
-1.031625248262845,79,6496
-1.031625248262845,80,6572
-1.031625248262845,81,6643
-1.031625248262845,82,6736
-1.031625248262845,83,6794
-1.031625248262845,84,6879
-1.031625248262845,85,6956
-1.031625248262845,86,7038
-1.031625248262845,87,7115
-1.031625248262845,88,7207
-1.031625248262845,89,7290
-1.031625248262845,90,7376
-1.031625248262845,91,7452
-1.031625248262845,92,7539
-1.031625248262845,93,7623
-1.031625248262845,94,7712
-1.031625248262845,95,7799
-1.031625248262845,96,7868
-1.031625248262845,97,7946
-1.031625248262845,98,8016
-1.031625248262845,99,8104
-1.031625248262845,100,8195
-1.031625248262845,101,8281
-1.031625248262845,102,8351
