generation,unique_ids
0,30
1,27
2,23
3,26
4,27
5,27
6,24
7,29
8,23
9,28
10,25
11,25
12,26
13,25
14,22
15,27
16,27
17,27
18,27
19,27
20,26
21,27
22,28
23,26
24,25
25,24
26,24
27,30
28,26
29,28
30,25
31,28
32,27
33,27
34,25
35,26
36,26
37,27
38,23
39,25
40,26
41,25
42,27
43,25
44,29
45,25
46,24
47,22
48,24
49,25
50,27
51,28
52,25
53,28
54,29
55,28
56,27
57,24
58,27
59,25
60,26
61,28
62,23
63,24
64,24
65,25
66,26
67,26
68,28
69,25
70,26
71,27
72,27
73,28
74,26
75,25
76,29
77,27
78,27
79,26
80,27
81,24
82,28
83,25
84,29
85,28
86,27
87,27
88,25
89,26
90,28
91,26
92,24
93,27
94,25
95,27
96,24
97,27
98,28
99,26
100,27
101,28
102,26
103,25
104,27
105,27
106,27
107,27
108,25
109,27
110,27
111,25
112,26
113,28
114,27
115,28
116,28
117,27
118,28
119,24
120,26
121,29
122,24
123,23
124,25
125,26
126,26
127,27
128,28
129,24
130,21
131,29
132,29
133,27
134,23
135,24
136,26
137,26
138,27
139,24
140,25
141,28
142,28
143,25
144,27
145,25
146,27
147,25
148,26
149,27
150,28
151,26
152,27
153,23
154,24
155,27
156,25
157,26
158,26
159,25
160,24
161,25
162,25
163,26
164,24
165,25
166,25
167,23
168,23
169,25
170,28
171,28
172,27
173,26
174,26
175,28
176,26
177,29
178,27
179,23
180,27
181,25
182,25
183,24
184,24
185,24
186,28
187,26
188,25
189,24
190,24
191,29
192,28
193,23
194,27
195,28
196,25
197,27
198,26
199,27
200,21
201,27
202,26
203,25
204,28
205,25
206,26
207,26
208,26
209,24
210,26
211,26
212,28
213,24
214,25
215,23
216,26
217,26
218,29
219,23
220,25
221,25
222,26
223,26
224,27
225,26
226,24
227,24
228,25
229,25
230,29
231,26
232,27
233,25
234,28
235,29
236,24
237,23
238,26
239,26
240,26
241,26
242,25
243,27
244,26
245,28
246,24
247,27
248,25
249,24
250,28
251,26
252,28
253,26
254,29
255,26
256,24
257,25
258,22
259,22
260,27
261,27
262,24
263,27
264,27
265,26
266,27
267,27
268,27
269,27
270,25
271,28
272,26
273,29
274,25
275,27
276,25
277,28
278,24
279,26
280,26
281,25
282,24
283,26
284,27
285,27
286,26
287,21
288,25
289,25
290,26
291,26
292,25
293,24
294,25
295,25
296,26
297,28
298,28
299,26
300,25
301,24
302,26
303,27
304,26
305,28
306,28
307,25
308,25
309,26
310,26
311,25
312,25
313,26
314,26
315,25
316,25
317,28
318,25
319,25
320,26
321,26
322,25
323,26
324,25
325,25
326,23
327,28
328,27
329,26
330,24
331,23
332,27
333,27
334,24
335,29
336,26
337,24
338,26
339,24
340,27
341,28
342,26
343,28
344,27
345,26
346,28
347,26
348,23
349,28
350,28
351,27
352,27
353,24
354,24
355,28
356,25
357,26
358,26
359,27
360,27
361,25
362,24
363,26
364,28
365,27
366,27
367,26
368,28
369,27
370,28
371,25
372,29
373,28
374,27
375,25
376,26
377,24
378,24
379,26
380,23
381,25
382,27
383,23
384,27
385,28
386,24
387,24
388,26
389,25
390,27
391,27
392,29
393,25
394,26
395,29
396,26
397,24
398,24
399,26
400,28
401,23
402,24
403,27
404,22
405,24
406,25
407,25
408,29
409,26
410,28
411,26
412,27
413,23
414,26
415,28
416,26
417,23
418,26
419,24
420,25
421,27
422,26
423,24
424,24
425,27
426,24
427,26
428,22
429,24
430,28
431,26
432,26
433,30
434,28
435,26
436,24
437,27
438,23
439,27
440,24
441,24
442,23
443,27
444,27
445,26
446,28
447,27
448,25
449,26
450,24
451,23
452,27
453,25
454,23
455,23
456,25
457,24
458,28
459,26
460,22
461,23
462,24
463,24
464,24
465,25
466,24
467,20
468,22
469,29
470,28
471,26
472,28
473,29
474,26
475,27
476,26
477,26
478,25
479,22
480,28
481,26
482,27
483,27
484,28
485,27
486,26
487,28
488,27
489,25
490,23
491,26
492,23
493,26
494,26
495,28
496,27
497,25
498,26
499,27
500,28
501,25
502,24
503,26
504,26
505,28
506,23
507,26
508,29
509,25
510,25
511,27
512,25
513,27
514,26
515,26
516,26
517,25
518,27
519,27
520,24
521,25
522,29
523,29
524,26
525,28
526,25
527,24
528,28
529,25
530,22
531,28
532,28
533,25
534,27
535,27
536,26
537,28
538,26
539,26
540,23
541,28
542,25
543,27
544,24
545,27
546,27
547,26
548,27
549,26
550,28
551,26
552,23
553,27
554,25
555,27
556,22
557,27
558,26
559,28
560,25
561,28
562,29
563,26
564,25
565,25
566,25
567,24
568,28
569,26
570,26
571,25
572,28
573,24
574,25
575,26
576,24
577,25
578,24
579,27
580,28
581,26
582,26
583,25
584,26
585,27
586,26
587,26
588,29
589,24
590,24
591,27
592,28
593,28
594,26
595,26
596,27
597,23
598,25
599,22
600,24
601,26
602,25
603,26
604,23
605,26
606,29
607,28
608,25
609,25
610,29
611,28
612,29
613,27
614,26
615,28
616,26
617,26
618,27
619,25
620,23
621,28
622,25
623,22
