objective_value,generation,evaluations
4844.93688026978,0,30
2940.380202293738,1,76
2902.7506998489016,2,134
2469.099071071489,3,210
2167.785273335299,4,281
2167.785273335299,5,341
361.529693644684,6,406
301.3288197792019,7,477
245.09406664325383,8,561
204.87671339837877,9,636
197.6311928272659,10,691
142.43628004184785,11,761
133.19487688775507,12,837
105.82213163916266,13,923
93.66546423203617,14,1016
93.66546423203617,15,1076
93.66546423203617,16,1159
79.92541090174858,17,1241
41.80220595070976,18,1320
27.901002500229584,19,1411
11.444597992694504,20,1485
11.444597992694504,21,1574
9.482791924424651,22,1666
5.926251291905345,23,1722
5.926251291905345,24,1814
2.164495609169025,25,1899
2.164495609169025,26,1995
2.164495609169025,27,2056
2.164495609169025,28,2126
2.164495609169025,29,2210
2.164495609169025,30,2298
2.164495609169025,31,2384
2.164495609169025,32,2461
2.164495609169025,33,2533
2.164495609169025,34,2610
2.164495609169025,35,2700
2.164495609169025,36,2765
2.164495609169025,37,2859
2.164495609169025,38,2947
2.164495609169025,39,3036
2.164495609169025,40,3119
2.164495609169025,41,3211
2.164495609169025,42,3290
2.164495609169025,43,3384
2.164495609169025,44,3461
2.164495609169025,45,3545
2.164495609169025,46,3625
2.164495609169025,47,3720
2.164495609169025,48,3789
2.164495609169025,49,3870
2.164495609169025,50,3948
2.164495609169025,51,4047
2.164495609169025,52,4139
2.164495609169025,53,4211
2.164495609169025,54,4291
2.164495609169025,55,4383
2.164495609169025,56,4448
2.164495609169025,57,4559
2.164495609169025,58,4640
2.164495609169025,59,4709
2.164495609169025,60,4786
2.164495609169025,61,4876
2.164495609169025,62,4958
2.164495609169025,63,5041
2.164495609169025,64,5135
2.164495609169025,65,5198
2.164495609169025,66,5276
2.164495609169025,67,5344
2.164495609169025,68,5429
2.164495609169025,69,5503
2.164495609169025,70,5582
2.164495609169025,71,5663
2.164495609169025,72,5746
2.164495609169025,73,5845
2.164495609169025,74,5936
2.164495609169025,75,6017
2.164495609169025,76,6114
2.164495609169025,77,6195
2.164495609169025,78,6273
2.164495609169025,79,6370
2.164495609169025,80,6453
2.164495609169025,81,6536
2.164495609169025,82,6616
2.164495609169025,83,6688
2.164495609169025,84,6778
2.164495609169025,85,6856
2.164495609169025,86,6948
2.164495609169025,87,7035
2.164495609169025,88,7120
2.164495609169025,89,7211
2.164495609169025,90,7288
2.164495609169025,91,7364
2.164495609169025,92,7450
2.164495609169025,93,7524
2.164495609169025,94,7617
