objective_value,generation,evaluations
315995.3222807159,0,30
163855.31693524605,1,89
135683.65487303247,2,173
130464.34455226162,3,248
48392.45963242105,4,333
47928.77811595771,5,417
47928.77811595771,6,502
47928.77811595771,7,587
47928.77811595771,8,662
47928.77811595771,9,747
44301.67575796526,10,819
44301.67575796526,11,895
44301.67575796526,12,964
44301.67575796526,13,1048
44301.67575796526,14,1129
44301.67575796526,15,1210
43375.87243169981,16,1298
43375.87243169981,17,1386
43375.87243169981,18,1464
41433.12115128829,19,1564
41433.12115128829,20,1644
41302.70309089305,21,1729
41302.70309089305,22,1813
41302.70309089305,23,1889
40958.17210444213,24,1982
40061.961847827384,25,2070
40061.961847827384,26,2147
39725.89448369723,27,2239
39725.89448369723,28,2330
37540.19261109538,29,2414
37540.19261109538,30,2487
37309.38426903102,31,2576
37309.38426903102,32,2641
37309.38426903102,33,2723
37309.38426903102,34,2795
35402.326373951284,35,2875
35402.326373951284,36,2967
35402.326373951284,37,3049
35402.326373951284,38,3136
35402.326373951284,39,3220
35402.326373951284,40,3306
34962.32843857233,41,3384
34483.93117241885,42,3472
34320.764000370975,43,3553
34320.764000370975,44,3639
34320.764000370975,45,3721
34320.764000370975,46,3798
34320.764000370975,47,3877
33638.36164782741,48,3971
33289.03156271976,49,4046
33289.03156271976,50,4122
33289.03156271976,51,4205
33031.027172242335,52,4293
33031.027172242335,53,4375
33031.027172242335,54,4454
33031.027172242335,55,4530
33031.027172242335,56,4605
32292.608201929528,57,4680
32292.608201929528,58,4765
32292.608201929528,59,4855
31668.103234403152,60,4942
30626.85304193525,61,5025
30626.85304193525,62,5116
30626.85304193525,63,5197
30626.85304193525,64,5285
30626.85304193525,65,5391
29229.875996530525,66,5478
29229.875996530525,67,5567
29229.875996530525,68,5639
29229.875996530525,69,5709
29229.875996530525,70,5789
29229.875996530525,71,5875
29229.875996530525,72,5971
27847.23771796499,73,6054
27847.23771796499,74,6157
27847.23771796499,75,6236
27324.432748209212,76,6309
27324.432748209212,77,6389
26010.55410575949,78,6472
26010.55410575949,79,6556
25652.6761645168,80,6654
25652.6761645168,81,6736
25652.6761645168,82,6821
25652.6761645168,83,6907
25498.80655922657,84,6990
24903.153097660375,85,7080
24903.153097660375,86,7160
24675.527257528043,87,7250
24675.527257528043,88,7327
24675.527257528043,89,7415
23517.17641124126,90,7499
23517.17641124126,91,7587
23083.003790499188,92,7673
21129.819950304493,93,7761
21129.819950304493,94,7855
21129.819950304493,95,7929
21129.819950304493,96,8021
21129.819950304493,97,8093
21129.819950304493,98,8190
20325.050822281002,99,8257
20325.050822281002,100,8350
20325.050822281002,101,8440
20325.050822281002,102,8523
20325.050822281002,103,8593
20325.050822281002,104,8663
19430.075467475323,105,8747
19430.075467475323,106,8833
19430.075467475323,107,8899
19421.16219211998,108,8975
18657.07270273318,109,9058
18657.07270273318,110,9160
18297.69304376612,111,9254
18024.281772232567,112,9357
18024.281772232567,113,9448
17617.36388197011,114,9531
17617.36388197011,115,9593
17515.289306976592,116,9680
17515.289306976592,117,9771
17515.289306976592,118,9847
17515.289306976592,119,9935
17515.289306976592,120,10010
17515.289306976592,121,10091
17440.041100147166,122,10163
17440.041100147166,123,10250
17440.041100147166,124,10349
16813.606546730185,125,10433
16762.600514097026,126,10514
16724.054442594454,127,10590
16724.054442594454,128,10666
16724.054442594454,129,10749
16724.054442594454,130,10831
16724.054442594454,131,10924
15478.352563494553,132,11012
15478.352563494553,133,11103
15256.410070370595,134,11197
15256.410070370595,135,11272
15256.410070370595,136,11359
15240.53426371782,137,11439
15240.53426371782,138,11518
15240.53426371782,139,11605
15240.53426371782,140,11682
15240.53426371782,141,11773
14557.245593738106,142,11856
14557.245593738106,143,11932
13399.420092166722,144,12021
13399.420092166722,145,12115
13399.420092166722,146,12192
13399.420092166722,147,12269
11213.349038669492,148,12344
11213.349038669492,149,12433
11213.349038669492,150,12533
11213.349038669492,151,12610
11213.349038669492,152,12699
11213.349038669492,153,12775
11213.349038669492,154,12864
11213.349038669492,155,12943
10888.008222698838,156,13028
10888.008222698838,157,13116
10888.008222698838,158,13201
10888.008222698838,159,13278
10888.008222698838,160,13360
10189.348197540565,161,13455
10189.348197540565,162,13533
10189.348197540565,163,13626
10189.348197540565,164,13703
9809.817332151943,165,13782
9809.817332151943,166,13859
9809.817332151943,167,13933
9809.817332151943,168,14004
9809.817332151943,169,14072
9457.324265952013,170,14169
9457.324265952013,171,14254
9457.324265952013,172,14328
8636.1204242426,173,14425
8636.1204242426,174,14514
8546.474597892853,175,14600
8534.394858557824,176,14689
7897.124149831262,177,14773
7897.124149831262,178,14857
7897.124149831262,179,14933
7897.124149831262,180,15022
7800.963824933884,181,15105
7800.963824933884,182,15203
7800.963824933884,183,15292
7800.963824933884,184,15367
7145.130323471873,185,15448
7145.130323471873,186,15544
7145.130323471873,187,15619
7145.130323471873,188,15709
7145.130323471873,189,15793
7145.130323471873,190,15872
6957.822616886447,191,15955
6957.822616886447,192,16035
6376.2113076881915,193,16115
6376.2113076881915,194,16203
6376.2113076881915,195,16275
6376.2113076881915,196,16350
6376.2113076881915,197,16444
6376.2113076881915,198,16529
6009.643734119239,199,16609
6009.643734119239,200,16704
6009.643734119239,201,16759
6009.643734119239,202,16855
5636.768482682518,203,16936
5636.768482682518,204,17024
5636.768482682518,205,17127
5636.768482682518,206,17206
5636.768482682518,207,17283
5636.768482682518,208,17367
5636.768482682518,209,17426
5360.602233904611,210,17513
5360.602233904611,211,17594
5360.602233904611,212,17677
5360.602233904611,213,17761
5360.602233904611,214,17828
4153.797746546432,215,17913
3810.3183579019264,216,17994
3810.3183579019264,217,18064
3810.3183579019264,218,18146
3810.3183579019264,219,18219
3810.3183579019264,220,18304
3716.1888732061566,221,18388
3716.1888732061566,222,18470
3716.1888732061566,223,18544
3219.4473795867248,224,18624
3219.4473795867248,225,18710
3219.4473795867248,226,18784
3219.4473795867248,227,18864
3219.4473795867248,228,18956
3219.4473795867248,229,19034
3219.4473795867248,230,19113
