generation,unique_ids
0,30
1,24
2,23
3,23
4,29
5,28
6,26
7,27
8,30
9,26
10,26
11,26
12,25
13,25
14,25
15,25
16,26
17,24
18,24
19,25
20,25
21,30
22,26
23,26
24,25
25,28
26,29
27,26
28,27
29,29
30,24
31,25
32,27
33,27
34,28
35,26
36,26
37,26
38,26
39,25
40,25
41,26
42,27
43,27
44,25
45,28
46,26
47,25
48,26
49,27
50,27
51,28
52,25
53,29
54,28
55,26
56,26
57,27
58,25
59,25
60,24
61,23
62,25
63,26
64,25
65,28
66,28
67,25
68,25
69,27
70,25
71,23
72,25
73,26
74,28
75,25
76,28
77,25
78,28
79,26
80,28
81,27
82,26
83,26
84,26
85,23
86,28
87,28
88,27
89,27
90,26
91,24
92,26
93,25
94,25
95,25
96,24
97,27
98,29
99,25
100,27
101,28
102,25
103,27
104,26
105,29
106,24
107,24
108,25
109,25
110,24
111,29
112,29
113,27
114,29
115,25
116,27
117,25
118,25
119,26
120,29
121,24
122,26
123,27
124,27
125,25
126,26
127,20
128,24
129,24
130,28
131,27
132,27
133,24
134,27
135,27
136,26
137,28
138,30
139,24
140,26
141,27
142,26
143,27
144,26
145,28
146,26
147,26
148,28
149,25
150,26
151,27
152,26
153,24
154,23
155,26
156,28
157,27
158,26
159,25
160,27
161,28
162,26
163,28
164,26
165,27
166,24
167,25
168,27
169,23
170,26
171,24
172,26
173,29
174,26
175,28
176,23
177,29
178,26
179,26
180,27
181,25
182,25
183,27
184,27
185,29
186,23
187,28
188,28
189,25
190,26
191,25
192,26
193,25
194,26
195,29
196,26
197,26
198,26
199,24
200,29
201,28
202,26
203,25
204,28
205,24
206,24
207,27
208,25
209,27
210,26
211,26
212,25
213,27
214,27
215,29
216,24
217,26
218,26
219,28
220,27
221,26
222,26
223,25
224,24
225,26
226,26
227,23
228,24
229,23
230,20
231,24
232,24
233,23
234,28
235,26
236,25
237,28
238,28
239,29
240,26
241,26
242,26
243,27
244,24
245,27
246,26
247,27
248,27
249,26
250,26
251,26
252,26
253,30
254,27
255,25
256,24
257,26
258,27
259,27
260,25
261,25
262,27
263,28
264,25
265,24
266,25
267,28
268,25
269,23
270,29
271,26
272,23
273,25
274,29
275,27
276,22
277,28
278,25
279,25
280,27
281,27
282,26
283,23
284,23
285,26
286,26
287,26
288,29
289,26
290,27
291,29
292,28
293,25
294,26
295,25
296,24
297,27
298,26
299,27
300,28
301,24
302,24
303,25
304,24
305,29
306,25
307,29
308,26
309,26
310,29
311,27
312,26
313,22
314,26
315,26
316,22
317,21
318,25
319,28
320,23
321,23
322,26
323,27
324,26
325,27
326,28
327,27
328,23
329,25
330,24
331,26
332,22
333,28
334,27
335,29
336,27
337,26
338,26
339,24
340,24
341,25
342,25
343,26
344,28
345,25
346,25
347,23
348,26
349,27
350,27
351,27
352,23
353,27
354,28
355,27
356,26
357,27
358,26
359,29
360,29
361,26
362,25
363,24
364,26
365,26
366,27
367,25
368,27
369,26
370,24
371,27
372,26
373,25
374,27
375,27
376,25
377,25
378,27
379,26
380,27
381,25
382,26
383,26
384,26
385,25
386,26
387,26
388,29
389,27
390,21
391,22
392,26
393,25
394,26
395,26
396,29
397,24
398,27
399,27
400,23
401,26
402,25
403,29
404,26
405,25
406,28
407,26
408,26
409,24
410,28
411,28
412,29
413,26
414,26
415,29
416,28
417,25
418,27
419,27
420,26
421,29
422,26
423,27
424,25
425,28
426,27
427,26
428,25
429,26
430,27
431,25
432,25
433,23
434,24
435,23
436,24
437,24
438,24
439,26
440,26
441,28
442,27
443,25
444,25
445,28
446,28
447,28
448,27
449,22
450,26
451,25
452,28
453,25
454,27
455,26
456,24
457,29
458,28
459,25
460,23
461,25
462,28
463,27
464,27
465,26
466,26
467,27
468,26
469,28
470,24
471,26
472,25
473,24
474,28
475,30
476,28
477,27
478,26
479,27
480,25
481,27
482,26
483,24
484,26
485,25
486,27
487,29
488,26
489,26
490,27
491,26
492,26
493,25
494,29
495,26
496,27
497,26
498,26
499,25
500,26
501,21
502,26
503,28
504,26
505,25
506,27
507,25
508,27
509,24
510,27
511,25
512,25
513,27
514,25
515,23
516,25
517,25
518,24
519,28
520,27
521,27
522,23
523,29
524,25
525,27
526,26
527,26
528,24
529,26
530,25
531,25
532,24
533,25
534,28
535,24
536,27
537,26
538,26
539,23
540,24
541,27
542,26
543,25
544,27
545,28
546,28
547,25
548,27
549,26
550,27
551,27
552,25
553,24
554,26
555,25
556,25
557,27
558,23
559,26
560,23
561,24
562,25
563,26
564,27
565,25
566,27
567,28
568,27
569,26
570,27
571,26
572,26
573,27
574,27
575,27
576,24
577,23
578,26
579,25
580,25
581,26
582,28
583,27
584,28
585,24
586,25
587,27
588,25
589,25
590,29
591,26
592,28
593,24
594,26
595,23
596,27
597,27
