generation,unique_ids
0,30
1,18
2,15
3,13
4,11
5,9
6,6
7,10
8,6
9,6
10,10
11,9
12,8
13,9
14,6
15,5
16,7
17,6
18,5
19,5
20,6
21,7
22,6
23,6
24,5
25,1
26,3
27,4
28,7
29,8
30,9
31,5
32,8
33,5
34,3
35,4
36,4
37,4
38,3
39,6
40,3
41,10
42,8
43,9
44,7
45,5
46,5
47,7
48,4
49,6
50,4
51,4
52,7
53,7
54,7
55,3
56,3
57,4
58,5
59,5
60,8
61,3
62,5
63,4
64,3
65,4
66,4
67,4
68,2
69,6
70,7
71,8
72,5
73,6
74,6
75,6
76,5
77,6
78,2
79,3
80,3
81,2
82,5
83,6
84,4
85,5
86,5
87,3
88,2
89,5
90,4
91,4
92,3
93,6
94,5
95,7
96,6
97,4
98,7
99,4
100,6
101,7
102,7
103,9
104,9
105,8
106,5
107,7
108,3
109,3
110,5
111,2
112,3
113,6
114,8
115,10
116,12
117,6
118,5
119,5
120,5
121,6
122,5
123,8
124,8
125,8
126,6
127,8
128,5
129,6
130,8
131,6
132,9
133,6
134,4
135,3
136,7
137,8
138,4
139,8
140,7
141,5
142,5
143,4
144,5
145,5
146,3
147,3
148,7
149,9
150,5
151,5
152,4
153,8
154,6
155,11
156,8
157,7
158,4
159,7
160,8
161,7
162,3
163,4
164,8
165,6
166,3
167,8
168,9
169,4
170,6
171,4
172,8
173,2
174,1
175,3
176,5
177,6
178,8
179,4
180,4
181,4
182,5
183,5
184,3
185,5
186,8
187,6
188,3
189,4
190,6
191,5
192,6
193,6
194,5
195,3
196,4
197,5
198,4
199,5
200,4
201,6
202,10
203,8
204,7
205,2
206,4
207,6
208,4
209,3
210,4
211,6
212,8
213,5
214,4
215,9
216,6
217,7
218,5
219,9
220,9
221,6
222,5
223,5
224,7
225,6
226,9
227,6
228,5
229,3
230,6
231,3
232,4
233,5
234,3
235,4
236,6
237,6
238,3
239,6
240,8
241,8
242,8
243,7
244,3
245,5
246,4
247,4
248,3
249,7
250,5
251,6
252,6
253,8
254,7
255,3
256,5
257,7
258,9
259,7
260,5
261,6
262,3
263,8
264,7
265,8
266,8
267,4
268,6
269,5
270,5
271,3
272,5
273,4
274,2
275,4
276,5
277,7
278,6
279,5
280,3
281,4
282,9
283,3
284,7
285,4
286,4
287,6
288,2
289,6
290,6
291,4
292,5
293,3
294,9
295,8
296,5
297,7
298,1
299,2
300,4
301,6
302,5
303,5
304,7
305,2
306,9
307,7
308,3
309,5
310,7
311,7
312,8
313,7
314,6
315,4
316,4
317,3
318,5
319,5
320,4
321,7
322,7
323,5
324,4
325,3
326,5
327,4
328,3
329,6
330,3
331,4
332,5
333,4
334,4
335,5
336,4
337,3
338,2
339,3
340,5
341,5
342,4
343,4
344,6
345,7
346,4
347,10
348,6
349,7
350,6
351,7
352,7
353,5
354,3
355,3
356,4
357,5
358,3
359,5
360,7
361,7
362,8
363,5
364,7
365,5
366,3
367,3
368,9
369,7
370,6
371,6
372,5
373,6
374,4
375,7
376,4
377,5
378,3
379,4
380,4
381,5
382,3
383,3
384,3
385,5
386,2
387,8
388,8
389,6
390,5
391,6
392,6
393,4
394,4
395,6
396,6
397,4
398,5
399,8
400,10
401,7
402,9
403,6
404,6
405,4
406,7
407,4
408,6
409,7
410,3
411,6
412,5
413,5
414,6
415,8
416,4
417,8
418,4
419,6
420,7
421,6
422,5
423,7
424,5
425,4
426,3
427,4
428,4
429,3
430,7
431,5
432,4
433,2
434,8
435,11
436,4
437,2
438,7
439,8
440,7
441,6
442,2
443,1
444,2
445,6
446,8
447,7
448,5
449,6
450,4
451,4
452,6
453,2
454,6
455,3
456,4
457,4
458,3
459,3
460,6
461,5
462,4
463,5
464,7
465,6
466,7
467,8
468,4
469,5
470,7
471,3
472,3
473,3
474,5
475,4
476,6
477,6
478,6
479,6
480,8
481,5
482,5
483,8
484,5
485,5
486,7
487,7
488,4
489,6
490,5
491,1
492,1
493,1
494,1
495,2
496,5
497,2
498,5
499,4
500,5
501,7
502,8
503,7
504,5
505,7
506,6
507,4
508,3
509,6
510,4
511,6
512,5
513,3
514,2
515,3
516,8
517,9
518,6
519,6
520,6
521,3
522,6
523,5
524,5
525,4
526,4
527,5
528,7
529,6
530,7
531,4
532,3
533,6
534,5
535,5
536,8
537,7
538,6
539,5
540,4
541,7
542,2
543,2
544,2
545,5
546,6
547,7
548,3
549,6
550,7
551,6
552,6
553,4
554,5
555,4
556,3
557,5
558,4
559,4
560,1
561,3
562,5
563,5
564,6
565,5
566,5
567,3
568,4
569,5
570,4
571,3
572,4
573,6
574,3
575,6
576,6
577,7
578,3
579,8
580,4
581,4
582,4
583,6
584,4
585,8
586,4
587,5
588,8
589,3
590,6
591,8
592,5
593,3
594,1
595,1
596,1
597,4
598,4
599,4
600,5
601,4
602,3
603,4
604,2
605,5
606,7
607,8
608,3
609,5
610,5
611,7
612,4
613,7
614,5
615,4
616,5
617,5
618,5
619,3
