generation,unique_ids
0,30
1,21
2,20
3,16
4,12
5,11
6,14
7,13
8,8
9,9
10,9
11,6
12,2
13,4
14,7
15,5
16,3
17,5
18,6
19,7
20,8
21,9
22,9
23,9
24,11
25,8
26,10
27,7
28,10
29,12
30,6
31,8
32,6
33,4
34,4
35,6
36,6
37,5
38,6
39,7
40,9
41,7
42,6
43,11
44,4
45,4
46,3
47,5
48,8
49,6
50,6
51,6
52,4
53,5
54,3
55,7
56,7
57,6
58,7
59,8
60,8
61,9
62,6
63,5
64,6
65,6
66,7
67,6
68,4
69,4
70,5
71,6
72,6
73,7
74,4
75,6
76,8
77,8
78,8
79,8
80,3
81,7
82,6
83,4
84,6
85,6
86,8
87,7
88,10
89,12
90,11
91,7
92,5
93,3
94,3
95,2
96,9
97,6
98,6
99,5
100,5
101,7
102,5
103,6
104,8
105,5
106,4
107,7
108,6
109,5
110,4
111,8
112,9
113,7
114,6
115,7
116,6
117,8
118,5
119,4
120,5
121,2
122,5
123,7
124,7
125,7
126,5
127,7
128,2
129,6
130,7
131,4
132,7
133,4
134,7
135,7
136,8
137,5
138,3
139,4
140,6
141,7
142,7
143,5
144,3
145,9
146,7
147,7
148,4
149,6
150,6
151,5
152,6
153,5
154,7
155,5
156,5
157,4
158,7
159,3
160,6
161,4
162,2
163,7
164,5
165,5
166,10
167,9
168,8
169,6
170,4
171,4
172,6
173,7
174,8
175,6
176,8
177,5
178,4
179,4
180,5
181,5
182,7
183,8
184,7
185,6
186,7
187,6
188,4
189,3
190,7
191,7
192,5
193,4
194,4
195,5
196,5
197,7
198,7
199,6
200,4
201,6
202,8
203,8
204,8
205,4
206,6
207,3
208,5
209,6
210,4
211,4
212,7
213,7
214,6
215,7
216,6
217,5
218,5
219,5
220,6
221,5
222,5
223,9
224,6
225,5
226,8
227,8
228,6
229,8
230,9
231,9
232,10
233,7
234,8
235,4
236,6
237,7
238,5
239,5
240,5
241,5
242,6
243,4
244,2
245,5
246,4
247,6
248,14
249,5
250,12
251,12
252,5
253,3
254,8
255,6
256,10
257,6
258,5
259,7
260,6
261,8
262,7
263,8
264,6
265,7
266,6
267,4
268,3
269,5
270,5
271,6
272,4
273,6
274,5
275,9
276,2
277,5
278,5
279,6
280,8
281,9
282,10
283,5
284,5
285,7
286,10
287,7
288,6
289,6
290,6
291,5
292,6
293,3
294,3
295,5
296,5
297,6
298,10
299,10
300,9
301,9
302,9
303,10
304,4
305,6
306,4
307,5
308,4
309,6
310,7
311,5
312,5
313,7
314,7
315,12
316,7
317,6
318,7
319,9
320,8
321,8
322,6
323,6
324,4
325,4
326,8
327,7
328,7
329,11
330,7
331,7
332,6
333,5
334,6
335,6
336,6
337,5
338,10
339,10
340,8
341,6
342,4
343,4
344,5
345,4
346,3
347,5
348,5
349,8
350,4
351,6
352,5
353,5
354,3
355,6
356,3
357,7
358,6
359,4
360,6
361,6
362,3
363,4
364,5
365,10
366,8
367,5
368,7
369,4
370,7
371,6
372,6
373,8
374,11
375,10
376,8
377,4
378,5
379,6
380,5
381,5
382,9
383,7
384,5
385,4
386,8
387,8
388,10
389,9
390,3
391,8
392,6
393,5
394,4
395,7
396,4
397,6
398,8
399,4
400,7
401,4
402,4
403,5
404,5
405,8
406,7
407,6
408,9
409,8
410,6
411,12
412,4
413,4
414,4
415,7
416,8
417,5
418,6
419,7
420,7
421,6
422,9
423,10
424,7
425,6
426,8
427,12
428,7
429,8
430,10
431,10
432,4
433,2
434,5
435,7
436,7
437,10
438,9
439,4
440,7
441,8
442,1
443,1
444,1
445,1
446,1
447,2
448,7
449,9
450,9
451,7
452,7
453,8
454,8
455,7
456,5
457,7
458,6
459,4
460,3
461,4
462,8
463,6
464,5
465,3
466,4
467,6
468,2
469,9
470,6
471,6
472,5
473,8
474,8
475,9
476,11
477,9
478,5
479,7
480,3
481,3
482,7
483,6
484,8
485,4
486,3
487,1
488,2
489,5
490,7
491,5
492,7
493,5
494,6
495,5
496,6
497,5
498,5
499,4
500,4
501,6
502,4
503,6
504,5
505,3
506,4
507,4
508,4
509,6
510,2
511,5
512,3
513,2
514,10
515,7
516,4
517,4
518,5
519,8
520,6
521,9
522,5
523,4
524,4
525,7
526,7
527,7
528,7
529,7
530,5
531,9
532,6
533,6
534,7
535,6
536,4
537,4
538,8
539,4
540,4
541,4
542,5
543,6
544,6
545,7
546,6
547,8
548,11
549,11
550,8
551,8
552,9
553,7
554,5
555,3
556,6
557,5
558,5
559,3
560,7
561,5
562,6
563,6
564,7
565,7
566,6
567,3
568,5
569,8
570,8
571,4
572,7
573,5
574,6
575,6
576,6
577,4
578,5
579,7
580,8
581,6
582,6
583,6
584,6
585,4
586,4
587,4
588,4
589,4
590,9
591,5
592,6
593,8
594,8
