objective_value,generation,evaluations
2797583330.767475,0,30
2766450307.9127097,1,97
2710204568.747855,2,180
2698556583.686423,3,244
2624480035.641385,4,316
2566815393.919675,5,373
2479010594.667087,6,447
2449628684.9600825,7,494
2273865588.159134,8,559
2224523293.050176,9,607
2135546652.476438,10,686
2066962696.4942374,11,731
2048702789.6273103,12,797
1992836041.9051054,13,860
1992836041.9051054,14,910
1969628692.9641194,15,961
1815920756.8827684,16,1030
1786070233.991976,17,1062
1743453186.6439242,18,1121
1721638711.2693229,19,1164
1717014067.508509,20,1213
1686090992.3406334,21,1288
1674518946.9064233,22,1332
1635556007.9025357,23,1402
1596960468.5103421,24,1481
1552431954.769506,25,1550
1552431954.769506,26,1607
1536309554.4496193,27,1696
1458725246.7371466,28,1748
1458725246.7371466,29,1781
1413892522.0238733,30,1849
1406356606.0550578,31,1886
1360300645.4427922,32,1948
1343583757.2311711,33,1998
1315472153.452981,34,2072
1295705612.447917,35,2125
1208411051.508796,36,2202
1181319339.5418513,37,2249
1160735227.1623428,38,2329
1132983303.0553432,39,2390
1104480811.2382953,40,2454
1077883152.1627605,41,2496
1077883152.1627605,42,2547
1057437293.4439194,43,2633
1045854962.4365541,44,2670
1034368751.3397506,45,2748
1027881415.6470432,46,2806
968867668.8698294,47,2876
944234888.1355627,48,2915
923387534.1951162,49,2982
884214759.104963,50,3034
866904569.647065,51,3078
807260309.4172227,52,3148
807260309.4172227,53,3206
796557338.5373122,54,3271
741285226.4116666,55,3354
717782598.2693845,56,3401
705954639.3728878,57,3467
692984145.509036,58,3523
692127342.9685316,59,3618
679155323.1789773,60,3676
668529733.4643264,61,3738
648745740.1774327,62,3817
635602923.5430205,63,3870
612258261.5323776,64,3947
601641127.1087618,65,3986
592776369.3187375,66,4051
584228208.3383092,67,4127
563402562.9896072,68,4201
553946675.79812,69,4273
547701306.8077536,70,4330
539822465.7633792,71,4388
513200120.59119266,72,4453
510881560.9598532,73,4501
493899793.3642816,74,4567
484130857.75458854,75,4605
471717629.80161697,76,4675
469245242.863197,77,4727
450935444.0714598,78,4818
444120955.4985501,79,4866
422307313.1679445,80,4931
421183819.5590171,81,5003
399580341.150271,82,5082
390450629.13170993,83,5142
379160640.8283018,84,5236
366555518.63402414,85,5286
355430942.1298034,86,5345
355430942.1298034,87,5388
350700965.24174917,88,5478
342964667.44574153,89,5529
330278263.4465628,90,5594
329326890.14641005,91,5646
325367259.1385031,92,5691
322781622.0067476,93,5750
317510722.4355231,94,5794
313045448.1634434,95,5848
302387991.1023464,96,5913
298175475.77371675,97,5993
281768718.0723169,98,6063
277533619.2359354,99,6143
267797932.22270626,100,6199
262832400.8864463,101,6267
253778070.8309725,102,6330
247944333.47519964,103,6390
243106174.02539217,104,6453
231332785.10497615,105,6528
225544187.8717569,106,6616
218538663.49538758,107,6672
209252763.65412378,108,6760
208245932.91619125,109,6818
208140586.2447583,110,6891
196295196.4268236,111,6959
195846974.61636424,112,6999
181270005.61588708,113,7047
170494204.62198693,114,7099
163539672.72659627,115,7156
158709292.29111442,116,7229
154603716.69701472,117,7303
149088710.12723342,118,7388
149088710.12723342,119,7449
145683097.82090864,120,7526
143719528.9382957,121,7587
142023683.04922763,122,7638
140238991.22350395,123,7712
133005825.3195834,124,7793
126801873.7490655,125,7838
124690368.27287291,126,7892
122379385.51141961,127,7978
120820705.51221298,128,8048
116402069.90074986,129,8119
114640798.69382244,130,8201
108544810.0377428,131,8277
108544810.0377428,132,8322
103974900.89792942,133,8379
101069304.50773948,134,8437
93773134.75130802,135,8527
93773134.75130802,136,8576
93773134.75130802,137,8638
91217850.27797695,138,8715
89913998.54702675,139,8759
89913998.54702675,140,8800
85232492.09984311,141,8856
85232492.09984311,142,8894
82994370.84924833,143,8948
80381438.72518837,144,9025
77167215.66367956,145,9086
74532733.68755159,146,9150
72235012.14445813,147,9198
72235012.14445813,148,9247
71008115.99355693,149,9334
71008115.99355693,150,9394
68546405.63032095,151,9490
66960055.30220088,152,9551
65235425.38820108,153,9631
63935720.29910592,154,9688
60197887.1272222,155,9770
60197887.1272222,156,9820
59060435.28204842,157,9907
58909236.12525051,158,9971
57400150.68703097,159,10047
57400150.68703097,160,10119
52906897.7939681,161,10216
52906897.7939681,162,10288
51242938.964503326,163,10363
50610151.3325652,164,10427
50610151.3325652,165,10480
46592258.11964977,166,10553
46592258.11964977,167,10606
45408994.39943644,168,10684
44959448.83790646,169,10744
