generation,unique_ids
0,30
1,19
2,17
3,18
4,13
5,15
6,13
7,21
8,15
9,16
10,14
11,18
12,13
13,14
14,11
15,15
16,13
17,11
18,14
19,13
20,11
21,16
22,13
23,15
24,12
25,17
26,13
27,7
28,14
29,15
30,12
31,14
32,12
33,11
34,13
35,14
36,12
37,16
38,12
39,16
40,17
41,12
42,14
43,16
44,17
45,12
46,13
47,12
48,9
49,13
50,18
51,16
52,12
53,16
54,14
55,15
56,15
57,13
58,14
59,14
60,20
61,15
62,15
63,12
64,11
65,11
66,10
67,14
68,13
69,10
70,10
71,11
72,12
73,9
74,13
75,12
76,11
77,10
78,12
79,12
80,13
81,12
82,14
83,13
84,17
85,15
86,13
87,10
88,9
89,14
90,9
91,10
92,9
93,7
94,11
95,10
96,9
97,10
98,8
99,7
100,7
101,5
102,8
103,8
104,7
105,4
106,6
107,13
108,7
109,5
110,3
111,3
112,6
113,6
114,7
115,4
116,4
117,6
118,6
119,7
120,6
121,5
122,6
123,4
124,5
125,5
126,5
127,4
128,8
129,8
130,7
131,8
132,8
133,7
134,4
135,6
136,3
137,8
138,5
139,8
140,6
141,7
142,7
143,7
144,8
145,8
146,3
147,4
148,5
149,9
150,8
151,5
152,8
153,4
154,4
155,7
156,8
157,7
158,4
159,5
160,8
161,7
162,6
163,8
164,8
165,7
166,9
167,6
168,6
169,6
170,6
171,5
172,8
173,8
174,6
175,11
176,8
177,8
178,7
179,8
180,7
181,7
182,8
183,7
184,6
185,4
186,3
187,5
188,7
189,6
190,4
191,7
192,8
193,10
194,11
195,12
196,5
197,8
198,4
199,3
200,4
201,3
202,4
203,4
204,4
205,5
206,2
207,3
208,9
209,5
210,6
211,2
212,2
213,4
214,7
215,8
216,6
217,7
218,4
219,6
220,7
221,6
222,8
223,5
224,8
225,4
226,5
227,6
228,5
229,4
230,6
231,5
232,5
233,2
234,2
235,5
236,5
237,7
238,7
239,2
240,3
241,2
242,11
243,6
244,3
245,5
246,3
247,7
248,5
249,7
250,6
251,5
252,10
253,4
254,7
255,4
256,3
257,6
258,9
259,7
260,7
261,6
262,7
263,4
264,4
265,4
266,3
267,7
268,6
269,5
270,8
271,7
272,7
273,5
274,4
275,3
276,5
277,4
278,5
279,2
280,4
281,5
282,3
283,5
284,11
285,6
286,3
287,4
288,4
289,3
290,2
291,5
292,7
293,7
294,4
295,5
296,4
297,5
298,4
299,4
300,8
301,3
302,4
303,4
304,7
305,7
306,3
307,2
308,2
309,3
310,5
311,6
312,10
313,6
314,6
315,5
316,7
317,5
318,5
319,5
320,7
321,8
322,6
323,6
324,6
325,7
326,5
327,7
328,7
329,7
330,6
331,7
332,4
333,7
334,5
335,8
336,9
337,8
338,6
339,3
340,6
341,5
342,8
343,6
344,8
345,6
346,6
347,7
348,7
349,4
350,7
351,3
352,5
353,3
354,3
355,4
356,3
357,4
358,6
359,3
360,6
361,4
362,8
363,5
364,2
365,5
366,8
367,10
368,8
369,5
370,6
371,5
372,5
373,8
374,4
375,7
376,5
377,6
378,5
379,4
380,6
381,4
382,3
383,6
384,6
385,2
386,4
387,8
388,7
389,3
390,4
391,4
392,4
393,6
394,3
395,6
396,3
397,6
398,4
399,6
400,6
401,5
402,3
403,5
404,5
405,3
406,4
407,6
408,7
409,5
410,5
411,8
412,9
413,7
414,6
415,6
416,4
417,4
418,7
419,2
420,5
421,6
422,5
423,7
424,7
425,8
426,5
427,3
428,5
429,7
430,7
431,4
432,5
433,6
434,8
435,6
436,5
437,4
438,8
439,8
440,5
441,6
442,4
443,6
444,7
445,3
446,3
447,6
448,9
449,6
450,4
451,3
452,9
453,4
454,5
455,5
456,6
457,6
458,7
459,5
460,4
461,6
462,6
463,6
464,8
465,7
466,4
467,7
468,5
469,4
470,4
471,7
472,6
473,8
474,8
475,6
476,6
477,9
478,5
479,7
480,5
481,6
482,4
483,7
484,5
485,5
486,4
487,5
488,5
489,4
490,5
491,7
492,5
493,4
494,3
495,3
496,5
497,8
498,6
499,5
500,6
501,3
502,4
503,4
504,4
505,4
506,4
507,2
508,6
509,4
510,3
511,2
512,3
513,8
514,7
515,6
516,6
517,4
518,3
519,5
520,4
521,5
522,6
523,5
524,5
525,7
526,6
527,4
528,6
529,4
530,8
531,7
532,8
533,5
534,3
535,4
536,5
537,5
538,7
539,4
540,6
541,7
542,5
543,3
544,9
545,9
546,5
547,7
548,7
549,5
550,7
551,7
552,3
553,1
554,2
555,1
556,1
557,1
558,2
559,6
560,3
561,6
562,8
563,7
564,5
565,9
566,4
567,5
568,3
569,5
570,8
571,6
572,4
573,4
574,7
575,5
576,5
577,4
578,6
579,4
580,5
581,2
582,5
583,10
584,7
585,8
586,6
587,8
588,5
589,3
590,4
591,4
592,5
593,5
594,6
595,5
596,9
597,4
598,3
599,4
600,5
601,2
602,3
603,6
604,5
605,7
606,4
607,6
608,2
609,7
610,6
611,8
612,10
613,3
614,5
615,3
616,6
617,9
618,7
619,7
620,9
621,6
622,4
623,6
624,5
625,5
626,1
627,2
628,6
629,7
630,6
631,8
632,7
633,5
634,5
635,5
636,3
637,4
638,5
639,3
640,5
641,6
642,4
643,4
644,2
645,6
