objective_value,generation,evaluations
-1.3203655464907075e-308,0,30
-2.4432117468305112e-272,1,60
-2.4432117468305112e-272,2,90
-2.4432117468305112e-272,3,120
-2.4432117468305112e-272,4,150
-2.4432117468305112e-272,5,180
-1.6821165156012034e-76,6,229
-1.6821165156012034e-76,7,263
-1.5704949492182883e-51,8,297
-5.1790919823248385e-20,9,337
-5.1790919823248385e-20,10,375
-0.002681828302454201,11,434
-0.2401444602152121,12,467
-0.2401444602152121,13,503
-0.788577943168818,14,556
-0.788577943168818,15,595
-0.788577943168818,16,642
-0.788577943168818,17,705
-0.9534959779256549,18,789
-0.9534959779256549,19,870
-0.9534959779256549,20,948
-0.9534959779256549,21,1034
-0.9534959779256549,22,1106
-0.9534959779256549,23,1179
-0.9554474973553204,24,1267
-0.9554474973553204,25,1343
-0.9554474973553204,26,1428
-0.9554474973553204,27,1518
-0.9590980501582526,28,1603
-0.9590980501582526,29,1690
-0.9590980501582526,30,1769
-0.9590980501582526,31,1840
-0.9590980501582526,32,1917
-0.9590980501582526,33,1992
-0.9590980501582526,34,2060
-0.9590980501582526,35,2139
-0.9590980501582526,36,2231
-0.9590980501582526,37,2319
-0.9590980501582526,38,2394
-0.9590980501582526,39,2480
-0.9596064706405036,40,2572
-0.9596064706405036,41,2662
-0.9596064706405036,42,2740
-0.9596064706405036,43,2825
-0.9596064706405036,44,2891
-0.9596064706405036,45,2963
-0.9596064706405036,46,3040
-0.9596064706405036,47,3116
-0.9596064706405036,48,3193
-0.9596064706405036,49,3276
-0.9596064706405036,50,3350
-0.9596064706405036,51,3433
-0.9596064706405036,52,3509
-0.9596064706405036,53,3590
-0.9596064706405036,54,3669
-0.9596064706405036,55,3744
-0.9596064706405036,56,3810
-0.9596064706405036,57,3897
-0.997393889799171,58,3979
-0.997393889799171,59,4057
-0.997393889799171,60,4137
-0.997393889799171,61,4200
-0.997393889799171,62,4267
-0.997393889799171,63,4352
-0.997393889799171,64,4423
-0.997393889799171,65,4504
-0.997393889799171,66,4590
-0.997393889799171,67,4675
-0.997393889799171,68,4757
-0.997393889799171,69,4833
-0.997393889799171,70,4914
-0.997393889799171,71,4999
-0.997393889799171,72,5079
-0.997393889799171,73,5155
-0.997393889799171,74,5240
-0.997393889799171,75,5320
-0.997393889799171,76,5401
-0.997393889799171,77,5468
-0.997393889799171,78,5557
-0.997393889799171,79,5644
-0.997393889799171,80,5725
-0.997393889799171,81,5798
-0.997393889799171,82,5892
-0.997393889799171,83,5979
-0.997393889799171,84,6068
-0.997393889799171,85,6152
