generation,unique_ids
0,30
1,25
2,17
3,13
4,12
5,8
6,15
7,9
8,7
9,7
10,8
11,6
12,4
13,5
14,8
15,6
16,4
17,5
18,8
19,6
20,5
21,6
22,7
23,9
24,8
25,6
26,9
27,6
28,5
29,2
30,9
31,6
32,8
33,6
34,6
35,8
36,3
37,5
38,6
39,4
40,7
41,3
42,4
43,6
44,7
45,6
46,10
47,6
48,6
49,5
50,7
51,8
52,5
53,8
54,6
55,6
56,7
57,7
58,8
59,4
60,6
61,5
62,4
63,4
64,8
65,3
66,5
67,5
68,8
69,7
70,5
71,9
72,10
73,6
74,10
75,9
76,9
77,4
78,6
79,2
80,4
81,7
82,8
83,8
84,7
85,9
86,4
87,2
88,4
89,6
90,3
91,6
92,5
93,6
94,7
95,7
96,5
97,6
98,5
99,9
100,5
101,4
102,3
103,4
104,5
105,5
106,3
107,6
108,5
109,5
110,4
111,4
112,4
113,5
114,8
115,7
116,6
117,6
118,5
119,2
120,6
121,6
122,7
123,4
124,3
125,3
126,5
127,2
128,5
129,4
130,5
131,4
132,2
133,4
134,8
135,5
136,7
137,7
138,9
139,6
140,5
141,3
142,5
143,7
144,3
145,8
146,4
147,2
148,4
149,6
150,5
151,5
152,9
153,8
154,1
155,3
156,2
157,7
158,4
159,3
160,2
161,7
162,4
163,5
164,5
165,4
166,5
167,6
168,10
169,7
170,4
171,3
172,5
173,5
174,6
175,3
176,4
177,4
178,7
179,4
180,4
181,7
182,3
183,5
184,3
185,4
186,5
187,3
188,3
189,5
190,5
191,6
192,7
193,9
194,6
195,3
196,6
197,4
198,4
199,5
200,4
201,7
202,4
203,7
204,6
205,6
206,6
207,3
208,4
209,5
210,5
211,5
212,2
213,2
214,2
215,4
216,2
217,7
218,5
219,4
220,10
221,7
222,4
223,2
224,5
225,7
226,7
227,6
228,6
229,8
230,3
231,10
232,11
233,7
234,8
235,7
236,5
237,5
238,7
239,5
240,7
241,2
242,8
243,7
244,5
245,2
246,3
247,6
248,2
249,3
250,4
251,6
252,4
253,3
254,8
255,4
256,7
257,6
258,4
259,4
260,3
261,5
262,6
263,5
264,4
265,3
266,3
267,3
268,5
269,7
270,7
271,5
272,4
273,9
274,5
275,6
276,5
277,4
278,4
279,6
280,3
281,2
282,5
283,5
284,4
285,6
286,4
287,6
288,10
289,5
290,4
291,3
292,6
293,5
294,4
295,6
296,3
297,4
298,5
299,3
300,3
301,5
302,4
303,8
304,5
305,4
306,7
307,4
308,2
309,2
310,3
311,3
312,6
313,5
314,5
315,5
316,7
317,8
318,7
319,6
320,5
321,8
322,6
323,4
324,6
325,7
326,7
327,9
328,3
329,5
330,6
331,6
332,6
333,4
334,4
335,4
336,2
337,3
338,4
339,7
340,7
341,7
342,8
343,5
344,6
345,3
346,4
347,2
348,7
349,10
350,6
351,4
352,6
353,7
354,5
355,6
356,7
357,6
358,7
359,6
360,2
361,8
362,8
363,6
364,4
365,4
366,6
367,3
368,2
369,4
370,6
371,8
372,6
373,4
374,5
375,3
376,4
377,7
378,4
379,3
380,4
381,4
382,7
383,2
384,7
385,4
386,5
387,4
388,6
389,6
390,5
391,8
392,1
393,2
394,5
395,5
396,3
397,5
398,6
399,3
400,6
401,8
402,4
403,6
404,11
405,12
406,4
407,6
408,6
409,1
410,2
411,6
412,9
413,5
414,6
415,5
416,6
417,5
418,6
419,6
420,6
421,8
422,3
423,4
424,5
425,5
426,4
427,5
428,4
429,7
430,4
431,5
432,10
433,8
434,5
435,3
436,5
437,6
438,2
439,4
440,4
441,3
442,6
443,6
444,5
445,3
446,2
447,5
448,6
449,2
450,7
451,5
452,5
453,3
454,9
455,5
456,4
457,1
458,3
459,10
460,8
461,4
462,6
463,4
464,4
465,8
466,7
467,3
468,5
469,6
470,4
471,6
472,2
473,7
474,4
475,3
476,2
477,5
478,5
479,3
480,7
481,6
482,1
483,3
484,4
485,3
486,7
487,6
488,6
489,4
490,6
491,5
492,7
493,4
494,7
495,8
496,6
497,6
498,7
499,4
500,3
501,8
502,6
503,6
504,5
505,6
506,6
507,2
508,3
509,1
510,2
511,2
512,4
513,4
514,5
515,4
516,6
517,6
518,4
519,5
520,6
521,5
522,5
523,6
524,8
525,7
526,3
527,5
528,4
529,4
530,4
531,5
532,10
533,11
534,9
535,8
536,5
537,5
538,5
539,3
540,6
541,6
542,3
543,6
544,10
545,6
546,9
547,12
548,8
549,9
550,6
551,4
552,4
553,5
554,6
555,5
556,3
557,5
558,5
559,6
560,6
561,6
562,2
563,5
564,4
565,10
566,7
567,5
568,8
569,7
570,7
571,5
572,4
573,6
574,5
575,4
576,6
577,6
578,7
579,9
580,6
581,8
582,5
583,9
584,6
585,4
586,8
587,3
588,5
589,4
590,3
591,5
592,3
593,4
594,6
595,8
596,3
597,5
598,3
599,5
600,5
601,5
602,6
603,3
604,4
605,3
606,5
607,2
608,3
609,6
610,7
611,5
612,5
613,2
614,7
615,6
616,4
617,7
618,5
619,5
620,5
