objective_value,generation,evaluations
204406718.7766044,0,30
199583288.466592,1,93
191103284.11283827,2,164
167271053.4067811,3,225
161544124.84902722,4,269
150494401.79336128,5,352
146479139.96014035,6,386
130905270.1627774,7,439
127834279.06422912,8,494
122127958.1181464,9,557
121113152.80202083,10,593
114910192.30504361,11,644
111975490.414819,12,688
107503390.27240908,13,758
101977273.18813407,14,826
97807850.118576,15,873
95850254.14878169,16,942
86478551.72555661,17,1025
84008289.56554365,18,1066
75752665.50464663,19,1154
71977778.11961001,20,1212
71023812.7258684,21,1287
67249769.77102737,22,1358
64036139.13760063,23,1420
57576190.37501777,24,1483
56679086.891046844,25,1535
52944658.674223006,26,1607
50850160.613220826,27,1684
48704495.823525265,28,1744
44870895.455987036,29,1808
43374785.002466135,30,1851
41714845.62661511,31,1949
39557893.40828935,32,2007
39557893.40828935,33,2064
37467338.16366721,34,2153
36711925.794485815,35,2195
35632747.73273878,36,2265
34222414.06933159,37,2351
33725625.02407751,38,2400
32532290.93418759,39,2503
31432336.30473996,40,2554
30417448.644470606,41,2615
29399122.53739605,42,2671
28636365.78623156,43,2758
27308140.803771257,44,2805
26224863.91378512,45,2890
25536990.093187112,46,2954
24688522.745485455,47,3032
23210370.034595516,48,3074
23128675.694673155,49,3115
21718221.096680194,50,3190
21006233.041377243,51,3258
19998871.763795435,52,3326
19096436.73336092,53,3373
18794028.175349236,54,3426
18066168.981001712,55,3510
17337562.60640356,56,3557
16906473.029398803,57,3609
16297775.866132678,58,3707
16029527.384011462,59,3776
16029527.384011462,60,3830
15782132.922495838,61,3898
15465106.80478186,62,3962
14893570.166797372,63,4050
14893570.166797372,64,4109
14565159.398573758,65,4206
14382867.269567218,66,4270
14131525.330912305,67,4360
13770260.83482609,68,4429
13572717.944543703,69,4479
13310929.661035601,70,4543
13131510.616195198,71,4596
12897732.943977833,72,4662
12857223.923805136,73,4721
12451219.298017014,74,4803
12001613.411816576,75,4864
11908289.230629016,76,4907
11156385.988351282,77,4966
10596765.205848586,78,5021
10551893.195867296,79,5096
10149958.051435078,80,5169
10149958.051435078,81,5233
10049632.521132667,82,5313
10049632.521132667,83,5382
9983585.207698496,84,5458
9983585.207698496,85,5528
9983585.207698496,86,5616
9529266.352575962,87,5687
9529266.352575962,88,5737
9529266.352575962,89,5795
9338140.398428649,90,5879
9338140.398428649,91,5939
8886209.341264388,92,6020
8886209.341264388,93,6075
8886209.341264388,94,6143
8378620.016862628,95,6230
8378620.016862628,96,6280
8263238.069510176,97,6345
8263238.069510176,98,6430
7920100.587213344,99,6506
7826224.882992712,100,6556
7110901.378207567,101,6630
6945853.155349132,102,6685
6914576.503940642,103,6758
6656135.8210875895,104,6833
6656135.8210875895,105,6902
6507209.667087976,106,6971
6507209.667087976,107,7032
6507209.667087976,108,7115
6507209.667087976,109,7190
6270013.75046891,110,7274
6270013.75046891,111,7334
6126512.091252036,112,7378
6126512.091252036,113,7430
6063019.182621503,114,7503
5860203.976021682,115,7573
5860203.976021682,116,7646
5860203.976021682,117,7737
5824870.964395447,118,7818
5824870.964395447,119,7907
5681791.798714939,120,7984
5681791.798714939,121,8053
5387648.698707521,122,8097
5387648.698707521,123,8140
5387648.698707521,124,8198
5365887.954886671,125,8270
5365887.954886671,126,8345
5313227.598477013,127,8435
5238895.202965501,128,8533
5238895.202965501,129,8619
5174348.80300834,130,8690
4908448.561264238,131,8769
4905997.9980269065,132,8843
4732703.083517301,133,8898
4732703.083517301,134,8966
4719273.350129907,135,9039
4719273.350129907,136,9101
4608447.6778859105,137,9182
4608447.6778859105,138,9251
4608447.6778859105,139,9331
4492474.166593238,140,9422
4492474.166593238,141,9488
4314080.919671759,142,9533
4276374.40023518,143,9584
4231308.046344186,144,9666
4152515.368354909,145,9730
4152515.368354909,146,9802
4125290.01064702,147,9877
4023151.7564261463,148,9951
4023151.7564261463,149,10042
3838425.0360698877,150,10110
3838425.0360698877,151,10190
3825401.78491826,152,10268
3825401.78491826,153,10328
3825401.78491826,154,10405
3664729.705114793,155,10496
3664729.705114793,156,10565
3569353.1421857136,157,10638
3569353.1421857136,158,10689
3445756.5177778634,159,10782
3445756.5177778634,160,10854
3445756.5177778634,161,10923
3445756.5177778634,162,10990
3445756.5177778634,163,11054
3445756.5177778634,164,11133
3445756.5177778634,165,11221
3445756.5177778634,166,11295
3445756.5177778634,167,11385
3445756.5177778634,168,11467
3445756.5177778634,169,11552
3396417.8615009533,170,11629
3396417.8615009533,171,11707
3382342.274311465,172,11785
3382342.274311465,173,11864
3382342.274311465,174,11961
3382342.274311465,175,12044
3382342.274311465,176,12114
3382342.274311465,177,12207
3359802.9362465977,178,12302
3306648.5581206363,179,12383
3306648.5581206363,180,12474
3306648.5581206363,181,12561
3306648.5581206363,182,12642
3306648.5581206363,183,12718
3306648.5581206363,184,12802
3306648.5581206363,185,12876
3306648.5581206363,186,12958
3306648.5581206363,187,13048
3306648.5581206363,188,13115
3183476.3182080304,189,13199
3183476.3182080304,190,13265
3183476.3182080304,191,13344
3183476.3182080304,192,13433
3183476.3182080304,193,13483
3150994.5737584834,194,13556
3150994.5737584834,195,13643
3150994.5737584834,196,13725
3150994.5737584834,197,13805
3150994.5737584834,198,13884
3142479.9913330306,199,13967
3019725.5420233337,200,14057
3019725.5420233337,201,14125
3019725.5420233337,202,14199
3019725.5420233337,203,14301
3019725.5420233337,204,14374
3019725.5420233337,205,14464
3007789.0666001793,206,14547
3007789.0666001793,207,14629
2863911.8519990267,208,14715
2863911.8519990267,209,14795
2863911.8519990267,210,14887
2863911.8519990267,211,14973
2863911.8519990267,212,15044
2863911.8519990267,213,15118
2863911.8519990267,214,15212
2862908.7090067575,215,15304
2862908.7090067575,216,15377
2862908.7090067575,217,15466
2839149.110799248,218,15551
2839149.110799248,219,15649
2839149.110799248,220,15720
2798072.2857099655,221,15796
2798072.2857099655,222,15882
2798072.2857099655,223,15950
2798072.2857099655,224,16040
2684552.2173315864,225,16133
2684552.2173315864,226,16210
2684552.2173315864,227,16260
2684552.2173315864,228,16332
2634831.8536925903,229,16406
2634831.8536925903,230,16489
2634831.8536925903,231,16572
2614692.664325536,232,16654
2554863.7524676174,233,16736
2554863.7524676174,234,16820
2554863.7524676174,235,16893
2554863.7524676174,236,16976
2554863.7524676174,237,17061
2554863.7524676174,238,17138
2554863.7524676174,239,17224
2554863.7524676174,240,17298
2450108.100653977,241,17390
2450108.100653977,242,17470
2450108.100653977,243,17562
2450108.100653977,244,17642
2450108.100653977,245,17705
2450108.100653977,246,17790
2450108.100653977,247,17884
2450108.100653977,248,17971
2450108.100653977,249,18059
2450108.100653977,250,18142
2450108.100653977,251,18230
2450108.100653977,252,18322
2450108.100653977,253,18417
2450108.100653977,254,18484
2402621.7174283736,255,18566
2402621.7174283736,256,18643
2402621.7174283736,257,18732
2402621.7174283736,258,18807
2402621.7174283736,259,18882
2402621.7174283736,260,18967
2402621.7174283736,261,19045
2402621.7174283736,262,19119
2402621.7174283736,263,19195
2402621.7174283736,264,19283
2402621.7174283736,265,19371
2393622.333003013,266,19437
2393622.333003013,267,19504
2393622.333003013,268,19582
2393622.333003013,269,19671
2393622.333003013,270,19746
2393622.333003013,271,19831
2393622.333003013,272,19923
2393622.333003013,273,20010
2393622.333003013,274,20084
2393622.333003013,275,20157
2393622.333003013,276,20246
2393622.333003013,277,20339
2393622.333003013,278,20420
2393622.333003013,279,20510
2393622.333003013,280,20583
2393622.333003013,281,20669
