generation,unique_ids
0,30
1,20
2,20
3,16
4,12
5,19
6,13
7,16
8,14
9,18
10,17
11,10
12,19
13,17
14,14
15,17
16,12
17,13
18,10
19,18
20,13
21,12
22,15
23,13
24,11
25,16
26,17
27,12
28,14
29,16
30,13
31,17
32,12
33,14
34,10
35,15
36,22
37,17
38,15
39,16
40,15
41,18
42,17
43,16
44,13
45,13
46,12
47,12
48,12
49,15
50,14
51,14
52,18
53,17
54,18
55,15
56,15
57,13
58,9
59,14
60,10
61,10
62,13
63,11
64,17
65,13
66,14
67,11
68,14
69,10
70,9
71,16
72,13
73,15
74,13
75,10
76,14
77,13
78,10
79,10
80,15
81,14
82,14
83,10
84,8
85,7
86,6
87,8
88,11
89,7
90,12
91,8
92,16
93,15
94,10
95,11
96,8
97,9
98,7
99,10
100,8
101,14
102,11
103,9
104,13
105,14
106,7
107,7
108,12
109,11
110,14
111,14
112,15
113,14
114,11
115,10
116,9
117,10
118,8
119,9
120,11
121,13
122,11
123,12
124,12
125,14
126,10
127,17
128,11
129,9
130,10
131,11
132,7
133,10
134,9
135,8
136,8
137,6
138,8
139,10
140,9
141,10
142,11
143,6
144,6
145,6
146,7
147,8
148,11
149,8
150,12
151,14
152,7
153,10
154,6
155,7
156,6
157,10
158,7
159,6
160,7
161,13
162,13
163,9
164,7
165,6
166,9
167,16
168,10
169,5
170,8
171,7
172,6
173,3
174,7
175,8
176,8
177,9
178,11
179,10
180,13
181,15
182,13
183,11
184,10
185,6
186,8
187,9
188,7
189,5
190,6
191,5
192,5
193,9
194,8
195,11
196,5
197,7
198,3
199,3
200,4
201,7
202,7
203,8
204,5
205,5
206,7
207,5
208,8
209,6
210,6
211,5
212,10
213,8
214,6
215,8
216,8
217,8
218,7
219,4
220,6
221,5
222,8
223,8
224,5
225,6
226,2
227,3
228,7
229,6
230,3
231,4
232,7
233,9
234,6
235,6
236,10
237,7
238,7
239,5
240,7
241,6
242,7
243,8
244,6
245,8
246,6
247,8
248,7
249,5
250,6
251,9
252,5
253,11
254,9
255,8
256,11
257,9
258,7
259,6
260,5
261,5
262,10
263,11
264,9
265,8
266,8
267,2
268,8
269,6
270,6
271,7
272,4
273,7
274,5
275,5
276,7
277,6
278,3
279,3
280,4
281,4
282,6
283,7
284,5
285,8
286,5
287,6
288,6
289,5
290,7
291,7
292,7
293,6
294,4
295,4
296,7
297,6
298,6
299,8
300,5
301,5
302,7
303,5
304,4
305,6
306,6
307,4
308,9
309,5
310,4
311,9
312,6
313,4
314,7
315,7
316,7
317,6
318,7
319,7
320,9
321,6
322,6
323,7
324,5
325,3
326,5
327,4
328,4
329,7
330,5
331,11
332,7
333,5
334,6
335,6
336,9
337,8
338,4
339,5
340,6
341,5
342,6
343,4
344,6
345,4
346,7
347,6
348,6
349,5
350,10
351,6
352,7
353,6
354,6
355,3
356,5
357,8
358,7
359,4
360,9
361,8
362,6
363,5
364,5
365,3
366,6
367,7
368,10
369,6
370,7
371,9
372,7
373,7
374,8
375,7
376,10
377,6
378,8
379,10
380,4
381,4
382,5
383,8
384,6
385,8
386,8
387,8
388,6
389,7
390,4
391,9
392,7
393,5
394,6
395,4
396,6
397,7
398,5
399,10
400,8
401,6
402,7
403,9
404,7
405,5
406,4
407,7
408,7
409,6
410,6
411,7
412,7
413,5
414,9
415,8
416,4
417,6
418,5
419,7
420,6
421,6
422,7
423,9
424,9
425,8
426,3
427,3
428,7
429,7
430,3
431,8
432,4
433,6
434,5
435,7
436,5
437,7
438,6
439,4
440,5
441,4
442,2
443,4
444,5
445,5
446,4
447,3
448,3
449,8
450,4
451,6
452,5
453,3
454,5
455,5
456,2
457,6
458,6
459,8
460,6
461,6
462,6
463,8
464,8
465,8
466,5
467,8
468,5
469,4
470,2
471,8
472,4
473,5
474,5
475,6
476,6
477,4
478,5
479,6
480,7
481,3
482,1
483,3
484,5
485,4
486,3
487,4
488,8
489,7
490,4
491,9
492,7
493,8
494,7
495,5
496,6
497,8
498,8
499,6
500,4
501,6
502,7
503,5
504,4
505,9
506,6
507,6
508,8
509,5
510,4
511,6
512,3
513,5
514,5
515,5
516,6
517,9
518,3
519,5
520,7
521,4
522,8
523,7
524,8
525,4
526,3
527,7
528,7
529,4
530,3
531,8
532,4
533,4
534,4
535,4
536,2
537,3
538,5
539,4
540,5
541,10
542,7
543,7
544,7
545,7
546,6
547,5
548,5
549,6
550,6
551,6
552,6
553,6
554,4
555,7
556,6
557,2
558,4
559,4
560,5
561,8
562,9
563,11
564,7
565,8
566,5
567,6
568,4
569,6
570,7
571,8
572,11
573,4
574,6
575,6
576,2
577,5
578,5
579,3
580,5
581,6
582,6
583,4
584,5
585,9
586,7
587,6
588,7
589,5
590,8
591,7
592,3
593,7
594,6
595,8
596,7
597,4
598,9
599,9
600,6
601,5
602,4
603,7
604,8
605,4
606,1
607,3
608,7
609,4
610,6
611,3
612,6
613,6
614,11
615,10
616,5
617,5
618,7
619,7
620,5
621,7
622,4
623,7
624,4
625,5
626,9
627,7
628,3
629,7
630,4
631,5
632,4
633,5
634,6
635,7
636,5
637,8
638,6
639,7
640,3
641,7
642,6
643,4
644,3
645,4
646,4
647,7
648,3
