generation,unique_ids
0,30
1,20
2,16
3,19
4,18
5,13
6,16
7,13
8,12
9,13
10,14
11,11
12,9
13,6
14,6
15,4
16,4
17,4
18,7
19,6
20,7
21,9
22,12
23,8
24,9
25,6
26,7
27,7
28,7
29,10
30,8
31,9
32,7
33,4
34,7
35,5
36,4
37,3
38,5
39,3
40,5
41,5
42,8
43,15
44,10
45,9
46,7
47,8
48,9
49,7
50,7
51,6
52,4
53,8
54,7
55,8
56,9
57,5
58,8
59,8
60,8
61,9
62,9
63,8
64,7
65,8
66,7
67,9
68,9
69,11
70,7
71,4
72,6
73,6
74,5
75,4
76,8
77,8
78,7
79,5
80,3
81,3
82,4
83,3
84,1
85,4
86,4
87,3
88,6
89,4
90,7
91,1
92,3
93,6
94,7
95,8
96,7
97,5
98,4
99,5
100,4
101,6
102,5
103,6
104,4
105,6
106,3
107,5
108,4
109,10
110,8
111,6
112,3
113,8
114,10
115,8
116,8
117,7
118,5
119,6
120,8
121,5
122,3
123,4
124,3
125,5
126,6
127,8
128,6
129,4
130,5
131,5
132,6
133,4
134,7
135,2
136,4
137,5
138,6
139,10
140,5
141,7
142,6
143,4
144,1
145,4
146,5
147,2
148,4
149,4
150,4
151,5
152,5
153,7
154,7
155,5
156,6
157,4
158,3
159,7
160,5
161,7
162,7
163,5
164,3
165,5
166,6
167,7
168,4
169,4
170,6
171,7
172,6
173,7
174,5
175,7
176,5
177,8
178,9
179,5
180,8
181,7
182,9
183,4
184,3
185,6
186,7
187,3
188,3
189,4
190,4
191,5
192,8
193,6
194,3
195,2
196,4
197,6
198,4
199,5
200,3
201,3
202,5
203,4
204,4
205,5
206,5
207,5
208,9
209,7
210,3
211,6
212,5
213,5
214,2
215,5
216,6
217,8
218,7
219,7
220,10
221,10
222,8
223,6
224,8
225,5
226,3
227,3
228,5
229,9
230,5
231,2
232,6
233,5
234,5
235,6
236,5
237,7
238,6
239,4
240,4
241,8
242,10
243,7
244,6
245,5
246,6
247,5
248,5
249,8
250,4
251,9
252,6
253,6
254,3
255,2
256,7
257,6
258,9
259,8
260,8
261,7
262,5
263,4
264,5
265,5
266,7
267,3
268,5
269,4
270,5
271,7
272,8
273,10
274,7
275,7
276,7
277,6
278,10
279,6
280,5
281,5
282,8
283,6
284,6
285,4
286,4
287,5
288,8
289,6
290,4
291,8
292,9
293,5
294,6
295,7
296,6
297,7
298,7
299,3
300,5
301,3
302,6
303,5
304,7
305,4
306,3
307,2
308,6
309,3
310,5
311,6
312,7
313,7
314,7
315,4
316,4
317,6
318,5
319,5
320,7
321,4
322,5
323,2
324,5
325,5
326,7
327,5
328,4
329,6
330,3
331,2
332,5
333,5
334,6
335,6
336,4
337,7
338,6
339,4
340,3
341,6
342,10
343,9
344,5
345,5
346,5
347,5
348,5
349,3
350,3
351,5
352,3
353,4
354,3
355,5
356,5
357,7
358,8
359,5
360,3
361,4
362,5
363,4
364,4
365,4
366,6
367,5
368,4
369,4
370,4
371,7
372,4
373,4
374,5
375,6
376,6
377,3
378,4
379,7
380,4
381,7
382,6
383,7
384,4
385,4
386,5
387,4
388,7
389,6
390,8
391,7
392,7
393,3
394,4
395,3
396,4
397,5
398,3
399,4
400,4
401,7
402,8
403,6
404,5
405,6
406,3
407,6
408,5
409,5
410,8
411,6
412,8
413,9
414,5
415,4
416,5
417,6
418,9
419,6
420,4
421,6
422,5
423,5
424,5
425,6
426,3
427,3
428,5
429,8
430,6
431,8
432,9
433,4
434,5
435,5
436,5
437,3
438,9
439,6
440,5
441,9
442,4
443,2
444,7
445,9
446,5
447,6
448,5
449,5
450,3
451,3
452,2
453,6
454,7
455,7
456,4
457,8
458,6
459,4
460,5
461,5
462,6
463,4
464,3
465,1
466,3
467,5
468,6
469,4
470,4
471,4
472,5
473,5
474,6
475,5
476,7
477,6
478,4
479,6
480,2
481,7
482,6
483,7
484,4
485,4
486,5
487,5
488,3
489,5
490,5
491,6
492,5
493,7
494,10
495,5
496,5
497,7
498,6
499,5
500,6
501,8
502,5
503,6
504,6
505,6
506,5
507,5
508,5
509,4
510,7
511,5
512,1
513,3
514,6
515,5
516,7
517,7
518,7
519,4
520,8
521,8
522,8
523,11
524,9
525,6
526,5
527,3
528,6
529,4
530,6
531,3
532,5
533,6
534,6
535,6
536,7
537,5
538,4
539,5
540,6
541,5
542,6
543,5
544,4
545,5
546,6
547,7
548,3
549,6
550,7
551,5
552,6
553,5
554,6
555,5
556,5
557,7
558,4
559,4
560,6
561,4
562,10
563,8
564,2
565,6
566,6
567,6
568,4
569,7
570,7
571,4
572,2
573,5
574,8
575,10
576,6
577,5
578,5
579,6
580,5
581,3
582,5
583,4
584,3
585,3
586,5
587,1
588,1
589,1
590,2
591,7
592,5
593,4
594,7
595,4
596,4
597,7
598,4
