generation,unique_ids
0,30
1,20
2,15
3,13
4,12
5,18
6,19
7,13
8,16
9,13
10,14
11,22
12,12
13,16
14,17
15,15
16,16
17,12
18,15
19,19
20,13
21,20
22,18
23,19
24,16
25,14
26,15
27,17
28,14
29,14
30,11
31,14
32,12
33,17
34,16
35,14
36,17
37,14
38,17
39,13
40,16
41,17
42,17
43,14
44,14
45,20
46,21
47,15
48,12
49,13
50,11
51,12
52,16
53,20
54,15
55,10
56,16
57,14
58,10
59,17
60,11
61,11
62,11
63,16
64,13
65,9
66,11
67,13
68,12
69,11
70,10
71,12
72,14
73,15
74,13
75,12
76,12
77,12
78,13
79,13
80,8
81,9
82,9
83,11
84,13
85,11
86,15
87,10
88,12
89,8
90,8
91,14
92,10
93,13
94,11
95,14
96,11
97,8
98,12
99,8
100,10
101,7
102,9
103,9
104,9
105,10
106,8
107,6
108,12
109,7
110,8
111,9
112,8
113,9
114,10
115,7
116,7
117,8
118,7
119,7
120,8
121,7
122,8
123,5
124,9
125,9
126,8
127,11
128,7
129,8
130,10
131,8
132,11
133,8
134,6
135,7
136,9
137,5
138,7
139,9
140,10
141,10
142,11
143,8
144,8
145,8
146,5
147,6
148,6
149,8
150,5
151,7
152,7
153,4
154,9
155,5
156,6
157,6
158,5
159,9
160,9
161,9
162,7
163,8
164,6
165,12
166,7
167,7
168,5
169,5
170,7
171,9
172,5
173,5
174,5
175,2
176,4
177,10
178,5
179,6
180,5
181,3
182,7
183,7
184,5
185,5
186,6
187,8
188,6
189,8
190,7
191,4
192,4
193,5
194,7
195,8
196,5
197,7
198,8
199,6
200,3
201,5
202,9
203,8
204,7
205,7
206,10
207,5
208,6
209,3
210,4
211,4
212,4
213,10
214,5
215,5
216,7
217,5
218,4
219,4
220,6
221,8
222,3
223,5
224,6
225,4
226,5
227,6
228,8
229,5
230,6
231,8
232,8
233,7
234,7
235,7
236,4
237,3
238,1
239,3
240,5
241,6
242,6
243,8
244,6
245,4
246,4
247,7
248,2
249,5
250,10
251,7
252,5
253,10
254,9
255,6
256,7
257,8
258,10
259,3
260,6
261,6
262,5
263,3
264,6
265,7
266,6
267,7
268,3
269,7
270,7
271,5
272,4
273,4
274,7
275,5
276,7
277,4
278,5
279,7
280,5
281,3
282,4
283,6
284,5
285,11
286,10
287,6
288,8
289,4
290,9
291,5
292,6
293,3
294,6
295,5
296,6
297,6
298,6
299,7
300,6
301,7
302,5
303,3
304,4
305,7
306,4
307,7
308,7
309,7
310,6
311,4
312,4
313,8
314,10
315,12
316,5
317,7
318,9
319,9
320,6
321,5
322,7
323,6
324,7
325,5
326,5
327,9
328,7
329,4
330,6
331,5
332,2
333,3
334,10
335,6
336,9
337,5
338,8
339,7
340,10
341,9
342,4
343,5
344,4
345,3
346,4
347,7
348,6
349,7
350,4
351,5
352,4
353,7
354,9
355,5
356,3
357,5
358,4
359,2
360,4
361,4
362,2
363,3
364,4
365,5
366,8
367,5
368,4
369,6
370,5
371,7
372,5
373,5
374,7
375,5
376,5
377,6
378,6
379,4
380,3
381,7
382,7
383,7
384,6
385,5
386,4
387,5
388,7
389,6
390,6
391,4
392,5
393,3
394,3
395,3
396,5
397,9
398,5
399,4
400,3
401,2
402,8
403,1
404,5
405,7
406,5
407,7
408,5
409,5
410,6
411,6
412,5
413,7
414,5
415,5
416,10
417,9
418,6
419,6
420,3
421,4
422,8
423,7
424,5
425,10
426,6
427,6
428,5
429,3
430,2
431,7
432,6
433,4
434,5
435,4
436,1
437,2
438,2
439,7
440,5
441,8
442,6
443,8
444,6
445,7
446,6
447,5
448,6
449,4
450,8
451,6
452,9
453,10
454,8
455,6
456,5
457,5
458,3
459,5
460,6
461,6
462,4
463,5
464,3
465,7
466,5
467,5
468,7
469,10
470,5
471,4
472,3
473,4
474,8
475,7
476,10
477,6
478,6
479,7
480,5
481,3
482,9
483,7
484,4
485,3
486,3
487,7
488,7
489,7
490,6
491,6
492,5
493,5
494,5
495,2
496,6
497,5
498,9
499,9
500,7
501,10
502,5
503,6
504,6
505,7
506,10
507,6
508,4
509,11
510,3
511,3
512,3
513,3
514,7
515,7
516,4
517,6
518,2
519,3
520,6
521,5
522,7
523,5
524,5
525,2
526,7
527,4
528,6
529,7
530,6
531,8
532,8
533,8
534,4
535,3
536,5
537,9
538,5
539,6
540,3
541,2
542,4
543,3
544,9
545,4
546,5
547,5
548,6
549,8
550,10
551,5
552,9
553,6
554,9
555,4
556,3
557,4
558,6
559,5
560,6
561,4
562,5
563,8
564,4
565,9
566,6
567,6
568,4
569,4
570,4
571,2
572,3
573,9
574,7
575,9
576,10
577,7
578,2
579,3
580,4
581,4
582,3
583,3
584,6
585,4
586,3
587,3
588,6
589,8
590,9
591,7
592,5
593,4
594,6
595,5
596,3
597,4
598,5
599,9
600,6
601,5
602,4
603,5
604,6
605,3
606,4
607,4
608,7
609,7
610,6
611,6
612,5
613,6
614,8
615,8
616,5
617,4
618,6
619,3
620,8
621,3
622,2
623,7
624,7
625,3
626,5
627,6
628,7
629,4
630,7
631,6
632,8
633,2
634,3
635,7
636,4
637,4
638,3
639,4
640,4
641,8
642,9
643,5
