generation,unique_ids
0,30
1,19
2,14
3,15
4,19
5,16
6,15
7,11
8,13
9,8
10,12
11,8
12,6
13,7
14,6
15,8
16,7
17,3
18,4
19,5
20,4
21,6
22,6
23,6
24,4
25,10
26,5
27,9
28,5
29,2
30,6
31,7
32,4
33,4
34,8
35,10
36,6
37,6
38,8
39,6
40,6
41,5
42,6
43,7
44,5
45,1
46,2
47,4
48,5
49,9
50,6
51,5
52,5
53,4
54,4
55,6
56,7
57,6
58,5
59,3
60,4
61,2
62,4
63,7
64,4
65,8
66,9
67,3
68,5
69,6
70,6
71,6
72,5
73,6
74,5
75,8
76,6
77,6
78,5
79,2
80,4
81,4
82,3
83,7
84,4
85,6
86,5
87,4
88,2
89,3
90,3
91,5
92,6
93,3
94,6
95,6
96,6
97,4
98,5
99,4
100,4
101,4
102,5
103,3
104,6
105,2
106,5
107,8
108,6
109,9
110,6
111,5
112,6
113,8
114,5
115,4
116,9
117,7
118,8
119,4
120,4
121,5
122,4
123,5
124,4
125,5
126,6
127,5
128,4
129,8
130,8
131,5
132,5
133,7
134,8
135,6
136,3
137,3
138,5
139,5
140,4
141,6
142,8
143,5
144,6
145,10
146,3
147,4
148,6
149,5
150,5
151,5
152,10
153,11
154,8
155,6
156,6
157,5
158,5
159,5
160,3
161,3
162,3
163,6
164,8
165,9
166,8
167,5
168,5
169,5
170,6
171,4
172,6
173,7
174,6
175,6
176,8
177,7
178,5
179,6
180,5
181,5
182,6
183,3
184,6
185,4
186,6
187,4
188,3
189,3
190,2
191,3
192,8
193,6
194,8
195,5
196,4
197,4
198,6
199,6
200,5
201,4
202,7
203,6
204,3
205,6
206,4
207,6
208,4
209,8
210,4
211,6
212,9
213,10
214,9
215,7
216,8
217,11
218,10
219,8
220,6
221,3
222,6
223,6
224,7
225,9
226,8
227,8
228,4
229,4
230,4
231,7
232,6
233,5
234,10
235,9
236,7
237,6
238,7
239,7
240,6
241,4
242,6
243,7
244,5
245,6
246,7
247,4
248,8
249,8
250,8
251,6
252,9
253,8
254,3
255,7
256,9
257,10
258,10
259,12
260,7
261,7
262,4
263,3
264,5
265,5
266,6
267,5
268,4
269,3
270,6
271,4
272,5
273,8
274,4
275,6
276,2
277,4
278,5
279,3
280,7
281,7
282,3
283,3
284,5
285,8
286,5
287,6
288,9
289,7
290,5
291,6
292,6
293,9
294,6
295,4
296,11
297,8
298,7
299,7
300,5
301,6
302,4
303,6
304,8
305,5
306,7
307,8
308,5
309,5
310,5
311,4
312,3
313,4
314,7
315,6
316,7
317,4
318,5
319,4
320,5
321,3
322,4
323,4
324,6
325,6
326,6
327,5
328,6
329,5
330,9
331,10
332,8
333,3
334,5
335,5
336,4
337,7
338,7
339,6
340,6
341,5
342,6
343,4
344,5
345,8
346,6
347,2
348,7
349,5
350,3
351,5
352,2
353,5
354,6
355,8
356,7
357,7
358,10
359,10
360,9
361,5
362,2
363,3
364,6
365,7
366,4
367,6
368,7
369,5
370,8
371,6
372,5
373,7
374,5
375,6
376,7
377,10
378,7
379,7
380,4
381,6
382,4
383,6
384,5
385,7
386,7
387,10
388,9
389,6
390,5
391,5
392,4
393,4
394,4
395,7
396,8
397,5
398,9
399,6
400,8
401,6
402,9
403,13
404,4
405,3
406,5
407,6
408,9
409,6
410,6
411,9
412,5
413,8
414,9
415,5
416,9
417,7
418,9
419,10
420,7
421,6
422,7
423,8
424,7
425,7
426,7
427,7
428,6
429,7
430,6
431,4
432,4
433,6
434,8
435,7
436,7
437,9
438,7
439,8
440,8
441,5
442,8
443,6
444,6
445,4
446,7
447,7
448,3
449,6
450,6
451,5
452,8
453,3
454,3
455,3
456,3
457,7
458,5
459,4
460,9
461,3
462,2
463,3
464,7
465,8
466,7
467,6
468,9
469,8
470,7
471,6
472,5
473,2
474,5
475,5
476,6
477,4
478,3
479,3
480,5
481,9
482,9
483,4
484,7
485,5
486,5
487,7
488,7
489,6
490,6
491,7
492,4
493,3
494,3
495,6
496,6
497,7
498,6
499,3
500,6
501,4
502,6
503,7
504,5
505,3
506,4
507,3
508,6
509,5
510,3
511,3
512,8
513,7
514,7
515,12
516,13
517,8
518,6
519,7
520,6
521,7
522,5
523,4
524,5
525,5
526,3
527,6
528,7
529,5
530,3
531,3
532,3
533,3
534,6
535,5
536,6
537,7
538,5
539,5
540,4
541,3
542,1
543,3
544,5
545,4
546,3
547,4
548,5
549,8
550,8
551,6
552,4
553,6
554,7
555,10
556,8
557,8
558,13
559,5
560,6
561,5
562,5
563,4
564,5
565,7
566,3
567,5
568,8
569,10
570,8
571,7
572,3
573,4
574,2
575,6
576,5
577,6
578,8
579,4
580,9
581,5
582,4
583,5
584,10
585,5
586,2
587,3
588,4
589,3
590,5
591,4
592,3
593,2
594,5
595,11
