objective_value,generation,evaluations
4.293012218918789,0,30
0.8137371715334963,1,106
0.15240722582350735,2,191
0.022943088884674088,3,271
0.022943088884674088,4,357
0.01977992455005069,5,430
0.0006279610665038619,6,501
0.0006279610665038619,7,585
0.0006279610665038619,8,664
0.0006279610665038619,9,741
0.0006279610665038619,10,820
0.0006279610665038619,11,901
0.0006279610665038619,12,978
0.0006279610665038619,13,1067
0.00026043382121951423,14,1153
0.00026043382121951423,15,1235
0.00026043382121951423,16,1318
0.00026043382121951423,17,1403
0.00011435433886810496,18,1493
0.00011435433886810496,19,1566
0.00011435433886810496,20,1660
0.00011435433886810496,21,1745
0.00011435433886810496,22,1824
0.00011435433886810496,23,1924
0.00011435433886810496,24,2017
0.00011435433886810496,25,2096
0.00011435433886810496,26,2168
0.00011435433886810496,27,2261
0.00011435433886810496,28,2351
0.00011435433886810496,29,2426
0.00011435433886810496,30,2527
0.00011435433886810496,31,2601
0.00011435433886810496,32,2683
0.00011435433886810496,33,2764
0.00011435433886810496,34,2845
0.00011435433886810496,35,2920
4.7796318869134853e-05,36,3003
4.7796318869134853e-05,37,3092
4.7796318869134853e-05,38,3183
4.7796318869134853e-05,39,3257
4.7796318869134853e-05,40,3351
4.7796318869134853e-05,41,3440
4.7796318869134853e-05,42,3526
4.7796318869134853e-05,43,3608
4.7796318869134853e-05,44,3692
4.7796318869134853e-05,45,3773
4.7796318869134853e-05,46,3838
4.7796318869134853e-05,47,3925
4.7796318869134853e-05,48,4006
4.7796318869134853e-05,49,4106
4.7796318869134853e-05,50,4184
4.7796318869134853e-05,51,4279
4.7796318869134853e-05,52,4358
4.7796318869134853e-05,53,4412
4.7796318869134853e-05,54,4494
4.7796318869134853e-05,55,4582
4.7796318869134853e-05,56,4669
4.7796318869134853e-05,57,4746
4.7796318869134853e-05,58,4821
4.7796318869134853e-05,59,4890
4.7796318869134853e-05,60,4971
4.7796318869134853e-05,61,5065
4.7796318869134853e-05,62,5156
4.7796318869134853e-05,63,5255
4.7796318869134853e-05,64,5327
4.7796318869134853e-05,65,5436
4.7796318869134853e-05,66,5514
4.7796318869134853e-05,67,5594
4.7796318869134853e-05,68,5683
4.7796318869134853e-05,69,5787
4.7796318869134853e-05,70,5863
4.7796318869134853e-05,71,5935
