generation,unique_ids
0,30
1,14
2,14
3,14
4,11
5,13
6,10
7,8
8,9
9,5
10,5
11,6
12,6
13,8
14,5
15,5
16,5
17,7
18,6
19,4
20,5
21,3
22,4
23,4
24,6
25,4
26,4
27,5
28,5
29,6
30,8
31,5
32,9
33,8
34,6
35,8
36,7
37,1
38,3
39,5
40,5
41,3
42,6
43,5
44,7
45,8
46,6
47,7
48,9
49,10
50,6
51,3
52,4
53,6
54,6
55,6
56,8
57,4
58,9
59,6
60,4
61,2
62,6
63,3
64,8
65,8
66,6
67,9
68,5
69,8
70,5
71,5
72,8
73,4
74,8
75,5
76,4
77,4
78,4
79,6
80,5
81,7
82,5
83,8
84,4
85,5
86,8
87,10
88,6
89,7
90,6
91,6
92,5
93,3
94,6
95,6
96,4
97,5
98,6
99,5
100,6
101,5
102,6
103,3
104,4
105,6
106,5
107,4
108,3
109,7
110,6
111,7
112,7
113,5
114,3
115,2
116,4
117,6
118,6
119,4
120,4
121,4
122,9
123,7
124,3
125,4
126,3
127,5
128,7
129,5
130,4
131,5
132,5
133,3
134,6
135,7
136,7
137,2
138,6
139,4
140,4
141,4
142,9
143,7
144,9
145,4
146,6
147,5
148,7
149,5
150,5
151,7
152,12
153,6
154,4
155,6
156,6
157,3
158,4
159,4
160,4
161,6
162,4
163,8
164,12
165,8
166,3
167,4
168,3
169,5
170,8
171,7
172,8
173,8
174,5
175,5
176,6
177,6
178,4
179,5
180,8
181,5
182,7
183,6
184,6
185,5
186,8
187,5
188,6
189,6
190,5
191,4
192,5
193,6
194,2
195,2
196,6
197,5
198,7
199,6
200,7
201,7
202,8
203,5
204,10
205,7
206,2
207,3
208,3
209,1
210,3
211,3
212,4
213,7
214,10
215,8
216,6
217,6
218,5
219,6
220,8
221,8
222,3
223,5
224,7
225,7
226,7
227,1
228,3
229,4
230,5
231,7
232,4
233,5
234,5
235,5
236,7
237,6
238,3
239,3
240,6
241,4
242,9
243,8
244,7
245,8
246,8
247,6
248,4
249,5
250,6
251,6
252,9
253,4
254,6
255,5
256,3
257,5
258,7
259,4
260,5
261,6
262,9
263,7
264,2
265,6
266,5
267,6
268,1
269,4
270,4
271,5
272,5
273,6
274,7
275,5
276,5
277,7
278,6
279,6
280,7
281,5
282,5
283,3
284,4
285,4
286,7
287,7
288,6
289,7
290,6
291,1
292,4
293,9
294,7
295,6
296,6
297,4
298,3
299,3
300,9
301,4
302,5
303,6
304,4
305,6
306,3
307,5
308,10
309,4
310,5
311,5
312,4
313,10
314,7
315,7
316,6
317,6
318,5
319,8
320,6
321,6
322,7
323,8
324,10
325,8
326,6
327,6
328,9
329,6
330,7
331,4
332,7
333,5
334,4
335,3
336,5
337,4
338,3
339,11
340,8
341,8
342,3
343,4
344,3
345,6
346,1
347,3
348,4
349,7
350,3
351,4
352,7
353,7
354,5
355,5
356,5
357,4
358,5
359,5
360,5
361,5
362,4
363,6
364,8
365,5
366,4
367,6
368,3
369,5
370,5
371,6
372,7
373,3
374,4
375,6
376,4
377,5
378,5
379,3
380,3
381,9
382,8
383,8
384,10
385,6
386,4
387,2
388,7
389,7
390,6
391,7
392,5
393,7
394,2
395,5
396,5
397,6
398,4
399,5
400,10
401,4
402,4
403,6
404,4
405,3
406,4
407,7
408,8
409,9
410,8
411,8
412,4
413,4
414,7
415,5
416,3
417,8
418,6
419,6
420,6
421,6
422,5
423,5
424,10
425,6
426,4
427,8
428,5
429,4
430,4
431,2
432,9
433,8
434,7
435,4
436,5
437,4
438,5
439,8
440,4
441,6
442,6
443,11
444,10
445,8
446,7
447,3
448,6
449,4
450,4
451,5
452,4
453,5
454,5
455,2
456,4
457,7
458,5
459,6
460,7
461,4
462,2
463,3
464,8
465,6
466,3
467,5
468,5
469,5
470,2
471,4
472,5
473,5
474,6
475,6
476,7
477,8
478,10
479,8
480,7
481,4
482,4
483,7
484,6
485,3
486,7
487,3
488,3
489,5
490,2
491,3
492,7
493,7
494,5
495,5
496,4
497,5
498,5
499,3
500,3
501,4
502,3
503,3
504,3
505,3
506,6
507,4
508,9
509,6
510,6
511,8
512,5
513,9
514,6
515,2
516,5
517,6
518,6
519,4
520,5
521,9
522,4
523,5
524,8
525,4
526,5
527,3
528,6
529,4
530,6
531,3
532,3
533,7
534,4
535,6
536,4
537,2
538,4
539,7
540,7
541,4
542,7
543,4
544,6
545,5
546,5
547,3
548,5
549,4
550,4
551,6
552,5
553,6
554,5
555,3
556,3
557,5
558,1
559,3
560,4
561,5
562,7
563,7
564,5
565,4
566,2
567,5
568,5
569,5
570,5
571,4
572,5
573,4
574,8
575,6
576,7
577,6
578,4
579,7
580,9
581,5
582,4
583,6
584,5
585,6
586,3
587,3
588,3
589,7
590,7
591,4
592,8
593,6
594,3
595,3
596,5
597,7
598,5
599,6
600,7
601,7
602,4
603,4
604,6
605,5
606,4
607,3
608,7
609,8
610,5
611,8
612,3
613,6
614,7
615,8
616,6
617,2
618,7
619,4
620,4
621,3
622,8
623,6
624,8
