generation,unique_ids
0,30
1,18
2,20
3,15
4,14
5,14
6,15
7,14
8,19
9,19
10,15
11,17
12,12
13,15
14,13
15,12
16,14
17,14
18,12
19,15
20,13
21,19
22,9
23,11
24,15
25,15
26,13
27,14
28,11
29,13
30,7
31,8
32,6
33,4
34,4
35,4
36,3
37,4
38,6
39,6
40,3
41,5
42,6
43,5
44,4
45,5
46,6
47,6
48,7
49,7
50,6
51,6
52,4
53,6
54,5
55,7
56,3
57,3
58,4
59,6
60,2
61,8
62,6
63,3
64,3
65,5
66,4
67,4
68,5
69,8
70,7
71,2
72,3
73,4
74,4
75,5
76,8
77,6
78,3
79,7
80,6
81,5
82,4
83,3
84,7
85,5
86,4
87,4
88,7
89,5
90,5
91,4
92,6
93,4
94,8
95,8
96,4
97,8
98,8
99,8
100,6
101,6
102,6
103,3
104,2
105,5
106,2
107,5
108,5
109,6
110,6
111,1
112,2
113,10
114,5
115,7
116,7
117,6
118,5
119,7
120,3
121,4
122,3
123,5
124,9
125,5
126,4
127,8
128,3
129,6
130,7
131,6
132,5
133,5
134,3
135,3
136,2
137,4
138,8
139,5
140,4
141,3
142,7
143,5
144,6
145,12
146,6
147,8
148,5
149,6
150,5
151,7
152,6
153,7
154,6
155,7
156,5
157,10
158,5
159,7
160,7
161,4
162,7
163,5
164,3
165,5
166,3
167,2
168,6
169,8
170,8
171,4
172,5
173,7
174,8
175,4
176,4
177,6
178,8
179,5
180,1
181,1
182,2
183,3
184,2
185,3
186,5
187,5
188,5
189,5
190,1
191,2
192,4
193,4
194,3
195,6
196,6
197,9
198,3
199,5
200,7
201,5
202,9
203,8
204,7
205,7
206,6
207,4
208,4
209,3
210,4
211,4
212,1
213,2
214,4
215,6
216,6
217,4
218,4
219,4
220,4
221,3
222,3
223,7
224,5
225,4
226,4
227,5
228,3
229,5
230,6
231,10
232,5
233,4
234,6
235,5
236,6
237,7
238,6
239,7
240,7
241,6
242,7
243,6
244,7
245,6
246,5
247,7
248,10
249,5
250,5
251,4
252,8
253,5
254,7
255,4
256,6
257,7
258,5
259,3
260,3
261,4
262,3
263,6
264,4
265,5
266,5
267,6
268,6
269,3
270,6
271,3
272,3
273,7
274,5
275,4
276,7
277,8
278,3
279,6
280,9
281,6
282,8
283,6
284,4
285,6
286,4
287,4
288,4
289,6
290,7
291,9
292,7
293,7
294,5
295,2
296,5
297,4
298,7
299,7
300,5
301,4
302,3
303,4
304,4
305,6
306,5
307,6
308,5
309,6
310,6
311,6
312,6
313,5
314,5
315,8
316,9
317,6
318,6
319,10
320,6
321,2
322,4
323,6
324,7
325,3
326,6
327,3
328,5
329,7
330,8
331,7
332,6
333,6
334,7
335,4
336,4
337,6
338,4
339,2
340,4
341,5
342,7
343,7
344,9
345,8
346,6
347,8
348,9
349,5
350,3
351,6
352,9
353,6
354,3
355,3
356,3
357,2
358,4
359,6
360,7
361,5
362,3
363,2
364,5
365,7
366,10
367,8
368,7
369,5
370,4
371,6
372,4
373,7
374,6
375,5
376,4
377,4
378,7
379,10
380,10
381,6
382,4
383,9
384,8
385,6
386,4
387,6
388,8
389,3
390,5
391,5
392,7
393,4
394,8
395,5
396,4
397,2
398,4
399,4
400,5
401,6
402,11
403,7
404,7
405,6
406,3
407,5
408,10
409,7
410,8
411,5
412,4
413,4
414,5
415,7
416,7
417,3
418,4
419,2
420,3
421,5
422,5
423,5
424,5
425,7
426,4
427,7
428,7
429,6
430,4
431,6
432,4
433,3
434,6
435,6
436,7
437,6
438,5
439,5
440,3
441,3
442,5
443,5
444,6
445,7
446,6
447,2
448,2
449,5
450,3
451,5
452,8
453,4
454,3
455,7
456,5
457,4
458,9
459,8
460,13
461,9
462,6
463,5
464,2
465,3
466,3
467,5
468,2
469,10
470,5
471,4
472,5
473,4
474,2
475,5
476,7
477,5
478,5
479,7
480,4
481,6
482,5
483,7
484,6
485,5
486,4
487,5
488,7
489,4
490,3
491,5
492,3
493,3
494,2
495,2
496,3
497,7
498,5
499,3
500,8
501,5
502,5
503,5
504,8
505,11
506,8
507,3
508,4
509,8
510,7
511,6
512,2
513,5
514,5
515,3
516,5
517,6
518,9
519,6
520,6
521,3
522,6
523,5
524,8
525,4
526,4
527,4
528,5
529,8
530,6
531,4
532,5
533,4
534,8
535,8
536,6
537,8
538,7
539,9
540,9
541,6
542,4
543,3
544,5
545,5
546,4
547,4
548,3
549,6
550,5
551,7
552,6
553,7
554,6
555,5
556,7
557,8
558,5
559,6
560,5
561,1
562,3
563,8
564,4
565,4
566,2
567,4
568,4
569,5
570,6
571,4
572,7
573,5
574,5
575,4
576,3
577,3
578,7
579,5
580,5
581,6
582,6
583,10
584,6
585,3
586,4
587,6
588,7
589,9
590,8
591,7
592,4
593,2
594,6
595,7
596,8
597,5
598,3
599,3
600,3
601,3
602,6
603,5
604,4
605,2
606,6
607,8
608,3
609,4
610,6
611,6
612,3
613,8
614,7
615,4
616,4
617,3
618,7
619,4
620,3
