objective_value,generation,evaluations
2970.4954321388514,0,30
2779.6435948908556,1,86
2395.74697647408,2,162
2194.763036334583,3,221
1769.5068517864447,4,283
1608.8649750566356,5,329
1603.8944482610896,6,402
1487.9425831037033,7,480
1355.7626648406876,8,547
1329.6685186367313,9,625
1306.345827008859,10,720
1306.345827008859,11,786
1306.345827008859,12,873
1306.345827008859,13,957
1306.345827008859,14,1032
1306.345827008859,15,1109
1306.345827008859,16,1198
1306.345827008859,17,1277
1306.345827008859,18,1366
1303.382120035465,19,1440
1303.382120035465,20,1499
1303.382120035465,21,1598
1297.7574502284729,22,1688
1297.7574502284729,23,1765
1297.7574502284729,24,1847
1297.7574502284729,25,1917
1297.7574502284729,26,2001
1286.1822496645673,27,2082
1286.1822496645673,28,2169
1286.1822496645673,29,2254
1286.1822496645673,30,2335
1286.1822496645673,31,2417
1286.1822496645673,32,2501
1286.1822496645673,33,2586
1286.1822496645673,34,2658
1286.1822496645673,35,2729
1286.1822496645673,36,2807
1286.1822496645673,37,2899
1286.1822496645673,38,2979
1286.1822496645673,39,3053
1286.1822496645673,40,3127
1286.1822496645673,41,3203
1286.1822496645673,42,3299
1286.1822496645673,43,3390
1277.989769184806,44,3468
1277.989769184806,45,3547
1277.989769184806,46,3630
1277.989769184806,47,3711
1277.989769184806,48,3793
1277.989769184806,49,3878
1277.989769184806,50,3954
1277.989769184806,51,4048
1276.9499611743868,52,4117
1276.9499611743868,53,4198
1276.9499611743868,54,4276
1276.9499611743868,55,4349
1276.9499611743868,56,4432
1276.9499611743868,57,4514
1276.9499611743868,58,4598
1276.9499611743868,59,4675
1276.9499611743868,60,4758
1276.9499611743868,61,4824
1276.9499611743868,62,4911
1276.9499611743868,63,4987
1276.9499611743868,64,5073
1276.9499611743868,65,5139
1276.736662115075,66,5217
1276.736662115075,67,5287
1276.736662115075,68,5381
1276.736662115075,69,5458
1276.736662115075,70,5528
1276.736662115075,71,5603
1276.736662115075,72,5691
1276.736662115075,73,5761
1276.736662115075,74,5839
1276.736662115075,75,5921
1276.736662115075,76,6008
1276.736662115075,77,6093
1276.736662115075,78,6173
1276.736662115075,79,6266
1275.179998719651,80,6346
1275.179998719651,81,6429
1275.179998719651,82,6510
1275.179998719651,83,6591
1275.179998719651,84,6675
1275.179998719651,85,6751
1275.179998719651,86,6820
1275.179998719651,87,6897
1275.179998719651,88,6972
1265.7507987288845,89,7059
1265.7507987288845,90,7150
1265.7507987288845,91,7246
1265.7507987288845,92,7329
1265.7507987288845,93,7408
1265.7507987288845,94,7493
1265.7507987288845,95,7594
1265.7507987288845,96,7679
1265.7507987288845,97,7758
1265.7507987288845,98,7853
1265.7507987288845,99,7919
1265.7507987288845,100,8010
1265.7507987288845,101,8082
1265.7507987288845,102,8154
1265.7507987288845,103,8239
1265.7507987288845,104,8307
1265.7507987288845,105,8385
1265.7507987288845,106,8470
1265.7507987288845,107,8557
1265.7507987288845,108,8641
1265.7507987288845,109,8725
1265.7507987288845,110,8813
1265.7507987288845,111,8899
1265.7507987288845,112,8965
1265.7507987288845,113,9056
1265.7507987288845,114,9136
1265.7507987288845,115,9217
1265.7507987288845,116,9298
1265.7507987288845,117,9369
1265.7507987288845,118,9460
1265.7507987288845,119,9542
1265.7507987288845,120,9610
1265.7507987288845,121,9683
1265.7507987288845,122,9775
1265.7507987288845,123,9867
1265.7507987288845,124,9952
1265.7507987288845,125,10026
1265.7507987288845,126,10106
1265.7507987288845,127,10182
1265.7507987288845,128,10259
1265.7507987288845,129,10342
1265.7507987288845,130,10420
1265.7507987288845,131,10509
1265.7507987288845,132,10586
1265.7507987288845,133,10664
1265.7507987288845,134,10759
1265.7507987288845,135,10839
1265.7507987288845,136,10916
1265.7507987288845,137,10995
1265.7507987288845,138,11067
1265.7507987288845,139,11137
1265.7507987288845,140,11216
1265.7507987288845,141,11297
1265.7507987288845,142,11363
1265.7507987288845,143,11446
1265.7507987288845,144,11532
1265.7507987288845,145,11611
1265.7507987288845,146,11690
1265.7507987288845,147,11775
1265.7507987288845,148,11847
1265.7507987288845,149,11930
1265.7507987288845,150,12016
1265.7507987288845,151,12106
1265.7507987288845,152,12186
1265.7507987288845,153,12275
1265.7507987288845,154,12359
1265.7507987288845,155,12444
1265.7507987288845,156,12522
1265.7507987288845,157,12611
1265.7507987288845,158,12680
1265.7507987288845,159,12759
1265.7507987288845,160,12839
1265.7507987288845,161,12931
1265.7507987288845,162,13010
1265.7507987288845,163,13083
1265.7507987288845,164,13151
1265.7507987288845,165,13226
1265.7507987288845,166,13295
1265.7507987288845,167,13367
1265.7507987288845,168,13452
1265.7507987288845,169,13532
1265.7507987288845,170,13607
1265.7507987288845,171,13688
1265.7507987288845,172,13786
1265.7507987288845,173,13866
1265.7507987288845,174,13954
1265.7507987288845,175,14041
1265.7507987288845,176,14116
1265.7507987288845,177,14209
1265.7507987288845,178,14294
1265.7507987288845,179,14363
1265.7507987288845,180,14443
1265.7507987288845,181,14514
1265.7507987288845,182,14591
1265.7507987288845,183,14686
1265.7507987288845,184,14772
1265.7507987288845,185,14851
1265.7507987288845,186,14947
1265.7507987288845,187,15023
1265.7507987288845,188,15100
1265.7507987288845,189,15181
1265.7507987288845,190,15270
1265.7507987288845,191,15359
1265.7507987288845,192,15448
1265.7507987288845,193,15522
1265.7507987288845,194,15604
1265.7507987288845,195,15672
1265.7507987288845,196,15748
1265.7507987288845,197,15822
