generation,unique_ids
0,30
1,18
2,15
3,12
4,14
5,11
6,14
7,15
8,10
9,12
10,13
11,13
12,13
13,13
14,11
15,10
16,8
17,9
18,8
19,9
20,9
21,8
22,7
23,12
24,11
25,7
26,12
27,12
28,7
29,6
30,7
31,9
32,10
33,8
34,8
35,11
36,12
37,7
38,5
39,7
40,15
41,8
42,7
43,7
44,6
45,8
46,7
47,9
48,10
49,10
50,13
51,9
52,7
53,6
54,8
55,11
56,7
57,9
58,8
59,9
60,10
61,7
62,8
63,7
64,5
65,5
66,3
67,5
68,3
69,6
70,4
71,5
72,9
73,7
74,6
75,6
76,5
77,3
78,5
79,9
80,5
81,5
82,6
83,5
84,7
85,3
86,8
87,6
88,4
89,6
90,9
91,10
92,10
93,8
94,6
95,8
96,9
97,9
98,8
99,8
100,9
101,6
102,5
103,5
104,5
105,6
106,4
107,3
108,5
109,2
110,2
111,4
112,5
113,5
114,6
115,4
116,3
117,5
118,6
119,3
120,5
121,6
122,5
123,6
124,5
125,7
126,3
127,10
128,5
129,5
130,3
131,6
132,5
133,5
134,7
135,4
136,1
137,1
138,1
139,2
140,5
141,6
142,5
143,7
144,6
145,4
146,4
147,4
148,5
149,6
150,6
151,6
152,4
153,6
154,4
155,7
156,9
157,5
158,7
159,6
160,7
161,6
162,3
163,4
164,6
165,7
166,4
167,6
168,6
169,5
170,3
171,6
172,7
173,4
174,5
175,5
176,7
177,6
178,8
179,5
180,6
181,6
182,5
183,8
184,4
185,4
186,3
187,6
188,2
189,3
190,3
191,6
192,3
193,6
194,6
195,7
196,6
197,6
198,3
199,8
200,5
201,5
202,1
203,4
204,7
205,5
206,7
207,10
208,9
209,6
210,4
211,5
212,6
213,10
214,4
215,3
216,6
217,3
218,4
219,4
220,2
221,5
222,5
223,8
224,6
225,6
226,3
227,6
228,5
229,6
230,5
231,7
232,10
233,6
234,8
235,7
236,11
237,7
238,6
239,6
240,5
241,4
242,4
243,6
244,4
245,8
246,8
247,5
248,5
249,8
250,4
251,3
252,4
253,5
254,10
255,7
256,8
257,7
258,4
259,4
260,5
261,9
262,6
263,8
264,7
265,6
266,5
267,4
268,3
269,4
270,4
271,4
272,5
273,4
274,6
275,8
276,6
277,8
278,5
279,4
280,7
281,4
282,5
283,5
284,6
285,2
286,4
287,3
288,4
289,7
290,5
291,5
292,4
293,8
294,8
295,6
296,4
297,6
298,5
299,6
300,5
301,5
302,7
303,4
304,7
305,3
306,4
307,7
308,3
309,7
310,8
311,6
312,7
313,8
314,5
315,7
316,10
317,9
318,5
319,7
320,2
321,2
322,4
323,3
324,4
325,5
326,6
327,9
328,8
329,3
330,4
331,5
332,6
333,6
334,4
335,7
336,5
337,11
338,5
339,3
340,2
341,7
342,4
343,2
344,4
345,2
346,6
347,4
348,6
349,8
350,7
351,9
352,3
353,5
354,4
355,7
356,3
357,5
358,7
359,4
360,6
361,7
362,10
363,7
364,4
365,3
366,6
367,4
368,5
369,6
370,6
371,5
372,4
373,5
374,2
375,6
376,9
377,6
378,7
379,6
380,8
381,4
382,3
383,3
384,6
385,7
386,3
387,7
388,6
389,4
390,7
391,5
392,6
393,5
394,8
395,6
396,6
397,6
398,5
399,3
400,5
401,7
402,6
403,5
404,6
405,8
406,2
407,4
408,9
409,5
410,6
411,4
412,7
413,8
414,7
415,5
416,9
417,3
418,5
419,7
420,7
421,4
422,3
423,4
424,3
425,7
426,4
427,2
428,3
429,3
430,8
431,6
432,10
433,7
434,3
435,4
436,8
437,6
438,5
439,3
440,4
441,5
442,7
443,7
444,2
445,6
446,4
447,7
448,4
449,6
450,3
451,7
452,7
453,6
454,5
455,3
456,7
457,4
458,4
459,3
460,4
461,6
462,6
463,4
464,8
465,7
466,5
467,7
468,4
469,7
470,2
471,8
472,6
473,7
474,5
475,4
476,3
477,2
478,5
479,3
480,9
481,7
482,7
483,8
484,2
485,4
486,6
487,4
488,2
489,3
490,5
491,6
492,6
493,3
494,4
495,6
496,4
497,6
498,8
499,5
500,8
501,4
502,6
503,7
504,4
505,5
506,6
507,5
508,7
509,4
510,9
511,7
512,7
513,4
514,8
515,8
516,7
517,3
518,6
519,7
520,8
521,4
522,3
523,4
524,4
525,1
526,2
527,5
528,3
529,9
530,6
531,4
532,7
533,7
534,6
535,8
536,7
537,7
538,7
539,7
540,6
541,4
542,9
543,7
544,8
545,4
546,7
547,4
548,4
549,4
550,1
551,2
552,7
553,5
554,7
555,13
556,13
557,11
558,10
559,7
560,5
561,5
562,4
563,6
564,7
565,7
566,1
567,2
568,3
569,4
570,5
571,4
572,5
573,5
574,4
575,7
576,3
577,3
578,5
579,6
580,4
581,2
582,6
583,9
584,5
585,4
586,6
587,5
588,6
589,6
590,5
591,7
592,6
593,6
594,8
595,7
596,4
597,2
598,5
599,8
600,7
601,5
602,5
603,5
604,5
605,2
606,4
607,2
608,4
609,5
610,5
611,5
612,9
613,6
614,7
615,3
616,5
617,6
618,9
619,5
620,3
621,5
622,4
623,5
624,3
625,5
626,4
627,6
628,3
