generation,unique_ids
0,30
1,17
2,18
3,14
4,17
5,16
6,12
7,11
8,18
9,17
10,17
11,18
12,16
13,23
14,15
15,15
16,16
17,12
18,15
19,12
20,14
21,11
22,16
23,10
24,19
25,13
26,14
27,11
28,13
29,14
30,16
31,18
32,12
33,13
34,15
35,14
36,20
37,18
38,16
39,14
40,15
41,13
42,12
43,21
44,17
45,10
46,12
47,13
48,14
49,11
50,12
51,15
52,12
53,14
54,11
55,13
56,14
57,16
58,13
59,10
60,9
61,11
62,13
63,15
64,19
65,13
66,10
67,11
68,8
69,11
70,10
71,11
72,13
73,10
74,12
75,10
76,10
77,9
78,11
79,12
80,11
81,14
82,14
83,10
84,11
85,11
86,12
87,10
88,11
89,11
90,14
91,8
92,11
93,9
94,9
95,9
96,13
97,12
98,8
99,11
100,13
101,13
102,12
103,10
104,7
105,8
106,10
107,10
108,8
109,6
110,8
111,9
112,10
113,9
114,8
115,8
116,11
117,8
118,8
119,6
120,8
121,9
122,8
123,8
124,4
125,6
126,8
127,7
128,5
129,5
130,6
131,7
132,6
133,5
134,10
135,11
136,7
137,8
138,6
139,8
140,6
141,4
142,6
143,3
144,7
145,6
146,6
147,6
148,10
149,9
150,5
151,7
152,7
153,4
154,7
155,7
156,4
157,10
158,5
159,6
160,4
161,3
162,4
163,2
164,4
165,7
166,4
167,2
168,4
169,6
170,3
171,4
172,6
173,3
174,3
175,6
176,6
177,7
178,4
179,5
180,7
181,5
182,6
183,4
184,8
185,9
186,8
187,9
188,6
189,7
190,7
191,7
192,7
193,6
194,10
195,5
196,6
197,5
198,8
199,7
200,7
201,9
202,7
203,5
204,8
205,8
206,8
207,7
208,8
209,6
210,10
211,8
212,8
213,7
214,9
215,7
216,4
217,5
218,6
219,4
220,5
221,5
222,8
223,6
224,3
225,4
226,6
227,2
228,5
229,9
230,5
231,7
232,4
233,5
234,5
235,9
236,4
237,3
238,5
239,6
240,8
241,4
242,7
243,7
244,5
245,5
246,8
247,7
248,4
249,4
250,4
251,4
252,5
253,3
254,3
255,5
256,8
257,6
258,3
259,6
260,5
261,8
262,7
263,3
264,3
265,6
266,8
267,5
268,7
269,5
270,7
271,6
272,6
273,4
274,7
275,6
276,5
277,5
278,4
279,5
280,7
281,7
282,3
283,6
284,7
285,3
286,6
287,8
288,7
289,5
290,5
291,9
292,8
293,7
294,3
295,7
296,6
297,9
298,5
299,5
300,7
301,5
302,7
303,4
304,9
305,7
306,7
307,4
308,9
309,3
310,6
311,7
312,5
313,5
314,4
315,2
316,4
317,5
318,7
319,3
320,3
321,2
322,6
323,6
324,9
325,8
326,5
327,3
328,2
329,1
330,2
331,4
332,8
333,5
334,4
335,4
336,4
337,4
338,4
339,5
340,5
341,4
342,6
343,5
344,5
345,3
346,4
347,6
348,4
349,6
350,4
351,5
352,8
353,5
354,8
355,7
356,5
357,7
358,4
359,6
360,2
361,7
362,7
363,9
364,7
365,8
366,8
367,6
368,7
369,6
370,3
371,6
372,5
373,3
374,3
375,4
376,5
377,5
378,3
379,5
380,4
381,8
382,5
383,5
384,9
385,5
386,6
387,7
388,7
389,7
390,9
391,9
392,5
393,3
394,5
395,5
396,4
397,6
398,3
399,4
400,5
401,5
402,4
403,7
404,9
405,6
406,5
407,5
408,4
409,11
410,9
411,4
412,6
413,7
414,5
415,9
416,5
417,7
418,4
419,6
420,2
421,4
422,5
423,5
424,4
425,8
426,5
427,5
428,7
429,8
430,5
431,5
432,4
433,7
434,5
435,6
436,5
437,7
438,5
439,6
440,6
441,4
442,4
443,6
444,6
445,5
446,6
447,4
448,6
449,6
450,5
451,6
452,5
453,4
454,5
455,2
456,4
457,4
458,7
459,9
460,4
461,5
462,6
463,3
464,3
465,2
466,8
467,6
468,5
469,2
470,4
471,7
472,6
473,3
474,5
475,4
476,3
477,4
478,8
479,5
480,5
481,3
482,6
483,5
484,7
485,6
486,8
487,9
488,4
489,2
490,11
491,6
492,4
493,2
494,4
495,5
496,6
497,3
498,3
499,3
500,2
501,6
502,5
503,2
504,3
505,7
506,2
507,7
508,6
509,5
510,5
511,4
512,4
513,6
514,4
515,6
516,7
517,8
518,5
519,8
520,4
521,7
522,5
523,8
524,4
525,6
526,8
527,9
528,7
529,4
530,6
531,5
532,6
533,6
534,7
535,11
536,7
537,8
538,7
539,7
540,5
541,8
542,7
543,5
544,5
545,5
546,4
547,3
548,7
549,7
550,5
551,4
552,4
553,7
554,11
555,5
556,3
557,4
558,3
559,7
560,6
561,4
562,5
563,5
564,5
565,6
566,6
567,3
568,3
569,6
570,5
571,5
572,8
573,12
574,6
575,7
576,8
577,12
578,7
579,8
580,4
581,6
582,4
583,6
584,3
585,3
586,6
587,4
588,4
589,2
590,3
591,3
592,4
593,5
594,4
595,6
596,7
597,7
598,9
599,7
600,4
601,4
602,3
603,3
604,5
605,9
606,8
607,6
608,4
609,2
610,7
611,6
612,8
613,5
614,5
615,6
616,1
617,2
618,4
619,3
620,6
621,4
622,7
623,5
624,3
625,5
626,5
627,8
628,4
629,3
630,2
631,5
632,6
633,5
634,2
635,3
636,3
637,2
638,4
639,5
640,4
641,3
642,7
643,7
